=============================================================
 starting episode: 0/2000
Client connected on 3101..............
Ep:0 step:0(1), a_t=[s= 0.41, t= 0.690026, b= 0.000000], r_t=[r= 0.13, prog= 0.38, pen=-0.00, r_old= 0.13], Reward=  0.13 /  0.13 / -inf, epsilon=  1.000, speed=  0.13, gear= 0, damage= 0.00
Ep:0 step:20(21), a_t=[s=-0.20, t= 0.608840, b= 0.000000], r_t=[r= 26.66, prog= 120.05, pen=-13.36, r_old= 26.66], Reward=  268.83 /  268.83 / -inf, epsilon=  1.000, speed=  40.09, gear= 1, damage= 0.00
Ep:0 step:40(41), a_t=[s= 0.97, t= 0.510819, b= 0.000000], r_t=[r=-31.57, prog= 93.42, pen=-62.71, r_old=-31.57], Reward= -191.76 / -191.76 / -inf, epsilon=  1.000, speed=  31.52, gear= 1, damage= 669.00
Ep:0 step:60(61), a_t=[s= 1.00, t= 0.616389, b= 0.000000], r_t=[r=-1.99, prog= 233.45, pen=-79.81, r_old=-1.99], Reward= -338.68 / -338.68 / -inf, epsilon=  1.000, speed=  82.18, gear= 1, damage= 669.00
Ep:0 step:80(81), a_t=[s=-0.10, t= 0.432976, b= 0.000000], r_t=[r=-39.49, prog= 231.44, pen=-116.64, r_old=-39.49], Reward= -1084.92 / -1084.92 / -inf, epsilon=  1.000, speed=  83.05, gear= 1, damage= 704.00
Ep:0 step:100(101), a_t=[s=-0.36, t= 0.561225, b= 0.000000], r_t=[r=-70.14, prog= 112.80, pen=-107.74, r_old=-70.14], Reward= -2187.62 / -2187.62 / -inf, epsilon=  1.000, speed=  49.85, gear= 1, damage= 748.00
META = 1 ... Running backwards
=============================================================
 starting episode: 1/2000
Client connected on 3101..............
Ep:1 step:0(107), a_t=[s=-0.05, t= 0.703889, b= 0.000000], r_t=[r= 0.16, prog= 0.47, pen=-0.00, r_old= 0.16], Reward=  0.16 /  0.16 / -2350.85, epsilon=  1.000, speed=  0.16, gear= 1, damage= 0.00
Ep:1 step:20(127), a_t=[s= 0.06, t= 0.284959, b= 0.000000], r_t=[r= 24.66, prog= 107.35, pen=-11.12, r_old= 24.66], Reward=  301.57 /  301.57 / -2350.85, epsilon=  1.000, speed=  36.81, gear= 1, damage= 0.00
Ep:1 step:40(147), a_t=[s= 0.51, t= 0.598269, b= 0.000000], r_t=[r=-51.70, prog= 158.48, pen=-104.53, r_old=-51.70], Reward= -280.72 / -280.72 / -2350.85, epsilon=  1.000, speed=  53.08, gear= 1, damage= 356.00
Ep:1 step:60(167), a_t=[s= 0.43, t= 0.455880, b= 0.000000], r_t=[r=-88.47, prog= 136.66, pen=-134.02, r_old=-88.47], Reward= -1244.40 / -1244.40 / -2350.85, epsilon=  0.999, speed=  82.49, gear= 1, damage= 356.00
Ep:1 step:80(187), a_t=[s=-0.86, t= 0.537236, b= 0.000000], r_t=[r=-0.34, prog= 0.29, pen=-0.44, r_old=-0.34], Reward= -1439.71 / -1439.71 / -2350.85, epsilon=  0.999, speed=  0.19, gear= 1, damage= 1905.00
Ep:1 step:100(207), a_t=[s= 0.95, t= 0.429609, b= 0.000000], r_t=[r=-0.41, prog= 0.41, pen=-0.55, r_old=-0.41], Reward= -1446.04 / -1446.04 / -2350.85, epsilon=  0.999, speed=  0.24, gear= 1, damage= 1905.00
Ep:1 step:120(227), a_t=[s=-0.27, t= 0.483230, b= 0.000000], r_t=[r=-0.31, prog= 0.34, pen=-0.43, r_old=-0.31], Reward= -1451.94 / -1451.94 / -2350.85, epsilon=  0.999, speed=  0.19, gear= 1, damage= 1905.00
Ep:1 step:140(247), a_t=[s= 1.00, t= 0.599023, b= 0.000000], r_t=[r=-0.24, prog= 0.30, pen=-0.34, r_old=-0.24], Reward= -1459.75 / -1459.75 / -2350.85, epsilon=  0.999, speed=  0.15, gear= 1, damage= 1905.00
Ep:1 step:160(267), a_t=[s= 0.41, t= 0.403736, b= 0.000000], r_t=[r=-0.36, prog= 0.44, pen=-0.50, r_old=-0.36], Reward= -1464.94 / -1464.94 / -2350.85, epsilon=  0.999, speed=  0.22, gear= 1, damage= 1905.00
Ep:1 step:180(287), a_t=[s=-0.18, t= 0.543167, b= 0.000000], r_t=[r=-0.51, prog= 0.73, pen=-0.75, r_old=-0.51], Reward= -1473.76 / -1473.76 / -2350.85, epsilon=  0.999, speed=  0.34, gear= 1, damage= 1905.00
Ep:1 step:200(307), a_t=[s=-0.23, t= 0.311438, b= 0.000000], r_t=[r=-0.28, prog= 0.42, pen=-0.42, r_old=-0.28], Reward= -1481.89 / -1481.89 / -2350.85, epsilon=  0.999, speed=  0.19, gear= 1, damage= 1905.00
Ep:1 step:220(327), a_t=[s=-0.70, t= 0.414926, b= 0.000000], r_t=[r=-0.76, prog= 1.31, pen=-1.20, r_old=-0.76], Reward= -1494.15 / -1494.15 / -2350.85, epsilon=  0.999, speed=  0.56, gear= 1, damage= 1905.00
Ep:1 step:240(347), a_t=[s=-0.25, t= 0.527916, b= 0.000000], r_t=[r=-0.77, prog= 1.43, pen=-1.25, r_old=-0.77], Reward= -1506.15 / -1506.15 / -2350.85, epsilon=  0.999, speed=  0.59, gear= 1, damage= 1905.00
Ep:1 step:260(367), a_t=[s=-0.18, t= 0.423739, b= 0.000000], r_t=[r=-0.52, prog= 1.03, pen=-0.87, r_old=-0.52], Reward= -1516.72 / -1516.72 / -2350.85, epsilon=  0.999, speed=  0.41, gear= 1, damage= 1905.00
Ep:1 step:280(387), a_t=[s=-0.03, t= 0.543841, b= 0.000000], r_t=[r=-0.81, prog= 1.76, pen=-1.39, r_old=-0.81], Reward= -1532.27 / -1532.27 / -2350.85, epsilon=  0.999, speed=  0.68, gear= 1, damage= 1905.00
Ep:1 step:300(407), a_t=[s= 0.09, t= 0.501075, b= 0.000000], r_t=[r=-1.25, prog= 3.16, pen=-2.31, r_old=-1.25], Reward= -1555.53 / -1555.53 / -2350.85, epsilon=  0.999, speed=  1.16, gear= 1, damage= 1905.00
Ep:1 step:320(427), a_t=[s=-1.00, t= 0.515882, b= 0.000000], r_t=[r=-4.80, prog= 15.91, pen=-10.10, r_old=-4.80], Reward= -1619.90 / -1619.90 / -2350.85, epsilon=  0.999, speed=  5.47, gear= 1, damage= 1905.00
Ep:1 step:340(447), a_t=[s= 0.05, t= 0.553149, b= 0.000000], r_t=[r=-24.69, prog= 113.50, pen=-62.53, r_old=-24.69], Reward= -1857.65 / -1857.65 / -2350.85, epsilon=  0.999, speed=  37.86, gear= 1, damage= 1905.00
META = 1 ... Running backwards
=============================================================
 starting episode: 2/2000
Client connected on 3101..............
Ep:2 step:0(460), a_t=[s= 0.02, t= 0.446023, b= 0.000000], r_t=[r= 0.05, prog= 0.17, pen=-0.00, r_old= 0.05], Reward=  0.05 /  0.05 / -2262.38, epsilon=  0.998, speed=  0.06, gear= 1, damage= 0.00
Ep:2 step:20(480), a_t=[s=-0.95, t= 0.552949, b= 0.000000], r_t=[r=-37.66, prog= 78.78, pen=-63.92, r_old=-37.66], Reward=  64.26 /  64.26 / -2262.38, epsilon=  0.998, speed=  38.09, gear= 1, damage= 0.00
Ep:2 step:40(500), a_t=[s= 0.65, t= 0.571036, b= 0.000000], r_t=[r=-0.30, prog= 0.07, pen=-0.32, r_old=-0.30], Reward= -196.33 / -196.33 / -2262.38, epsilon=  0.998, speed=  0.11, gear= 1, damage= 893.00
Ep:2 step:60(520), a_t=[s=-0.75, t= 0.523295, b= 0.000000], r_t=[r=-0.22, prog= 0.05, pen=-0.24, r_old=-0.22], Reward= -200.91 / -200.91 / -2262.38, epsilon=  0.998, speed=  0.08, gear= 1, damage= 893.00
Ep:2 step:80(540), a_t=[s=-0.19, t= 0.586494, b= 0.000000], r_t=[r= 0.16, prog=-0.14, pen= 0.20, r_old= 0.16], Reward= -202.79 / -202.79 / -2262.38, epsilon=  0.998, speed= -0.20, gear= 1, damage= 893.00
Ep:2 step:100(560), a_t=[s=-1.00, t= 0.451390, b= 0.000000], r_t=[r=-0.63, prog= 0.17, pen=-0.69, r_old=-0.63], Reward= -207.92 / -207.92 / -2262.38, epsilon=  0.998, speed=  0.23, gear= 1, damage= 893.00
