=============================================================
 starting episode: 0/2000
Client connected on 3102..............
Ep:0 step:0(1), a_t=[s= 0.44, t= 0.466114, b= 0.000000], r_t=[r= 0.13, prog= 0.38, pen=-0.00, r_old= 0.13], Reward=  0.13 /  0.13 / -inf, epsilon=  1.000, speed=  0.13, gear= 0, damage= 0.00
Ep:0 step:20(21), a_t=[s= 0.61, t= 0.532141, b= 0.000000], r_t=[r= 26.00, prog= 96.11, pen=-6.03, r_old= 26.00], Reward=  242.66 /  242.66 / -inf, epsilon=  1.000, speed=  32.09, gear= 1, damage= 0.00
Ep:0 step:40(41), a_t=[s=-0.16, t= 0.481576, b= 0.000000], r_t=[r=-24.67, prog= 69.90, pen=-47.97, r_old=-24.67], Reward= -1.59 / -1.59 / -inf, epsilon=  1.000, speed=  23.63, gear= 1, damage= 206.00
Ep:0 step:60(61), a_t=[s=-0.48, t= 0.545506, b= 0.000000], r_t=[r=-42.00, prog= 147.86, pen=-91.29, r_old=-42.00], Reward= -689.57 / -689.57 / -inf, epsilon=  1.000, speed=  50.29, gear= 2, damage= 218.00
META = 1 ... Running backwards
=============================================================
 starting episode: 1/2000
Client connected on 3102..............
Ep:1 step:0(73), a_t=[s= 0.30, t= 0.391017, b= 0.000000], r_t=[r= 0.13, prog= 0.39, pen=-0.00, r_old= 0.13], Reward=  0.13 /  0.13 / -1057.46, epsilon=  1.000, speed=  0.13, gear= 1, damage= 0.00
Ep:1 step:20(93), a_t=[s= 0.47, t= 0.408494, b= 0.000000], r_t=[r= 27.85, prog= 113.62, pen=-10.02, r_old= 27.85], Reward=  322.71 /  322.71 / -1057.46, epsilon=  1.000, speed=  38.92, gear= 1, damage= 0.00
Ep:1 step:40(113), a_t=[s= 1.00, t= 0.535419, b= 0.000000], r_t=[r=-45.59, prog= 147.45, pen=-94.74, r_old=-45.59], Reward=  781.87 /  781.87 / -1057.46, epsilon=  1.000, speed=  63.49, gear= 2, damage= 0.00
Ep:1 step:60(133), a_t=[s= 0.11, t= 0.642561, b= 0.000000], r_t=[r=-0.89, prog= 1.53, pen=-1.40, r_old=-0.89], Reward=  555.33 /  555.33 / -1057.46, epsilon=  1.000, speed=  0.64, gear= 1, damage= 552.00
Ep:1 step:80(153), a_t=[s=-0.04, t= 0.363393, b= 0.000000], r_t=[r=-0.45, prog= 0.84, pen=-0.73, r_old=-0.45], Reward=  540.80 /  540.80 / -1057.46, epsilon=  0.999, speed=  0.34, gear= 1, damage= 552.00
Ep:1 step:100(173), a_t=[s=-0.95, t= 0.459433, b= 0.000000], r_t=[r=-0.38, prog= 0.76, pen=-0.63, r_old=-0.38], Reward=  526.79 /  526.79 / -1057.46, epsilon=  0.999, speed=  0.30, gear= 1, damage= 552.00
Ep:1 step:120(193), a_t=[s= 0.40, t= 0.515905, b= 0.000000], r_t=[r=-1.11, prog= 2.54, pen=-1.95, r_old=-1.11], Reward=  505.67 /  505.67 / -1057.46, epsilon=  0.999, speed=  0.95, gear= 1, damage= 552.00
Ep:1 step:140(213), a_t=[s=-0.47, t= 0.547010, b= 0.000000], r_t=[r=-1.92, prog= 5.19, pen=-3.65, r_old=-1.92], Reward=  476.12 /  476.12 / -1057.46, epsilon=  0.999, speed=  1.85, gear= 1, damage= 552.00
Ep:1 step:160(233), a_t=[s= 1.00, t= 0.707481, b= 0.000000], r_t=[r=-8.60, prog= 37.95, pen=-21.25, r_old=-8.60], Reward=  393.16 /  393.16 / -1057.46, epsilon=  0.999, speed=  12.66, gear= 1, damage= 552.00
META = 1 ... Running backwards
=============================================================
