=============================================================
 starting episode: 1700/2000
Waiting for server on 3102............
Count Down : 5
Waiting for server on 3102............
Count Down : 4
Waiting for server on 3102............
Count Down : 3
Waiting for server on 3102............
Count Down : 2
Waiting for server on 3102............
Count Down : 1
Waiting for server on 3102............
Count Down : 0
Waiting for server on 3102............
Count Down : -1
Client connected on 3102..............
Ep:1700 step:0(1703424), a_t=[s=-0.96, t= 1.000000, b= 0.000000], r_t=[r= 0.02, prog= 0.05, pen=-0.00, r_old= 0.02], Reward=  0.02 /  0.02 /  260769.07, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1700 step:20(1703444), a_t=[s= 0.14, t= 1.000000, b= 0.000000], r_t=[r= 43.89, prog= 273.17, pen=-47.16, r_old= 43.89], Reward=  615.80 /  615.80 /  260769.07, epsilon=  0.100, speed=  91.06, gear= 3, damage= 0.00
Ep:1700 step:40(1703464), a_t=[s=-0.26, t= 1.000000, b= 0.000000], r_t=[r= 129.54, prog= 416.27, pen=-9.22, r_old= 129.54], Reward=  2317.79 /  2317.79 /  260769.07, epsilon=  0.100, speed=  138.85, gear= 4, damage= 0.00
Ep:1700 step:60(1703484), a_t=[s=-0.14, t= 1.000000, b= 0.000000], r_t=[r= 141.09, prog= 491.15, pen=-22.63, r_old= 141.09], Reward=  4994.53 /  4994.53 /  260769.07, epsilon=  0.100, speed=  163.88, gear= 5, damage= 0.00
Ep:1700 step:80(1703504), a_t=[s= 0.13, t= 0.993125, b= 0.048633], r_t=[r= 145.01, prog= 528.63, pen=-31.20, r_old= 145.01], Reward=  7998.75 /  7998.75 /  260769.07, epsilon=  0.100, speed=  176.42, gear= 6, damage= 0.00
Ep:1700 step:100(1703524), a_t=[s=-0.05, t= 1.000000, b= 0.000004], r_t=[r= 146.69, prog= 509.35, pen=-23.09, r_old= 146.69], Reward=  10886.03 /  10886.03 /  260769.07, epsilon=  0.100, speed=  169.80, gear= 6, damage= 0.00
Ep:1700 step:120(1703544), a_t=[s=-0.27, t= 1.000000, b= 0.000000], r_t=[r= 148.88, prog= 555.62, pen=-36.33, r_old= 148.88], Reward=  13772.37 /  13772.37 /  260769.07, epsilon=  0.100, speed=  185.60, gear= 6, damage= 0.00
Ep:1700 step:140(1703564), a_t=[s= 0.92, t= 0.999997, b= 0.000000], r_t=[r= 63.82, prog= 387.57, pen=-65.37, r_old= 63.82], Reward=  16374.45 /  16374.45 /  260769.07, epsilon=  0.100, speed=  129.47, gear= 4, damage= 0.00
Ep:1700 step:160(1703584), a_t=[s= 0.25, t= 0.349928, b= 0.000003], r_t=[r= 98.62, prog= 350.63, pen=-18.25, r_old= 98.62], Reward=  18175.11 /  18175.11 /  260769.07, epsilon=  0.100, speed=  116.93, gear= 4, damage= 0.00
Ep:1700 step:180(1703604), a_t=[s=-0.14, t= 1.000000, b= 0.000000], r_t=[r= 99.49, prog= 441.96, pen=-47.83, r_old= 99.49], Reward=  20488.27 /  20488.27 /  260769.07, epsilon=  0.100, speed=  148.09, gear= 5, damage= 0.00
Ep:1700 step:200(1703624), a_t=[s= 0.08, t= 1.000000, b= 0.000000], r_t=[r= 155.84, prog= 512.89, pen=-15.13, r_old= 155.84], Reward=  22873.61 /  22873.61 /  260769.07, epsilon=  0.100, speed=  171.00, gear= 5, damage= 0.00
Ep:1700 step:220(1703644), a_t=[s= 0.07, t= 1.000000, b= 0.000000], r_t=[r= 166.04, prog= 549.90, pen=-17.26, r_old= 166.04], Reward=  26097.56 /  26097.56 /  260769.07, epsilon=  0.100, speed=  183.54, gear= 6, damage= 0.00
Ep:1700 step:240(1703664), a_t=[s= 0.74, t= 0.000233, b= 0.231731], r_t=[r= 100.65, prog= 469.43, pen=-55.83, r_old= 100.65], Reward=  29276.66 /  29276.66 /  260769.07, epsilon=  0.100, speed=  159.53, gear= 6, damage= 0.00
Ep:1700 step:260(1703684), a_t=[s= 0.37, t= 1.000000, b= 0.000000], r_t=[r= 88.21, prog= 403.73, pen=-46.37, r_old= 88.21], Reward=  31388.61 /  31388.61 /  260769.07, epsilon=  0.100, speed=  134.93, gear= 4, damage= 0.00
Ep:1700 step:280(1703704), a_t=[s= 0.12, t= 1.000000, b= 0.000000], r_t=[r= 160.21, prog= 502.37, pen=-7.25, r_old= 160.21], Reward=  34099.02 /  34099.02 /  260769.07, epsilon=  0.100, speed=  167.56, gear= 5, damage= 0.00
Ep:1700 step:300(1703724), a_t=[s= 0.08, t= 1.000000, b= 0.000018], r_t=[r= 133.15, prog= 517.11, pen=-39.22, r_old= 133.15], Reward=  37173.53 /  37173.53 /  260769.07, epsilon=  0.100, speed=  173.06, gear= 6, damage= 0.00
Ep:1700 step:320(1703744), a_t=[s= 0.09, t= 0.999997, b= 0.000112], r_t=[r= 142.45, prog= 514.29, pen=-28.98, r_old= 142.45], Reward=  40088.90 /  40088.90 /  260769.07, epsilon=  0.100, speed=  171.49, gear= 6, damage= 0.00
Ep:1700 step:340(1703764), a_t=[s=-0.07, t= 1.000000, b= 0.000035], r_t=[r= 156.51, prog= 557.85, pen=-29.45, r_old= 156.51], Reward=  43151.55 /  43151.55 /  260769.07, epsilon=  0.100, speed=  185.99, gear= 6, damage= 0.00
Ep:1700 step:360(1703784), a_t=[s= 0.60, t= 1.000000, b= 0.000000], r_t=[r= 72.25, prog= 431.40, pen=-71.55, r_old= 72.25], Reward=  46386.27 /  46386.27 /  260769.07, epsilon=  0.100, speed=  144.77, gear= 5, damage= 0.00
Ep:1700 step:380(1703804), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.01, prog=-0.04, pen= 0.02, r_old= 0.01], Reward=  45967.35 /  45967.35 /  260769.07, epsilon=  0.100, speed= -0.03, gear= 1, damage= 37.00
Ep:1700 step:400(1703824), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.01, prog=-0.05, pen= 0.03, r_old= 0.01], Reward=  45967.05 /  45967.05 /  260769.07, epsilon=  0.100, speed= -0.05, gear= 1, damage= 37.00
Ep:1700 step:420(1703844), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.01, prog=-0.06, pen= 0.03, r_old= 0.01], Reward=  45966.85 /  45966.85 /  260769.07, epsilon=  0.100, speed= -0.05, gear= 1, damage= 37.00
Ep:1700 step:440(1703864), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.03, pen= 0.01, r_old= 0.00], Reward=  45966.26 /  45966.26 /  260769.07, epsilon=  0.100, speed= -0.02, gear= 1, damage= 37.00
Ep:1700 step:460(1703884), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.00, prog= 0.00, pen=-0.00, r_old=-0.00], Reward=  45965.84 /  45965.84 /  260769.07, epsilon=  0.100, speed=  0.00, gear= 1, damage= 37.00
Ep:1700 step:480(1703904), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.05, prog= 0.03, pen=-0.06, r_old=-0.05], Reward=  45965.60 /  45965.60 /  260769.07, epsilon=  0.100, speed=  0.02, gear= 1, damage= 37.00
Ep:1700 step:500(1703924), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.01, prog= 0.01, pen=-0.02, r_old=-0.01], Reward=  45965.24 /  45965.24 /  260769.07, epsilon=  0.100, speed=  0.01, gear= 1, damage= 37.00
Ep:1700 step:520(1703944), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.00, pen= 0.00, r_old= 0.00], Reward=  45964.97 /  45964.97 /  260769.07, epsilon=  0.100, speed= -0.00, gear= 1, damage= 37.00
Ep:1700 step:540(1703964), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.01, pen= 0.01, r_old= 0.00], Reward=  45964.38 /  45964.38 /  260769.07, epsilon=  0.100, speed= -0.01, gear= 1, damage= 37.00
Ep:1700 step:560(1703984), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.01, pen= 0.01, r_old= 0.00], Reward=  45964.21 /  45964.21 /  260769.07, epsilon=  0.100, speed= -0.01, gear= 1, damage= 37.00
