=============================================================
 starting episode: 0/2000
Client connected on 3102..............
Ep:0 step:0(1), a_t=[s=-0.53, t= 0.457705, b= 0.000000], r_t=[r= 0.10, prog= 0.30, pen=-0.00, r_old= 0.10], Reward=  0.10 /  0.10 / -inf, epsilon=  1.000, speed=  0.10, gear= 0, damage= 0.00
Ep:0 step:20(21), a_t=[s= 1.00, t= 0.231608, b= 0.000000], r_t=[r= 12.72, prog= 41.10, pen=-0.98, r_old= 12.72], Reward=  57.55 /  57.55 / -inf, epsilon=  1.000, speed=  13.73, gear= 1, damage= 0.00
Ep:0 step:40(41), a_t=[s=-0.94, t= 0.632020, b= 0.004681], r_t=[r=-74.37, prog= 153.78, pen=-125.63, r_old=-74.37], Reward=  80.18 /  80.18 / -inf, epsilon=  1.000, speed=  58.82, gear= 1, damage= 0.00
Ep:0 step:60(61), a_t=[s=-1.00, t= 0.523645, b= 0.000000], r_t=[r=-50.46, prog= 224.35, pen=-125.25, r_old=-50.46], Reward= -1097.49 / -1097.49 / -inf, epsilon=  1.000, speed=  74.81, gear= 1, damage= 3.00
META = 1 ... Running backwards
=============================================================
 starting episode: 1/2000
Client connected on 3102..............
Ep:1 step:0(76), a_t=[s= 0.16, t= 0.533756, b= 0.000000], r_t=[r= 0.11, prog= 0.33, pen=-0.00, r_old= 0.11], Reward=  0.11 /  0.11 / -1834.21, epsilon=  1.000, speed=  0.11, gear= 1, damage= 0.00
Ep:1 step:20(96), a_t=[s= 0.98, t= 0.222539, b= 0.000000], r_t=[r=-5.57, prog= 109.19, pen=-41.97, r_old=-5.57], Reward=  136.78 /  136.78 / -1834.21, epsilon=  1.000, speed=  38.56, gear= 1, damage= 0.00
Ep:1 step:40(116), a_t=[s= 1.00, t= 0.568599, b= 0.000000], r_t=[r=-0.87, prog= 0.71, pen=-1.11, r_old=-0.87], Reward= -856.43 / -856.43 / -1834.21, epsilon=  1.000, speed=  0.41, gear= 1, damage= 719.00
Ep:1 step:60(136), a_t=[s= 0.43, t= 0.423683, b= 0.000000], r_t=[r= 0.01, prog=-0.04, pen= 0.03, r_old= 0.01], Reward= -865.06 / -865.06 / -1834.21, epsilon=  1.000, speed= -0.02, gear= 1, damage= 719.00
Ep:1 step:80(156), a_t=[s=-1.00, t= 0.588159, b= 0.000000], r_t=[r=-0.27, prog= 0.26, pen=-0.35, r_old=-0.27], Reward= -873.57 / -873.57 / -1834.21, epsilon=  0.999, speed=  0.13, gear= 1, damage= 719.00
Ep:1 step:100(176), a_t=[s=-0.63, t= 0.465091, b= 0.000000], r_t=[r=-0.48, prog= 0.51, pen=-0.65, r_old=-0.48], Reward= -882.54 / -882.54 / -1834.21, epsilon=  0.999, speed=  0.25, gear= 1, damage= 719.00
Ep:1 step:120(196), a_t=[s=-0.63, t= 0.476069, b= 0.000000], r_t=[r=-0.39, prog= 0.45, pen=-0.54, r_old=-0.39], Reward= -893.97 / -893.97 / -1834.21, epsilon=  0.999, speed=  0.21, gear= 1, damage= 719.00
Ep:1 step:140(216), a_t=[s= 0.25, t= 0.604988, b= 0.000000], r_t=[r=-0.49, prog= 0.61, pen=-0.69, r_old=-0.49], Reward= -902.61 / -902.61 / -1834.21, epsilon=  0.999, speed=  0.27, gear= 1, damage= 719.00
Ep:1 step:160(236), a_t=[s= 0.15, t= 0.612449, b= 0.000000], r_t=[r=-0.35, prog= 0.46, pen=-0.50, r_old=-0.35], Reward= -916.12 / -916.12 / -1834.21, epsilon=  0.999, speed=  0.20, gear= 1, damage= 719.00
Ep:1 step:180(256), a_t=[s=-1.00, t= 0.480202, b= 0.000000], r_t=[r=-0.42, prog= 0.60, pen=-0.62, r_old=-0.42], Reward= -929.65 / -929.65 / -1834.21, epsilon=  0.999, speed=  0.25, gear= 1, damage= 719.00
Ep:1 step:200(276), a_t=[s=-1.00, t= 0.410178, b= 0.000000], r_t=[r=-0.58, prog= 0.85, pen=-0.86, r_old=-0.58], Reward= -943.06 / -943.06 / -1834.21, epsilon=  0.999, speed=  0.34, gear= 1, damage= 719.00
Ep:1 step:220(296), a_t=[s= 0.89, t= 0.572560, b= 0.000000], r_t=[r=-0.67, prog= 1.04, pen=-1.02, r_old=-0.67], Reward= -956.48 / -956.48 / -1834.21, epsilon=  0.999, speed=  0.41, gear= 1, damage= 719.00
Ep:1 step:240(316), a_t=[s= 0.25, t= 0.420281, b= 0.000000], r_t=[r=-0.41, prog= 0.67, pen=-0.64, r_old=-0.41], Reward= -972.34 / -972.34 / -1834.21, epsilon=  0.999, speed=  0.26, gear= 1, damage= 719.00
Ep:1 step:260(336), a_t=[s= 0.08, t= 0.751272, b= 0.000000], r_t=[r=-1.04, prog= 1.74, pen=-1.62, r_old=-1.04], Reward= -988.86 / -988.86 / -1834.21, epsilon=  0.999, speed=  0.67, gear= 1, damage= 719.00
Ep:1 step:280(356), a_t=[s=-0.08, t= 0.350232, b= 0.000000], r_t=[r=-0.80, prog= 1.41, pen=-1.27, r_old=-0.80], Reward= -1011.38 / -1011.38 / -1834.21, epsilon=  0.999, speed=  0.53, gear= 1, damage= 719.00
Ep:1 step:300(376), a_t=[s= 0.25, t= 0.462628, b= 0.000000], r_t=[r=-1.07, prog= 1.95, pen=-1.72, r_old=-1.07], Reward= -1033.22 / -1033.22 / -1834.21, epsilon=  0.999, speed=  0.72, gear= 1, damage= 719.00
Ep:1 step:320(396), a_t=[s=-0.86, t= 0.577366, b= 0.000000], r_t=[r=-0.78, prog= 1.44, pen=-1.26, r_old=-0.78], Reward= -1048.55 / -1048.55 / -1834.21, epsilon=  0.999, speed=  0.53, gear= 1, damage= 719.00
Ep:1 step:340(416), a_t=[s= 0.66, t= 0.456077, b= 0.000000], r_t=[r=-1.84, prog= 3.61, pen=-3.04, r_old=-1.84], Reward= -1074.81 / -1074.81 / -1834.21, epsilon=  0.999, speed=  1.31, gear= 1, damage= 719.00
Ep:1 step:360(436), a_t=[s=-0.66, t= 0.518523, b= 0.000000], r_t=[r=-1.81, prog= 3.68, pen=-3.04, r_old=-1.81], Reward= -1100.09 / -1100.09 / -1834.21, epsilon=  0.999, speed=  1.32, gear= 1, damage= 719.00
Ep:1 step:380(456), a_t=[s=-0.55, t= 0.637764, b= 0.000000], r_t=[r=-0.41, prog= 0.84, pen=-0.69, r_old=-0.41], Reward= -1123.19 / -1123.19 / -1834.21, epsilon=  0.998, speed=  0.30, gear= 1, damage= 719.00
Ep:1 step:400(476), a_t=[s=-1.00, t= 0.634072, b= 0.000000], r_t=[r=-3.39, prog= 7.53, pen=-5.90, r_old=-3.39], Reward= -1162.62 / -1162.62 / -1834.21, epsilon=  0.998, speed=  2.64, gear= 1, damage= 719.00
Ep:1 step:420(496), a_t=[s=-0.17, t= 0.540744, b= 0.000000], r_t=[r=-2.12, prog= 4.67, pen=-3.67, r_old=-2.12], Reward= -1187.31 / -1187.31 / -1834.21, epsilon=  0.998, speed=  1.64, gear= 1, damage= 719.00
Ep:1 step:440(516), a_t=[s= 1.00, t= 0.340589, b= 0.000000], r_t=[r=-0.55, prog= 1.24, pen=-0.96, r_old=-0.55], Reward= -1212.18 / -1212.18 / -1834.21, epsilon=  0.998, speed=  0.43, gear= 1, damage= 719.00
Ep:1 step:460(536), a_t=[s=-0.33, t= 0.471044, b= 0.000000], r_t=[r=-2.21, prog= 5.14, pen=-3.92, r_old=-2.21], Reward= -1245.94 / -1245.94 / -1834.21, epsilon=  0.998, speed=  1.79, gear= 1, damage= 719.00
Ep:1 step:480(556), a_t=[s= 0.12, t= 0.596882, b= 0.000000], r_t=[r=-0.94, prog= 2.39, pen=-1.74, r_old=-0.94], Reward= -1307.19 / -1307.19 / -1834.21, epsilon=  0.998, speed=  0.82, gear= 1, damage= 719.00
Ep:1 step:500(576), a_t=[s=-0.48, t= 0.550084, b= 0.000000], r_t=[r=-0.67, prog= 1.66, pen=-1.23, r_old=-0.67], Reward= -1334.95 / -1334.95 / -1834.21, epsilon=  0.998, speed=  0.57, gear= 1, damage= 719.00
