=============================================================
 starting episode: 1200/2000
### TORCS is RELAUNCHED ###
Client connected on 3103..............
Ep:1200 step:0(892229), a_t=[s=-0.64, t= 1.000000, b= 0.000000], r_t=[r= 0.08, prog= 0.24, pen=-0.00, r_old= 0.08], Reward=  0.08 /  0.08 /  259455.47, epsilon=  0.100, speed=  0.08, gear= 1, damage= 0.00
Ep:1200 step:20(892249), a_t=[s= 0.12, t= 1.000000, b= 0.000000], r_t=[r= 68.88, prog= 270.93, pen=-21.43, r_old= 68.88], Reward=  663.33 /  663.33 /  259455.47, epsilon=  0.100, speed=  90.64, gear= 3, damage= 0.00
Ep:1200 step:40(892269), a_t=[s=-0.16, t= 1.000000, b= 0.000000], r_t=[r= 137.69, prog= 422.90, pen=-3.28, r_old= 137.69], Reward=  2486.69 /  2486.69 /  259455.47, epsilon=  0.100, speed=  140.97, gear= 4, damage= 0.00
Ep:1200 step:60(892289), a_t=[s=-0.02, t= 0.999859, b= 0.000000], r_t=[r= 128.45, prog= 494.10, pen=-36.25, r_old= 128.45], Reward=  4861.91 /  4861.91 /  259455.47, epsilon=  0.100, speed=  164.90, gear= 5, damage= 0.00
Ep:1200 step:80(892309), a_t=[s= 0.21, t= 0.944366, b= 0.000000], r_t=[r= 140.59, prog= 504.88, pen=-27.70, r_old= 140.59], Reward=  7694.57 /  7694.57 /  259455.47, epsilon=  0.100, speed=  169.05, gear= 5, damage= 0.00
Ep:1200 step:100(892329), a_t=[s=-0.08, t= 0.546888, b= 0.000000], r_t=[r= 143.89, prog= 485.43, pen=-17.92, r_old= 143.89], Reward=  10232.29 /  10232.29 /  259455.47, epsilon=  0.100, speed=  161.82, gear= 5, damage= 0.00
Ep:1200 step:120(892349), a_t=[s=-0.06, t= 0.502868, b= 0.000000], r_t=[r= 138.73, prog= 491.68, pen=-25.17, r_old= 138.73], Reward=  12993.91 /  12993.91 /  259455.47, epsilon=  0.100, speed=  163.90, gear= 5, damage= 0.00
Ep:1200 step:140(892369), a_t=[s= 0.65, t= 0.001236, b= 0.000000], r_t=[r= 91.92, prog= 415.33, pen=-46.52, r_old= 91.92], Reward=  15325.33 /  15325.33 /  259455.47, epsilon=  0.100, speed=  138.68, gear= 5, damage= 0.00
Ep:1200 step:160(892389), a_t=[s= 0.53, t= 0.874032, b= 0.000000], r_t=[r= 119.41, prog= 403.95, pen=-15.24, r_old= 119.41], Reward=  17141.92 /  17141.92 /  259455.47, epsilon=  0.100, speed=  134.65, gear= 4, damage= 0.00
Ep:1200 step:180(892409), a_t=[s=-0.14, t= 1.000000, b= 0.000000], r_t=[r= 119.79, prog= 425.97, pen=-22.20, r_old= 119.79], Reward=  18456.20 /  18456.20 /  259455.47, epsilon=  0.100, speed=  142.04, gear= 4, damage= 0.00
Ep:1200 step:200(892429), a_t=[s=-0.15, t= 1.000000, b= 0.000000], r_t=[r= 122.38, prog= 472.83, pen=-35.22, r_old= 122.38], Reward=  20860.98 /  20860.98 /  259455.47, epsilon=  0.100, speed=  158.72, gear= 5, damage= 0.00
Ep:1200 step:220(892449), a_t=[s=-0.26, t= 0.018063, b= 0.000000], r_t=[r= 127.27, prog= 486.46, pen=-34.89, r_old= 127.27], Reward=  23614.16 /  23614.16 /  259455.47, epsilon=  0.100, speed=  164.64, gear= 5, damage= 0.00
Ep:1200 step:240(892469), a_t=[s= 0.00, t= 0.987107, b= 0.000000], r_t=[r= 137.42, prog= 506.44, pen=-31.39, r_old= 137.42], Reward=  26281.38 /  26281.38 /  259455.47, epsilon=  0.100, speed=  169.62, gear= 6, damage= 0.00
Ep:1200 step:260(892489), a_t=[s= 0.65, t= 0.917204, b= 0.000000], r_t=[r= 139.01, prog= 423.23, pen=-2.06, r_old= 139.01], Reward=  28399.86 /  28399.86 /  259455.47, epsilon=  0.100, speed=  141.08, gear= 5, damage= 0.00
Ep:1200 step:280(892509), a_t=[s= 0.46, t= 1.000000, b= 0.000000], r_t=[r= 135.09, prog= 455.40, pen=-16.71, r_old= 135.09], Reward=  30714.65 /  30714.65 /  259455.47, epsilon=  0.100, speed=  152.12, gear= 5, damage= 0.00
Ep:1200 step:300(892529), a_t=[s= 0.08, t= 1.000000, b= 0.000000], r_t=[r= 138.92, prog= 506.07, pen=-29.77, r_old= 138.92], Reward=  33489.52 /  33489.52 /  259455.47, epsilon=  0.100, speed=  169.25, gear= 5, damage= 0.00
Ep:1200 step:320(892549), a_t=[s= 0.05, t= 0.226464, b= 0.000000], r_t=[r= 102.73, prog= 502.67, pen=-64.82, r_old= 102.73], Reward=  36245.92 /  36245.92 /  259455.47, epsilon=  0.100, speed=  167.84, gear= 5, damage= 0.00
Ep:1200 step:340(892569), a_t=[s=-0.07, t= 0.613516, b= 0.000000], r_t=[r= 139.14, prog= 485.79, pen=-22.79, r_old= 139.14], Reward=  38651.43 /  38651.43 /  259455.47, epsilon=  0.100, speed=  161.93, gear= 5, damage= 0.00
