=============================================================
 starting episode: 100/2000
Client connected on 3104..............
Ep:100 step:0(40290), a_t=[s= 0.10, t= 0.070087, b= 1.000000], r_t=[r= 0.26, prog= 0.26, pen=-0.00, r_old= 0.26], Reward=  0.26 /  0.26 /  89455.67, epsilon=  0.892, speed=  0.09, gear= 1, damage= 0.00
Ep:100 step:20(40310), a_t=[s= 0.10, t= 0.070302, b= 1.000000], r_t=[r=-0.11, prog=-0.11, pen=-0.00, r_old=-0.11], Reward= -0.65 / -0.65 /  89455.67, epsilon=  0.892, speed= -0.04, gear= 1, damage= 0.00
Ep:100 step:40(40330), a_t=[s= 0.10, t= 0.067838, b= 1.000000], r_t=[r=-0.07, prog=-0.07, pen=-0.00, r_old=-0.07], Reward= -1.00 / -1.00 /  89455.67, epsilon=  0.892, speed= -0.02, gear= 1, damage= 0.00
Ep:100 step:60(40350), a_t=[s= 0.10, t= 0.067655, b= 1.000000], r_t=[r=-0.01, prog=-0.01, pen=-0.00, r_old=-0.01], Reward= -0.78 / -0.78 /  89455.67, epsilon=  0.892, speed= -0.00, gear= 1, damage= 0.00
Ep:100 step:80(40370), a_t=[s= 0.10, t= 0.065960, b= 1.000000], r_t=[r=-0.02, prog=-0.02, pen= 0.00, r_old=-0.02], Reward=  0.85 /  0.85 /  89455.67, epsilon=  0.892, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:100(40390), a_t=[s= 0.09, t= 0.064970, b= 1.000000], r_t=[r=-0.06, prog=-0.06, pen=-0.00, r_old=-0.06], Reward=  1.13 /  1.13 /  89455.67, epsilon=  0.892, speed= -0.02, gear= 1, damage= 0.00
Ep:100 step:120(40410), a_t=[s= 0.09, t= 0.063806, b= 1.000000], r_t=[r=-0.02, prog=-0.02, pen=-0.00, r_old=-0.02], Reward=  1.46 /  1.46 /  89455.67, epsilon=  0.892, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:140(40430), a_t=[s= 0.09, t= 0.062677, b= 1.000000], r_t=[r=-0.22, prog=-0.21, pen=-0.00, r_old=-0.22], Reward=  1.49 /  1.49 /  89455.67, epsilon=  0.892, speed= -0.07, gear= 1, damage= 0.00
Ep:100 step:160(40450), a_t=[s= 0.09, t= 0.061477, b= 1.000000], r_t=[r= 0.01, prog= 0.01, pen=-0.00, r_old= 0.01], Reward=  2.72 /  2.72 /  89455.67, epsilon=  0.892, speed=  0.00, gear= 1, damage= 0.00
Ep:100 step:180(40470), a_t=[s= 0.08, t= 0.059217, b= 1.000000], r_t=[r=-0.03, prog=-0.03, pen=-0.00, r_old=-0.03], Reward=  2.93 /  2.93 /  89455.67, epsilon=  0.892, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:200(40490), a_t=[s= 0.09, t= 0.059319, b= 1.000000], r_t=[r=-0.01, prog=-0.01, pen=-0.00, r_old=-0.01], Reward=  1.47 /  1.47 /  89455.67, epsilon=  0.892, speed= -0.00, gear= 1, damage= 0.00
Ep:100 step:220(40510), a_t=[s= 0.07, t= 0.056717, b= 1.000000], r_t=[r= 0.17, prog= 0.18, pen=-0.00, r_old= 0.17], Reward=  3.30 /  3.30 /  89455.67, epsilon=  0.892, speed=  0.06, gear= 1, damage= 0.00
Ep:100 step:240(40530), a_t=[s= 0.07, t= 0.056896, b= 1.000000], r_t=[r=-0.27, prog=-0.27, pen=-0.00, r_old=-0.27], Reward=  4.28 /  4.28 /  89455.67, epsilon=  0.892, speed= -0.09, gear= 1, damage= 0.00
Ep:100 step:260(40550), a_t=[s= 0.07, t= 0.055977, b= 1.000000], r_t=[r=-0.35, prog=-0.34, pen=-0.00, r_old=-0.35], Reward=  1.95 /  1.95 /  89455.67, epsilon=  0.892, speed= -0.12, gear= 1, damage= 0.00
Ep:100 step:280(40570), a_t=[s= 0.07, t= 0.054691, b= 1.000000], r_t=[r=-0.06, prog=-0.06, pen=-0.00, r_old=-0.06], Reward= -0.60 / -0.60 /  89455.67, epsilon=  0.892, speed= -0.02, gear= 1, damage= 0.00
Ep:100 step:300(40590), a_t=[s= 0.06, t= 0.052278, b= 1.000000], r_t=[r= 0.27, prog= 0.28, pen=-0.01, r_old= 0.27], Reward= -2.38 / -2.38 /  89455.67, epsilon=  0.892, speed=  0.09, gear= 1, damage= 0.00
Ep:100 step:320(40610), a_t=[s= 0.07, t= 0.052654, b= 1.000000], r_t=[r=-0.06, prog=-0.06, pen=-0.00, r_old=-0.06], Reward= -0.29 / -0.29 /  89455.67, epsilon=  0.892, speed= -0.02, gear= 1, damage= 0.00
