=============================================================
 starting episode: 200/2000
Waiting for server on 3104............
Count Down : 5
Client connected on 3104..............
Ep:200 step:0(78858), a_t=[s=-0.93, t= 0.999987, b= 0.000000], r_t=[r=-0.14, prog=-0.14, pen= 0.00, r_old=-0.14], Reward= -0.14 / -0.14 /  120736.18, epsilon=  0.797, speed= -0.05, gear= 1, damage= 0.00
Ep:200 step:20(78878), a_t=[s= 0.07, t= 1.000000, b= 0.000000], r_t=[r= 241.13, prog= 251.04, pen=-9.90, r_old= 241.13], Reward=  2693.35 /  2693.35 /  120736.18, epsilon=  0.797, speed=  83.75, gear= 1, damage= 0.00
Ep:200 step:40(78898), a_t=[s= 0.21, t= 1.000000, b= 0.000000], r_t=[r= 243.38, prog= 251.93, pen=-8.55, r_old= 243.38], Reward=  7609.99 /  7609.99 /  120736.18, epsilon=  0.797, speed=  84.02, gear= 1, damage= 0.00
Ep:200 step:60(78918), a_t=[s= 0.13, t= 1.000000, b= 0.000000], r_t=[r= 245.40, prog= 252.59, pen=-7.19, r_old= 245.40], Reward=  12508.73 /  12508.73 /  120736.18, epsilon=  0.797, speed=  84.22, gear= 1, damage= 0.00
Ep:200 step:80(78938), a_t=[s= 0.08, t= 1.000000, b= 0.000000], r_t=[r= 251.04, prog= 252.85, pen=-1.81, r_old= 251.04], Reward=  17424.62 /  17424.62 /  120736.18, epsilon=  0.797, speed=  84.29, gear= 1, damage= 0.00
Ep:200 step:100(78958), a_t=[s=-0.03, t= 1.000000, b= 0.000000], r_t=[r= 246.62, prog= 252.67, pen=-6.05, r_old= 246.62], Reward=  22377.75 /  22377.75 /  120736.18, epsilon=  0.797, speed=  84.22, gear= 1, damage= 0.00
Ep:200 step:120(78978), a_t=[s= 0.02, t= 1.000000, b= 0.000000], r_t=[r= 230.50, prog= 251.39, pen=-20.88, r_old= 230.50], Reward=  27143.05 /  27143.05 /  120736.18, epsilon=  0.797, speed=  83.90, gear= 1, damage= 0.00
Ep:200 step:140(78998), a_t=[s= 0.07, t= 1.000000, b= 0.000000], r_t=[r= 247.32, prog= 252.11, pen=-4.80, r_old= 247.32], Reward=  31962.70 /  31962.70 /  120736.18, epsilon=  0.797, speed=  84.04, gear= 1, damage= 0.00
Ep:200 step:160(79018), a_t=[s=-0.11, t= 1.000000, b= 0.000000], r_t=[r= 240.81, prog= 251.17, pen=-10.36, r_old= 240.81], Reward=  36847.55 /  36847.55 /  120736.18, epsilon=  0.797, speed=  83.77, gear= 1, damage= 0.00
Ep:200 step:180(79038), a_t=[s= 0.18, t= 1.000000, b= 0.000000], r_t=[r= 234.72, prog= 251.52, pen=-16.79, r_old= 234.72], Reward=  41710.08 /  41710.08 /  120736.18, epsilon=  0.797, speed=  83.95, gear= 1, damage= 0.00
Ep:200 step:200(79058), a_t=[s=-0.05, t= 1.000000, b= 0.000000], r_t=[r= 237.32, prog= 251.28, pen=-13.97, r_old= 237.32], Reward=  46575.90 /  46575.90 /  120736.18, epsilon=  0.797, speed=  83.83, gear= 1, damage= 0.00
Ep:200 step:220(79078), a_t=[s= 0.09, t= 1.000000, b= 0.000000], r_t=[r= 243.25, prog= 252.55, pen=-9.30, r_old= 243.25], Reward=  51345.69 /  51345.69 /  120736.18, epsilon=  0.797, speed=  84.32, gear= 1, damage= 0.00
Ep:200 step:240(79098), a_t=[s= 0.13, t= 1.000000, b= 0.000000], r_t=[r= 244.86, prog= 251.31, pen=-6.45, r_old= 244.86], Reward=  56156.59 /  56156.59 /  120736.18, epsilon=  0.797, speed=  83.81, gear= 1, damage= 0.00
Ep:200 step:260(79118), a_t=[s=-0.08, t= 1.000000, b= 0.000000], r_t=[r= 230.27, prog= 251.21, pen=-20.94, r_old= 230.27], Reward=  60994.13 /  60994.13 /  120736.18, epsilon=  0.797, speed=  83.75, gear= 1, damage= 0.00
Ep:200 step:280(79138), a_t=[s= 0.09, t= 1.000000, b= 0.000000], r_t=[r= 244.44, prog= 251.69, pen=-7.24, r_old= 244.44], Reward=  65897.90 /  65897.90 /  120736.18, epsilon=  0.797, speed=  83.92, gear= 1, damage= 0.00
Ep:200 step:300(79158), a_t=[s= 0.05, t= 1.000000, b= 0.000000], r_t=[r= 249.12, prog= 252.44, pen=-3.32, r_old= 249.12], Reward=  70815.95 /  70815.95 /  120736.18, epsilon=  0.797, speed=  84.18, gear= 1, damage= 0.00
Ep:200 step:320(79178), a_t=[s= 0.07, t= 1.000000, b= 0.000000], r_t=[r= 243.10, prog= 251.38, pen=-8.28, r_old= 243.10], Reward=  75648.65 /  75648.65 /  120736.18, epsilon=  0.797, speed=  83.80, gear= 1, damage= 0.00
Ep:200 step:340(79198), a_t=[s= 0.07, t= 1.000000, b= 0.000000], r_t=[r= 245.03, prog= 251.78, pen=-6.75, r_old= 245.03], Reward=  80545.62 /  80545.62 /  120736.18, epsilon=  0.797, speed=  83.94, gear= 1, damage= 0.00
Ep:200 step:360(79218), a_t=[s=-0.01, t= 1.000000, b= 0.000000], r_t=[r= 245.61, prog= 252.62, pen=-7.01, r_old= 245.61], Reward=  85465.29 /  85465.29 /  120736.18, epsilon=  0.797, speed=  84.21, gear= 1, damage= 0.00
Ep:200 step:380(79238), a_t=[s=-0.14, t= 1.000000, b= 0.000000], r_t=[r= 250.70, prog= 254.98, pen=-4.28, r_old= 250.70], Reward=  90372.39 /  90372.39 /  120736.18, epsilon=  0.797, speed=  85.01, gear= 1, damage= 0.00
Ep:200 step:400(79258), a_t=[s= 0.03, t= 1.000000, b= 0.000000], r_t=[r= 235.79, prog= 251.67, pen=-15.88, r_old= 235.79], Reward=  95274.86 /  95274.86 /  120736.18, epsilon=  0.797, speed=  83.92, gear= 1, damage= 0.00
Ep:200 step:420(79278), a_t=[s=-0.04, t= 1.000000, b= 0.000000], r_t=[r= 247.17, prog= 251.70, pen=-4.54, r_old= 247.17], Reward=  100172.86 /  100172.86 /  120736.18, epsilon=  0.797, speed=  83.90, gear= 1, damage= 0.00
Ep:200 step:440(79298), a_t=[s= 0.10, t= 1.000000, b= 0.000000], r_t=[r= 246.78, prog= 252.08, pen=-5.30, r_old= 246.78], Reward=  104954.04 /  104954.04 /  120736.18, epsilon=  0.797, speed=  84.05, gear= 1, damage= 0.00
Ep:200 step:460(79318), a_t=[s= 0.18, t= 1.000000, b= 0.000000], r_t=[r= 250.79, prog= 252.00, pen=-1.21, r_old= 250.79], Reward=  109949.94 /  109949.94 /  120736.18, epsilon=  0.797, speed=  84.00, gear= 1, damage= 0.00
Ep:200 step:480(79338), a_t=[s=-0.18, t= 1.000000, b= 0.000000], r_t=[r= 244.05, prog= 250.94, pen=-6.89, r_old= 244.05], Reward=  114861.26 /  114861.26 /  120736.18, epsilon=  0.797, speed=  83.68, gear= 1, damage= 0.00
Ep:200 step:500(79358), a_t=[s=-0.14, t= 1.000000, b= 0.000000], r_t=[r= 244.61, prog= 252.01, pen=-7.40, r_old= 244.61], Reward=  119757.96 /  119757.96 /  120736.18, epsilon=  0.797, speed=  84.04, gear= 1, damage= 0.00
Ep:200 step:520(79378), a_t=[s=-0.24, t= 1.000000, b= 0.000000], r_t=[r= 245.19, prog= 250.85, pen=-5.65, r_old= 245.19], Reward=  124650.55 /  124650.55 /  120736.18, epsilon=  0.797, speed=  83.65, gear= 1, damage= 0.00
Ep:200 step:540(79398), a_t=[s=-0.06, t= 1.000000, b= 0.000000], r_t=[r= 244.04, prog= 251.52, pen=-7.48, r_old= 244.04], Reward=  129582.37 /  129582.37 /  120736.18, epsilon=  0.797, speed=  83.84, gear= 1, damage= 0.00
Ep:200 step:560(79418), a_t=[s=-0.03, t= 1.000000, b= 0.000000], r_t=[r= 231.27, prog= 251.28, pen=-20.01, r_old= 231.27], Reward=  134308.47 /  134308.47 /  120736.18, epsilon=  0.797, speed=  83.77, gear= 1, damage= 0.00
Ep:200 step:580(79438), a_t=[s= 0.08, t= 1.000000, b= 0.000000], r_t=[r= 247.94, prog= 252.72, pen=-4.78, r_old= 247.94], Reward=  139168.11 /  139168.11 /  120736.18, epsilon=  0.797, speed=  84.24, gear= 1, damage= 0.00
Ep:200 step:600(79458), a_t=[s=-0.06, t= 1.000000, b= 0.000000], r_t=[r= 244.49, prog= 251.19, pen=-6.70, r_old= 244.49], Reward=  144030.18 /  144030.18 /  120736.18, epsilon=  0.797, speed=  83.78, gear= 1, damage= 0.00
Ep:200 step:620(79478), a_t=[s=-0.04, t= 1.000000, b= 0.000000], r_t=[r= 239.94, prog= 251.17, pen=-11.23, r_old= 239.94], Reward=  148903.80 /  148903.80 /  120736.18, epsilon=  0.797, speed=  83.73, gear= 1, damage= 0.00
Ep:200 step:640(79498), a_t=[s=-0.06, t= 1.000000, b= 0.000000], r_t=[r= 244.17, prog= 252.25, pen=-8.07, r_old= 244.17], Reward=  153770.98 /  153770.98 /  120736.18, epsilon=  0.797, speed=  84.09, gear= 1, damage= 0.00
Ep:200 step:660(79518), a_t=[s= 0.01, t= 1.000000, b= 0.000000], r_t=[r= 243.75, prog= 250.83, pen=-7.09, r_old= 243.75], Reward=  158578.82 /  158578.82 /  120736.18, epsilon=  0.797, speed=  83.79, gear= 1, damage= 0.00
Ep:200 step:680(79538), a_t=[s= 0.12, t= 1.000000, b= 0.000000], r_t=[r= 246.25, prog= 252.12, pen=-5.86, r_old= 246.25], Reward=  163380.90 /  163380.90 /  120736.18, epsilon=  0.797, speed=  84.04, gear= 1, damage= 0.00
Ep:200 step:700(79558), a_t=[s= 0.11, t= 1.000000, b= 0.000000], r_t=[r= 232.15, prog= 250.98, pen=-18.83, r_old= 232.15], Reward=  168178.47 /  168178.47 /  120736.18, epsilon=  0.797, speed=  83.92, gear= 1, damage= 0.00
Ep:200 step:720(79578), a_t=[s= 0.08, t= 1.000000, b= 0.000000], r_t=[r= 246.28, prog= 252.02, pen=-5.74, r_old= 246.28], Reward=  173097.44 /  173097.44 /  120736.18, epsilon=  0.797, speed=  84.01, gear= 1, damage= 0.00
Ep:200 step:740(79598), a_t=[s= 0.01, t= 1.000000, b= 0.000000], r_t=[r= 246.33, prog= 250.96, pen=-4.63, r_old= 246.33], Reward=  177999.98 /  177999.98 /  120736.18, epsilon=  0.797, speed=  83.76, gear= 1, damage= 0.00
Ep:200 step:760(79618), a_t=[s=-0.06, t= 1.000000, b= 0.000000], r_t=[r= 243.52, prog= 252.01, pen=-8.48, r_old= 243.52], Reward=  182810.13 /  182810.13 /  120736.18, epsilon=  0.797, speed=  84.01, gear= 1, damage= 0.00
Ep:200 step:780(79638), a_t=[s=-0.13, t= 1.000000, b= 0.000000], r_t=[r= 245.37, prog= 251.35, pen=-5.98, r_old= 245.37], Reward=  187706.76 /  187706.76 /  120736.18, epsilon=  0.797, speed=  83.81, gear= 1, damage= 0.00
Ep:200 step:800(79658), a_t=[s= 0.05, t= 1.000000, b= 0.000000], r_t=[r= 244.47, prog= 251.77, pen=-7.30, r_old= 244.47], Reward=  192630.54 /  192630.54 /  120736.18, epsilon=  0.797, speed=  83.93, gear= 1, damage= 0.00
Ep:200 step:820(79678), a_t=[s= 0.11, t= 1.000000, b= 0.000000], r_t=[r= 251.31, prog= 255.81, pen=-4.51, r_old= 251.31], Reward=  197574.00 /  197574.00 /  120736.18, epsilon=  0.797, speed=  85.30, gear= 1, damage= 0.00
Ep:200 step:840(79698), a_t=[s=-0.01, t= 1.000000, b= 0.000000], r_t=[r= 234.21, prog= 251.43, pen=-17.22, r_old= 234.21], Reward=  202429.54 /  202429.54 /  120736.18, epsilon=  0.797, speed=  83.83, gear= 1, damage= 0.00
Ep:200 step:860(79718), a_t=[s=-0.05, t= 1.000000, b= 0.000000], r_t=[r= 246.84, prog= 251.35, pen=-4.51, r_old= 246.84], Reward=  207343.47 /  207343.47 /  120736.18, epsilon=  0.797, speed=  83.78, gear= 1, damage= 0.00
Ep:200 step:880(79738), a_t=[s= 0.13, t= 1.000000, b= 0.000000], r_t=[r= 248.45, prog= 251.64, pen=-3.19, r_old= 248.45], Reward=  212141.11 /  212141.11 /  120736.18, epsilon=  0.797, speed=  83.88, gear= 1, damage= 0.00
Ep:200 step:900(79758), a_t=[s= 0.18, t= 1.000000, b= 0.000000], r_t=[r= 250.16, prog= 252.31, pen=-2.15, r_old= 250.16], Reward=  217140.33 /  217140.33 /  120736.18, epsilon=  0.797, speed=  84.11, gear= 1, damage= 0.00
Ep:200 step:920(79778), a_t=[s= 0.20, t= 1.000000, b= 0.000000], r_t=[r= 245.61, prog= 252.28, pen=-6.67, r_old= 245.61], Reward=  222058.94 /  222058.94 /  120736.18, epsilon=  0.797, speed=  84.12, gear= 1, damage= 0.00
