=============================================================
 starting episode: 0/2000
Client connected on 3105..............
Ep:0 step:0(1), a_t=[s= 0.24, t= 0.550774, b= 0.000000], r_t=[r= 0.30, prog= 0.30, pen=-0.00, r_old= 0.30], Reward=  0.30 /  0.30 / -inf, epsilon=  1.000, speed=  0.10, gear= 0, damage= 0.00
Ep:0 step:20(21), a_t=[s= 0.10, t= 0.494326, b= 0.000000], r_t=[r=-0.72, prog=-0.72, pen=-0.01, r_old=-0.72], Reward= -4.37 / -4.37 / -inf, epsilon=  1.000, speed= -0.24, gear= 0, damage= 0.00
Ep:0 step:40(41), a_t=[s= 0.52, t= 0.572671, b= 0.000000], r_t=[r= 53.08, prog= 70.89, pen=-17.81, r_old= 53.08], Reward=  570.75 /  570.75 / -inf, epsilon=  1.000, speed=  25.45, gear= 1, damage= 0.00
Ep:0 step:60(61), a_t=[s= 0.55, t= 0.616375, b= 0.000000], r_t=[r=-0.28, prog= 0.42, pen=-0.69, r_old=-0.28], Reward=  254.14 /  254.14 / -inf, epsilon=  1.000, speed=  0.26, gear= 1, damage= 994.00
Ep:0 step:80(81), a_t=[s= 0.70, t= 0.464730, b= 0.000000], r_t=[r=-0.04, prog= 0.07, pen=-0.11, r_old=-0.04], Reward=  251.94 /  251.94 / -inf, epsilon=  1.000, speed=  0.04, gear= 2, damage= 994.00
Ep:0 step:100(101), a_t=[s=-0.94, t= 0.329764, b= 0.000000], r_t=[r=-0.02, prog=-0.04, pen= 0.02, r_old=-0.02], Reward=  249.40 /  249.40 / -inf, epsilon=  1.000, speed= -0.02, gear= 1, damage= 994.00
Ep:0 step:120(121), a_t=[s= 0.75, t= 0.493250, b= 0.000000], r_t=[r=-0.18, prog= 0.49, pen=-0.67, r_old=-0.18], Reward=  246.47 /  246.47 / -inf, epsilon=  1.000, speed=  0.26, gear= 1, damage= 994.00
Ep:0 step:140(141), a_t=[s=-1.00, t= 0.399509, b= 0.000000], r_t=[r=-0.19, prog= 0.69, pen=-0.87, r_old=-0.19], Reward=  243.20 /  243.20 / -inf, epsilon=  1.000, speed=  0.34, gear= 1, damage= 994.00
Ep:0 step:160(161), a_t=[s= 0.76, t= 0.550244, b= 0.000000], r_t=[r=-0.16, prog= 0.79, pen=-0.96, r_old=-0.16], Reward=  240.81 /  240.81 / -inf, epsilon=  0.999, speed=  0.38, gear= 1, damage= 994.00
Ep:0 step:180(181), a_t=[s=-1.00, t= 0.382700, b= 0.000000], r_t=[r=-0.05, prog= 0.35, pen=-0.40, r_old=-0.05], Reward=  239.18 /  239.18 / -inf, epsilon=  0.999, speed=  0.16, gear= 1, damage= 994.00
Ep:0 step:200(201), a_t=[s= 0.99, t= 0.656998, b= 0.000000], r_t=[r=-0.08, prog= 0.91, pen=-0.99, r_old=-0.08], Reward=  237.32 /  237.32 / -inf, epsilon=  0.999, speed=  0.40, gear= 1, damage= 994.00
Ep:0 step:220(221), a_t=[s= 0.44, t= 0.440962, b= 0.000000], r_t=[r=-0.02, prog= 1.00, pen=-1.02, r_old=-0.02], Reward=  236.37 /  236.37 / -inf, epsilon=  0.999, speed=  0.42, gear= 1, damage= 994.00
Ep:0 step:240(241), a_t=[s= 1.00, t= 0.664111, b= 0.000000], r_t=[r= 0.05, prog= 1.24, pen=-1.19, r_old= 0.05], Reward=  236.74 /  236.74 / -inf, epsilon=  0.999, speed=  0.49, gear= 1, damage= 994.00
Ep:0 step:260(261), a_t=[s=-1.00, t= 0.485744, b= 0.000000], r_t=[r= 0.29, prog= 2.77, pen=-2.48, r_old= 0.29], Reward=  239.62 /  239.62 / -inf, epsilon=  0.999, speed=  1.06, gear= 1, damage= 994.00
Ep:0 step:280(281), a_t=[s= 1.00, t= 0.578819, b= 0.000000], r_t=[r= 0.17, prog= 0.86, pen=-0.69, r_old= 0.17], Reward=  252.90 /  252.90 / -inf, epsilon=  0.999, speed=  0.31, gear= 1, damage= 994.00
Ep:0 step:300(301), a_t=[s= 0.99, t= 0.611915, b= 0.000000], r_t=[r= 4.53, prog= 16.02, pen=-11.49, r_old= 4.53], Reward=  288.47 /  288.47 / -inf, epsilon=  0.999, speed=  5.46, gear= 1, damage= 994.00
Ep:0 step:320(321), a_t=[s= 0.41, t= 0.543709, b= 0.000000], r_t=[r= 25.37, prog= 71.31, pen=-45.93, r_old= 25.37], Reward=  552.34 /  552.34 / -inf, epsilon=  0.999, speed=  23.82, gear= 1, damage= 994.00
Ep:0 step:340(341), a_t=[s= 0.16, t= 0.650940, b= 0.000000], r_t=[r= 8.91, prog= 127.21, pen=-118.31, r_old= 8.91], Reward=  1802.35 /  1802.35 / -inf, epsilon=  0.999, speed=  76.26, gear= 1, damage= 994.00
META = 1 ... Running backwards
=============================================================
 starting episode: 1/2000
Client connected on 3105..............
Ep:1 step:0(348), a_t=[s= 0.22, t= 0.593535, b= 0.001413], r_t=[r= 0.21, prog= 0.21, pen=-0.00, r_old= 0.21], Reward=  0.21 /  0.21 /  846.39, epsilon=  0.999, speed=  0.07, gear= 1, damage= 0.00
Ep:1 step:20(368), a_t=[s= 0.37, t= 0.430599, b= 0.000000], r_t=[r= 32.87, prog= 106.92, pen=-74.05, r_old= 32.87], Reward=  714.68 /  714.68 /  846.39, epsilon=  0.999, speed=  43.55, gear= 1, damage= 0.00
META = 1 ... Running backwards
=============================================================
 starting episode: 2/2000
Client connected on 3105..............
Ep:2 step:0(374), a_t=[s= 0.62, t= 0.530602, b= 0.000000], r_t=[r= 0.24, prog= 0.24, pen=-0.00, r_old= 0.24], Reward=  0.24 /  0.24 /  846.39, epsilon=  0.999, speed=  0.08, gear= 1, damage= 0.00
Ep:2 step:20(394), a_t=[s=-0.44, t= 0.507239, b= 0.000000], r_t=[r= 127.25, prog= 133.11, pen=-5.87, r_old= 127.25], Reward=  1141.85 /  1141.85 /  846.39, epsilon=  0.999, speed=  44.40, gear= 1, damage= 0.00
Ep:2 step:40(414), a_t=[s= 0.42, t= 0.432670, b= 0.000000], r_t=[r=-0.08, prog= 0.31, pen=-0.39, r_old=-0.08], Reward=  1634.95 /  1634.95 /  846.39, epsilon=  0.999, speed=  0.17, gear= 1, damage= 504.00
Ep:2 step:60(434), a_t=[s= 1.00, t= 0.396311, b= 0.000000], r_t=[r=-0.02, prog= 0.19, pen=-0.21, r_old=-0.02], Reward=  1633.23 /  1633.23 /  846.39, epsilon=  0.999, speed=  0.09, gear= 1, damage= 504.00
Ep:2 step:80(454), a_t=[s=-0.35, t= 0.520112, b= 0.000000], r_t=[r=-0.05, prog= 0.39, pen=-0.43, r_old=-0.05], Reward=  1632.35 /  1632.35 /  846.39, epsilon=  0.998, speed=  0.19, gear= 1, damage= 504.00
Ep:2 step:100(474), a_t=[s= 0.54, t= 0.552673, b= 0.000000], r_t=[r=-0.02, prog= 0.66, pen=-0.69, r_old=-0.02], Reward=  1631.46 /  1631.46 /  846.39, epsilon=  0.998, speed=  0.31, gear= 1, damage= 504.00
Ep:2 step:120(494), a_t=[s= 1.00, t= 0.537442, b= 0.000000], r_t=[r= 0.00, prog= 0.33, pen=-0.33, r_old= 0.00], Reward=  1631.37 /  1631.37 /  846.39, epsilon=  0.998, speed=  0.15, gear= 1, damage= 504.00
Ep:2 step:140(514), a_t=[s= 0.99, t= 0.501719, b= 0.000000], r_t=[r= 0.03, prog= 0.80, pen=-0.76, r_old= 0.03], Reward=  1631.73 /  1631.73 /  846.39, epsilon=  0.998, speed=  0.35, gear= 1, damage= 504.00
Ep:2 step:160(534), a_t=[s= 0.61, t= 0.530551, b= 0.000000], r_t=[r= 0.10, prog= 0.91, pen=-0.81, r_old= 0.10], Reward=  1633.53 /  1633.53 /  846.39, epsilon=  0.998, speed=  0.38, gear= 1, damage= 504.00
Ep:2 step:180(554), a_t=[s=-0.16, t= 0.578035, b= 0.000000], r_t=[r= 0.23, prog= 1.63, pen=-1.40, r_old= 0.23], Reward=  1636.00 /  1636.00 /  846.39, epsilon=  0.998, speed=  0.67, gear= 1, damage= 504.00
Ep:2 step:200(574), a_t=[s=-0.01, t= 0.624333, b= 0.000000], r_t=[r= 0.29, prog= 1.56, pen=-1.27, r_old= 0.29], Reward=  1640.11 /  1640.11 /  846.39, epsilon=  0.998, speed=  0.62, gear= 1, damage= 504.00
Ep:2 step:220(594), a_t=[s= 1.00, t= 0.322315, b= 0.000000], r_t=[r= 0.13, prog= 0.61, pen=-0.49, r_old= 0.13], Reward=  1645.02 /  1645.02 /  846.39, epsilon=  0.998, speed=  0.24, gear= 1, damage= 504.00
Ep:2 step:240(614), a_t=[s=-0.18, t= 0.600899, b= 0.000000], r_t=[r= 0.61, prog= 2.45, pen=-1.84, r_old= 0.61], Reward=  1653.81 /  1653.81 /  846.39, epsilon=  0.998, speed=  0.92, gear= 1, damage= 504.00
Ep:2 step:260(634), a_t=[s=-1.00, t= 0.475393, b= 0.000000], r_t=[r= 2.79, prog= 9.44, pen=-6.66, r_old= 2.79], Reward=  1668.80 /  1668.80 /  846.39, epsilon=  0.998, speed=  3.41, gear= 1, damage= 504.00
Ep:2 step:280(654), a_t=[s= 0.16, t= 0.306941, b= 0.000000], r_t=[r= 1.30, prog= 3.85, pen=-2.55, r_old= 1.30], Reward=  1701.41 /  1701.41 /  846.39, epsilon=  0.998, speed=  1.35, gear= 1, damage= 504.00
Ep:2 step:300(674), a_t=[s=-0.56, t= 0.569923, b= 0.000000], r_t=[r= 2.30, prog= 6.61, pen=-4.31, r_old= 2.30], Reward=  1725.06 /  1725.06 /  846.39, epsilon=  0.998, speed=  2.30, gear= 1, damage= 504.00
Ep:2 step:320(694), a_t=[s= 0.73, t= 0.574234, b= 0.000000], r_t=[r= 2.29, prog= 6.20, pen=-3.91, r_old= 2.29], Reward=  1779.49 /  1779.49 /  846.39, epsilon=  0.998, speed=  2.13, gear= 1, damage= 504.00
Ep:2 step:340(714), a_t=[s= 0.20, t= 0.487130, b= 0.000000], r_t=[r= 8.17, prog= 21.36, pen=-13.18, r_old= 8.17], Reward=  1826.63 /  1826.63 /  846.39, epsilon=  0.998, speed=  7.26, gear= 1, damage= 521.00
Ep:2 step:360(734), a_t=[s= 0.88, t= 0.493085, b= 0.000000], r_t=[r= 0.60, prog= 2.09, pen=-1.49, r_old= 0.60], Reward=  1746.43 /  1746.43 /  846.39, epsilon=  0.998, speed=  0.76, gear= 1, damage= 648.00
Ep:2 step:380(754), a_t=[s= 1.00, t= 0.353784, b= 0.000000], r_t=[r= 1.60, prog= 4.47, pen=-2.88, r_old= 1.60], Reward=  1789.90 /  1789.90 /  846.39, epsilon=  0.997, speed=  1.54, gear= 1, damage= 648.00
Ep:2 step:400(774), a_t=[s=-0.40, t= 0.602525, b= 0.000000], r_t=[r= 5.32, prog= 15.49, pen=-10.18, r_old= 5.32], Reward=  1885.87 /  1885.87 /  846.39, epsilon=  0.997, speed=  5.40, gear= 1, damage= 667.00
Ep:2 step:420(794), a_t=[s= 0.53, t= 0.575208, b= 0.000000], r_t=[r= 17.63, prog= 44.89, pen=-27.25, r_old= 17.63], Reward=  2137.72 /  2137.72 /  846.39, epsilon=  0.997, speed=  15.19, gear= 1, damage= 667.00
Ep:2 step:440(814), a_t=[s=-0.91, t= 0.552548, b= 0.000000], r_t=[r=-0.06, prog= 0.13, pen=-0.19, r_old=-0.06], Reward=  2201.55 /  2201.55 /  846.39, epsilon=  0.997, speed=  0.08, gear= 1, damage= 699.00
Ep:2 step:460(834), a_t=[s= 1.00, t= 0.384860, b= 0.000000], r_t=[r=-0.03, prog= 0.09, pen=-0.13, r_old=-0.03], Reward=  2199.58 /  2199.58 /  846.39, epsilon=  0.997, speed=  0.06, gear= 1, damage= 699.00
Ep:2 step:480(854), a_t=[s=-0.36, t= 0.540005, b= 0.039252], r_t=[r=-0.09, prog= 0.34, pen=-0.43, r_old=-0.09], Reward=  2197.58 /  2197.58 /  846.39, epsilon=  0.997, speed=  0.19, gear= 1, damage= 699.00
Ep:2 step:500(874), a_t=[s=-0.36, t= 0.546321, b= 0.000000], r_t=[r=-0.05, prog= 0.39, pen=-0.44, r_old=-0.05], Reward=  2195.85 /  2195.85 /  846.39, epsilon=  0.997, speed=  0.20, gear= 1, damage= 699.00
Ep:2 step:520(894), a_t=[s=-0.73, t= 0.635140, b= 0.000000], r_t=[r=-0.08, prog= 0.70, pen=-0.78, r_old=-0.08], Reward=  2194.81 /  2194.81 /  846.39, epsilon=  0.997, speed=  0.35, gear= 1, damage= 699.00
Ep:2 step:540(914), a_t=[s= 1.00, t= 0.548406, b= 0.000000], r_t=[r=-0.01, prog= 0.38, pen=-0.39, r_old=-0.01], Reward=  2194.08 /  2194.08 /  846.39, epsilon=  0.997, speed=  0.18, gear= 1, damage= 699.00
Ep:2 step:560(934), a_t=[s= 0.54, t= 0.681352, b= 0.000000], r_t=[r= 0.01, prog= 0.78, pen=-0.77, r_old= 0.01], Reward=  2194.05 /  2194.05 /  846.39, epsilon=  0.997, speed=  0.35, gear= 1, damage= 699.00
Ep:2 step:580(954), a_t=[s= 0.07, t= 0.511383, b= 0.000000], r_t=[r= 0.03, prog= 0.53, pen=-0.50, r_old= 0.03], Reward=  2194.53 /  2194.53 /  846.39, epsilon=  0.997, speed=  0.23, gear= 1, damage= 699.00
Ep:2 step:600(974), a_t=[s=-0.67, t= 0.427841, b= 0.000000], r_t=[r= 0.06, prog= 0.64, pen=-0.58, r_old= 0.06], Reward=  2195.94 /  2195.94 /  846.39, epsilon=  0.997, speed=  0.27, gear= 1, damage= 699.00
Ep:2 step:620(994), a_t=[s=-0.71, t= 0.440569, b= 0.000000], r_t=[r= 0.30, prog= 2.05, pen=-1.75, r_old= 0.30], Reward=  2198.90 /  2198.90 /  846.39, epsilon=  0.997, speed=  0.83, gear= 1, damage= 699.00
Ep:2 step:640(1014), a_t=[s= 1.00, t= 0.462698, b= 0.000000], r_t=[r= 0.08, prog= 0.47, pen=-0.38, r_old= 0.08], Reward=  2202.42 /  2202.42 /  846.39, epsilon=  0.997, speed=  0.19, gear= 1, damage= 699.00
Ep:2 step:660(1034), a_t=[s= 1.00, t= 0.520041, b= 0.000000], r_t=[r= 0.29, prog= 1.34, pen=-1.05, r_old= 0.29], Reward=  2208.64 /  2208.64 /  846.39, epsilon=  0.997, speed=  0.52, gear= 1, damage= 699.00
Ep:2 step:680(1054), a_t=[s= 0.80, t= 0.521585, b= 0.000000], r_t=[r= 0.31, prog= 1.26, pen=-0.95, r_old= 0.31], Reward=  2217.26 /  2217.26 /  846.39, epsilon=  0.996, speed=  0.47, gear= 1, damage= 699.00
Ep:2 step:700(1074), a_t=[s=-0.55, t= 0.536226, b= 0.000000], r_t=[r= 1.34, prog= 4.89, pen=-3.56, r_old= 1.34], Reward=  2228.73 /  2228.73 /  846.39, epsilon=  0.996, speed=  1.80, gear= 1, damage= 699.00
Ep:2 step:720(1094), a_t=[s=-0.74, t= 0.310108, b= 0.000000], r_t=[r= 1.47, prog= 4.42, pen=-2.95, r_old= 1.47], Reward=  2259.04 /  2259.04 /  846.39, epsilon=  0.996, speed=  1.55, gear= 1, damage= 699.00
Ep:2 step:740(1114), a_t=[s=-0.19, t= 0.332938, b= 0.013422], r_t=[r= 1.79, prog= 5.08, pen=-3.30, r_old= 1.79], Reward=  2291.74 /  2291.74 /  846.39, epsilon=  0.996, speed=  1.76, gear= 1, damage= 699.00
Ep:2 step:760(1134), a_t=[s= 0.23, t= 0.455474, b= 0.000000], r_t=[r= 1.89, prog= 5.05, pen=-3.17, r_old= 1.89], Reward=  2341.23 /  2341.23 /  846.39, epsilon=  0.996, speed=  1.73, gear= 1, damage= 699.00
