=============================================================
 starting episode: 1000/2000
Client connected on 3105..............
Ep:1000 step:0(386894), a_t=[s=-0.11, t= 1.000000, b= 0.000000], r_t=[r= 0.52, prog= 0.52, pen=-0.00, r_old= 0.52], Reward=  0.52 /  0.52 /  762017.60, epsilon=  0.100, speed=  0.17, gear= 1, damage= 0.00
Ep:1000 step:20(386914), a_t=[s= 0.06, t= 1.000000, b= 0.000000], r_t=[r= 262.36, prog= 280.02, pen=-17.66, r_old= 262.36], Reward=  2821.58 /  2821.58 /  762017.60, epsilon=  0.100, speed=  93.37, gear= 3, damage= 0.00
Ep:1000 step:40(386934), a_t=[s= 0.17, t= 0.999998, b= 0.000000], r_t=[r= 414.35, prog= 426.87, pen=-12.52, r_old= 414.35], Reward=  9932.92 /  9932.92 /  762017.60, epsilon=  0.100, speed=  142.32, gear= 5, damage= 0.00
Ep:1000 step:60(386954), a_t=[s= 0.17, t= 0.041330, b= 0.000000], r_t=[r= 395.77, prog= 433.70, pen=-37.93, r_old= 395.77], Reward=  18418.76 /  18418.76 /  762017.60, epsilon=  0.100, speed=  144.85, gear= 5, damage= 0.00
Ep:1000 step:80(386974), a_t=[s= 0.08, t= 0.728628, b= 0.000000], r_t=[r= 348.10, prog= 437.43, pen=-89.34, r_old= 348.10], Reward=  25515.85 /  25515.85 /  762017.60, epsilon=  0.100, speed=  146.02, gear= 5, damage= 0.00
Ep:1000 step:100(386994), a_t=[s=-0.00, t= 0.992427, b= 0.000000], r_t=[r= 368.25, prog= 443.38, pen=-75.13, r_old= 368.25], Reward=  32245.67 /  32245.67 /  762017.60, epsilon=  0.100, speed=  148.13, gear= 5, damage= 0.00
Ep:1000 step:120(387014), a_t=[s=-0.06, t= 0.533071, b= 0.000000], r_t=[r= 443.26, prog= 450.80, pen=-7.54, r_old= 443.26], Reward=  40983.18 /  40983.18 /  762017.60, epsilon=  0.100, speed=  150.27, gear= 5, damage= 0.00
Ep:1000 step:140(387034), a_t=[s=-0.22, t= 0.000403, b= 0.000000], r_t=[r= 373.22, prog= 426.00, pen=-52.78, r_old= 373.22], Reward=  49568.39 /  49568.39 /  762017.60, epsilon=  0.100, speed=  142.01, gear= 5, damage= 0.00
Ep:1000 step:160(387054), a_t=[s= 0.15, t= 0.999729, b= 0.000000], r_t=[r= 342.62, prog= 401.10, pen=-58.48, r_old= 342.62], Reward=  56385.50 /  56385.50 /  762017.60, epsilon=  0.100, speed=  135.51, gear= 4, damage= 0.00
Ep:1000 step:180(387074), a_t=[s= 0.27, t= 0.999954, b= 0.000000], r_t=[r= 342.07, prog= 372.08, pen=-30.01, r_old= 342.07], Reward=  63270.54 /  63270.54 /  762017.60, epsilon=  0.100, speed=  124.03, gear= 4, damage= 0.00
Ep:1000 step:200(387094), a_t=[s= 0.04, t= 0.999865, b= 0.000000], r_t=[r= 408.57, prog= 438.90, pen=-30.34, r_old= 408.57], Reward=  70728.59 /  70728.59 /  762017.60, epsilon=  0.100, speed=  146.30, gear= 5, damage= 0.00
Ep:1000 step:220(387114), a_t=[s= 0.22, t= 0.993010, b= 0.000000], r_t=[r= 442.53, prog= 452.01, pen=-9.48, r_old= 442.53], Reward=  79285.32 /  79285.32 /  762017.60, epsilon=  0.100, speed=  150.67, gear= 5, damage= 0.00
Ep:1000 step:240(387134), a_t=[s= 0.00, t= 0.999970, b= 0.000000], r_t=[r= 399.13, prog= 455.80, pen=-56.67, r_old= 399.13], Reward=  87697.97 /  87697.97 /  762017.60, epsilon=  0.100, speed=  151.94, gear= 5, damage= 0.00
Ep:1000 step:260(387154), a_t=[s=-0.27, t= 0.000783, b= 0.000000], r_t=[r= 342.02, prog= 424.84, pen=-82.82, r_old= 342.02], Reward=  95431.08 /  95431.08 /  762017.60, epsilon=  0.100, speed=  141.85, gear= 5, damage= 0.00
Ep:1000 step:280(387174), a_t=[s= 0.39, t= 0.999019, b= 0.000000], r_t=[r= 365.66, prog= 421.97, pen=-56.31, r_old= 365.66], Reward=  102328.07 /  102328.07 /  762017.60, epsilon=  0.100, speed=  140.70, gear= 4, damage= 0.00
Ep:1000 step:300(387194), a_t=[s=-0.16, t= 0.117142, b= 0.000000], r_t=[r= 429.13, prog= 450.41, pen=-21.28, r_old= 429.13], Reward=  110480.92 /  110480.92 /  762017.60, epsilon=  0.100, speed=  150.34, gear= 5, damage= 0.00
Ep:1000 step:320(387214), a_t=[s=-0.24, t= 0.012245, b= 0.000000], r_t=[r= 365.75, prog= 424.26, pen=-58.51, r_old= 365.75], Reward=  118759.54 /  118759.54 /  762017.60, epsilon=  0.100, speed=  141.83, gear= 5, damage= 0.00
Ep:1000 step:340(387234), a_t=[s= 0.04, t= 0.002796, b= 0.000000], r_t=[r= 335.09, prog= 423.22, pen=-88.13, r_old= 335.09], Reward=  125664.46 /  125664.46 /  762017.60, epsilon=  0.100, speed=  141.29, gear= 5, damage= 0.00
Ep:1000 step:360(387254), a_t=[s=-0.08, t= 0.989891, b= 0.000000], r_t=[r= 435.88, prog= 465.23, pen=-29.36, r_old= 435.88], Reward=  132923.81 /  132923.81 /  762017.60, epsilon=  0.100, speed=  155.39, gear= 5, damage= 0.00
Ep:1000 step:380(387274), a_t=[s=-0.05, t= 0.441816, b= 0.000000], r_t=[r= 443.89, prog= 453.09, pen=-9.20, r_old= 443.89], Reward=  141814.37 /  141814.37 /  762017.60, epsilon=  0.100, speed=  151.04, gear= 5, damage= 0.00
