=============================================================
 starting episode: 0/2000
Client connected on 3107..............
Ep:0 step:0(1), a_t=[s=-0.10, t= 0.491327, b= 0.000000], r_t=[r= 0.38, prog= 0.38, pen=-0.00, r_old= 0.38], Reward=  0.38 /  0.38 / -inf, epsilon=  1.000, speed=  0.13, gear= 0, damage= 0.00
Ep:0 step:20(21), a_t=[s=-0.97, t= 0.433229, b= 0.000000], r_t=[r= 101.76, prog= 104.43, pen=-2.66, r_old= 101.76], Reward=  839.00 /  839.00 / -inf, epsilon=  1.000, speed=  34.83, gear= 1, damage= 0.00
Ep:0 step:40(41), a_t=[s=-0.99, t= 0.480841, b= 0.000000], r_t=[r=-0.03, prog= 2.62, pen=-2.65, r_old=-0.03], Reward=  652.38 /  666.19 / -inf, epsilon=  1.000, speed=  1.06, gear= 1, damage= 472.00
Ep:0 step:60(61), a_t=[s= 1.00, t= 0.600935, b= 0.000000], r_t=[r= 0.01, prog= 0.25, pen=-0.25, r_old= 0.01], Reward=  652.77 /  666.58 / -inf, epsilon=  1.000, speed=  0.10, gear= 1, damage= 472.00
Ep:0 step:80(81), a_t=[s=-1.00, t= 0.720484, b= 0.000000], r_t=[r= 0.11, prog= 1.24, pen=-1.13, r_old= 0.11], Reward=  655.31 /  669.12 / -inf, epsilon=  1.000, speed=  0.47, gear= 1, damage= 472.00
Ep:0 step:100(101), a_t=[s=-0.56, t= 0.522459, b= 0.000000], r_t=[r= 0.49, prog= 3.83, pen=-3.34, r_old= 0.49], Reward=  660.39 /  674.20 / -inf, epsilon=  1.000, speed=  1.41, gear= 1, damage= 472.00
Ep:0 step:120(121), a_t=[s=-0.35, t= 0.416487, b= 0.000000], r_t=[r= 0.40, prog= 2.29, pen=-1.90, r_old= 0.40], Reward=  671.35 /  685.17 / -inf, epsilon=  1.000, speed=  0.82, gear= 1, damage= 472.00
Ep:0 step:140(141), a_t=[s= 0.55, t= 0.561432, b= 0.000000], r_t=[r= 1.23, prog= 5.06, pen=-3.82, r_old= 1.23], Reward=  701.28 /  715.10 / -inf, epsilon=  1.000, speed=  1.73, gear= 1, damage= 472.00
Ep:0 step:160(161), a_t=[s=-0.24, t= 0.468612, b= 0.000000], r_t=[r= 2.98, prog= 11.20, pen=-8.22, r_old= 2.98], Reward=  739.12 /  752.94 / -inf, epsilon=  0.999, speed=  3.80, gear= 1, damage= 472.00
Ep:0 step:180(181), a_t=[s=-0.46, t= 0.426109, b= 0.000000], r_t=[r= 25.09, prog= 75.69, pen=-50.59, r_old= 25.09], Reward=  984.67 /  998.48 / -inf, epsilon=  0.999, speed=  25.29, gear= 1, damage= 472.00
Ep:0 step:200(201), a_t=[s=-0.69, t= 0.306165, b= 0.000000], r_t=[r= 16.41, prog= 44.13, pen=-27.72, r_old= 16.41], Reward=  1388.95 /  1402.76 / -inf, epsilon=  0.999, speed=  14.75, gear= 1, damage= 472.00
Ep:0 step:220(221), a_t=[s= 0.51, t= 0.380686, b= 0.000000], r_t=[r= 17.95, prog= 44.68, pen=-26.73, r_old= 17.95], Reward=  1736.20 /  1750.01 / -inf, epsilon=  0.999, speed=  14.94, gear= 1, damage= 472.00
Ep:0 step:240(241), a_t=[s=-1.00, t= 0.594898, b= 0.000000], r_t=[r= 2.98, prog= 7.42, pen=-4.44, r_old= 2.98], Reward=  1894.35 /  1908.16 / -inf, epsilon=  0.999, speed=  2.49, gear= 1, damage= 472.00
Ep:0 step:260(261), a_t=[s=-1.00, t= 0.582838, b= 0.000000], r_t=[r= 12.07, prog= 28.14, pen=-16.07, r_old= 12.07], Reward=  2018.56 /  2032.37 / -inf, epsilon=  0.999, speed=  9.41, gear= 1, damage= 472.00
Ep:0 step:280(281), a_t=[s=-0.63, t= 0.672165, b= 0.000000], r_t=[r=-0.23, prog= 0.12, pen=-0.34, r_old=-0.23], Reward=  1889.35 /  1891.66 / -inf, epsilon=  0.999, speed=  0.14, gear= 1, damage= 716.00
Ep:0 step:300(301), a_t=[s= 0.11, t= 0.717514, b= 0.000000], r_t=[r=-0.09, prog= 0.05, pen=-0.14, r_old=-0.09], Reward=  1887.43 /  1889.74 / -inf, epsilon=  0.999, speed=  0.06, gear= 1, damage= 716.00
Ep:0 step:320(321), a_t=[s=-0.14, t= 0.422478, b= 0.000000], r_t=[r=-0.06, prog= 0.03, pen=-0.09, r_old=-0.06], Reward=  1885.24 /  1887.55 / -inf, epsilon=  0.999, speed=  0.04, gear= 1, damage= 716.00
Ep:0 step:340(341), a_t=[s= 0.49, t= 0.558565, b= 0.000000], r_t=[r=-0.03, prog=-0.06, pen= 0.03, r_old=-0.03], Reward=  1882.48 /  1884.79 / -inf, epsilon=  0.999, speed= -0.06, gear= 1, damage= 716.00
Ep:0 step:360(361), a_t=[s=-0.39, t= 0.483059, b= 0.000000], r_t=[r=-0.00, prog=-0.01, pen= 0.00, r_old=-0.00], Reward=  1880.55 /  1882.85 / -inf, epsilon=  0.999, speed= -0.01, gear= 1, damage= 716.00
Ep:0 step:380(381), a_t=[s=-1.00, t= 0.644824, b= 0.000000], r_t=[r=-0.20, prog= 0.15, pen=-0.35, r_old=-0.20], Reward=  1878.39 /  1880.69 / -inf, epsilon=  0.999, speed=  0.15, gear= 1, damage= 716.00
Ep:0 step:400(401), a_t=[s=-0.62, t= 0.659255, b= 0.000000], r_t=[r=-0.04, prog= 0.03, pen=-0.06, r_old=-0.04], Reward=  1876.57 /  1878.88 / -inf, epsilon=  0.999, speed=  0.03, gear= 1, damage= 716.00
Ep:0 step:420(421), a_t=[s=-0.60, t= 0.548416, b= 0.000000], r_t=[r=-0.27, prog= 0.25, pen=-0.52, r_old=-0.27], Reward=  1874.47 /  1876.78 / -inf, epsilon=  0.999, speed=  0.22, gear= 1, damage= 716.00
Ep:0 step:440(441), a_t=[s=-1.00, t= 0.377387, b= 0.000000], r_t=[r=-0.16, prog= 0.16, pen=-0.32, r_old=-0.16], Reward=  1872.87 /  1875.17 / -inf, epsilon=  0.999, speed=  0.13, gear= 1, damage= 716.00
Ep:0 step:460(461), a_t=[s=-0.30, t= 0.597619, b= 0.000000], r_t=[r=-0.10, prog= 0.10, pen=-0.20, r_old=-0.10], Reward=  1871.18 /  1873.49 / -inf, epsilon=  0.998, speed=  0.08, gear= 1, damage= 716.00
