=============================================================
 starting episode: 300/2000
### TORCS is RELAUNCHED ###
Client connected on 3107..............
Ep:300 step:0(107250), a_t=[s=-0.14, t= 1.000000, b= 0.000000], r_t=[r= 0.11, prog= 0.11, pen=-0.00, r_old= 0.11], Reward=  0.11 /  0.11 /  298639.53, epsilon=  0.655, speed=  0.04, gear= 1, damage= 0.00
Ep:300 step:20(107270), a_t=[s= 0.32, t= 0.999803, b= 0.000000], r_t=[r= 241.68, prog= 276.69, pen=-35.02, r_old= 241.68], Reward=  2555.69 /  2555.69 /  298639.53, epsilon=  0.655, speed=  92.47, gear= 3, damage= 0.00
Ep:300 step:40(107290), a_t=[s=-0.46, t= 0.999996, b= 0.000000], r_t=[r= 323.03, prog= 378.09, pen=-55.06, r_old= 323.03], Reward=  8532.06 /  8532.06 /  298639.53, epsilon=  0.655, speed=  126.17, gear= 4, damage= 0.00
Ep:300 step:60(107310), a_t=[s=-0.57, t= 0.998346, b= 0.000000], r_t=[r= 349.55, prog= 415.90, pen=-66.35, r_old= 349.55], Reward=  15534.12 /  15534.12 /  298639.53, epsilon=  0.655, speed=  138.72, gear= 5, damage= 0.00
Ep:300 step:80(107330), a_t=[s=-0.33, t= 0.969938, b= 0.000000], r_t=[r= 369.62, prog= 373.93, pen=-4.31, r_old= 369.62], Reward=  21659.92 /  21659.92 /  298639.53, epsilon=  0.655, speed=  124.65, gear= 4, damage= 0.00
Ep:300 step:100(107350), a_t=[s= 0.58, t= 0.146232, b= 0.000000], r_t=[r= 326.25, prog= 361.95, pen=-35.70, r_old= 326.25], Reward=  28654.22 /  28654.22 /  298639.53, epsilon=  0.655, speed=  121.14, gear= 4, damage= 0.00
Ep:300 step:120(107370), a_t=[s= 0.73, t= 0.000526, b= 0.000000], r_t=[r= 251.75, prog= 336.83, pen=-85.08, r_old= 251.75], Reward=  35260.31 /  35260.31 /  298639.53, epsilon=  0.655, speed=  114.03, gear= 4, damage= 0.00
Ep:300 step:140(107390), a_t=[s=-0.02, t= 1.000000, b= 0.000000], r_t=[r= 199.60, prog= 278.32, pen=-78.71, r_old= 199.60], Reward=  38351.71 /  38351.71 /  298639.53, epsilon=  0.655, speed=  95.10, gear= 3, damage= 0.00
Ep:300 step:160(107410), a_t=[s= 0.05, t= 0.999758, b= 0.000000], r_t=[r= 343.28, prog= 366.04, pen=-22.76, r_old= 343.28], Reward=  44350.44 /  44350.44 /  298639.53, epsilon=  0.655, speed=  122.30, gear= 4, damage= 0.00
Ep:300 step:180(107430), a_t=[s= 0.22, t= 0.999664, b= 0.000000], r_t=[r= 262.95, prog= 307.33, pen=-44.39, r_old= 262.95], Reward=  50416.51 /  50416.51 /  298639.53, epsilon=  0.655, speed=  103.36, gear= 3, damage= 0.00
Ep:300 step:200(107450), a_t=[s= 0.55, t= 0.216145, b= 0.000000], r_t=[r= 315.52, prog= 321.74, pen=-6.22, r_old= 315.52], Reward=  56657.72 /  56657.72 /  298639.53, epsilon=  0.655, speed=  107.36, gear= 3, damage= 0.00
Ep:300 step:220(107470), a_t=[s= 0.53, t= 0.980735, b= 0.000000], r_t=[r= 309.42, prog= 347.59, pen=-38.17, r_old= 309.42], Reward=  62932.43 /  62932.43 /  298639.53, epsilon=  0.655, speed=  116.42, gear= 4, damage= 0.00
Ep:300 step:240(107490), a_t=[s= 0.74, t= 0.000009, b= 0.000000], r_t=[r= 112.38, prog= 234.71, pen=-122.33, r_old= 112.38], Reward=  66459.59 /  66340.23 /  298639.53, epsilon=  0.655, speed=  80.58, gear= 3, damage= 10.00
Ep:300 step:260(107510), a_t=[s=-0.19, t= 1.000000, b= 0.000000], r_t=[r= 284.49, prog= 333.09, pen=-48.60, r_old= 284.49], Reward=  71233.09 /  71113.73 /  298639.53, epsilon=  0.655, speed=  111.29, gear= 4, damage= 10.00
Ep:300 step:280(107530), a_t=[s= 0.60, t= 0.996510, b= 0.000000], r_t=[r= 293.57, prog= 379.94, pen=-86.36, r_old= 293.57], Reward=  77549.30 /  77429.94 /  298639.53, epsilon=  0.655, speed=  134.69, gear= 4, damage= 10.00
Ep:300 step:300(107550), a_t=[s= 0.22, t= 1.000000, b= 0.000000], r_t=[r= 248.51, prog= 329.26, pen=-80.74, r_old= 248.51], Reward=  81668.44 /  81549.08 /  298639.53, epsilon=  0.655, speed=  111.69, gear= 4, damage= 10.00
Ep:300 step:320(107570), a_t=[s= 0.81, t= 0.038728, b= 0.000000], r_t=[r= 344.44, prog= 379.47, pen=-35.04, r_old= 344.44], Reward=  88562.53 /  88443.17 /  298639.53, epsilon=  0.655, speed=  128.32, gear= 4, damage= 10.00
Ep:300 step:340(107590), a_t=[s= 0.03, t= 0.932091, b= 0.000000], r_t=[r= 321.39, prog= 350.78, pen=-29.39, r_old= 321.39], Reward=  94998.51 /  94879.16 /  298639.53, epsilon=  0.655, speed=  117.02, gear= 4, damage= 10.00
Ep:300 step:360(107610), a_t=[s=-0.57, t= 0.999779, b= 0.000000], r_t=[r= 354.44, prog= 416.05, pen=-61.61, r_old= 354.44], Reward=  101760.80 /  101641.44 /  298639.53, epsilon=  0.655, speed=  138.82, gear= 5, damage= 10.00
Ep:300 step:380(107630), a_t=[s=-0.99, t= 0.566650, b= 0.000000], r_t=[r= 199.53, prog= 304.14, pen=-104.61, r_old= 199.53], Reward=  108470.00 /  108350.64 /  298639.53, epsilon=  0.655, speed=  116.09, gear= 4, damage= 10.00
Ep:300 step:400(107650), a_t=[s= 0.87, t= 0.036365, b= 0.000000], r_t=[r= 326.57, prog= 370.30, pen=-43.73, r_old= 326.57], Reward=  115280.34 /  115160.98 /  298639.53, epsilon=  0.655, speed=  124.15, gear= 4, damage= 10.00
Ep:300 step:420(107670), a_t=[s=-0.06, t= 0.991395, b= 0.000000], r_t=[r= 341.63, prog= 357.84, pen=-16.21, r_old= 341.63], Reward=  121844.99 /  121725.63 /  298639.53, epsilon=  0.655, speed=  119.77, gear= 4, damage= 10.00
Ep:300 step:440(107690), a_t=[s=-0.97, t= 0.000166, b= 0.000000], r_t=[r= 206.18, prog= 329.06, pen=-122.88, r_old= 206.18], Reward=  128476.00 /  128356.64 /  298639.53, epsilon=  0.655, speed=  113.63, gear= 4, damage= 10.00
