=============================================================
 starting episode: 0/2000
Client connected on 3109..............
Ep:0 step:0(1), a_t=[s=-0.54, t= 0.494863, b= 0.000000], r_t=[r= 0.38, prog= 0.38, pen=-0.00, r_old= 0.38], Reward=  0.38 /  0.38 / -inf, epsilon=  1.000, speed=  0.13, gear= 0, damage= 0.00
Ep:0 step:20(21), a_t=[s= 1.00, t= 0.592684, b= 0.000000], r_t=[r= 96.91, prog= 106.85, pen=-9.94, r_old= 96.91], Reward=  843.45 /  843.45 / -inf, epsilon=  1.000, speed=  35.63, gear= 1, damage= 0.00
Ep:0 step:40(41), a_t=[s= 1.00, t= 0.410564, b= 0.000000], r_t=[r=-0.08, prog= 0.41, pen=-0.50, r_old=-0.08], Reward=  433.84 /  454.66 / -inf, epsilon=  1.000, speed=  0.19, gear= 1, damage= 1113.00
Ep:0 step:60(61), a_t=[s= 0.97, t= 0.449526, b= 0.000000], r_t=[r=-0.07, prog= 0.49, pen=-0.56, r_old=-0.07], Reward=  431.35 /  452.17 / -inf, epsilon=  1.000, speed=  0.22, gear= 1, damage= 1113.00
Ep:0 step:80(81), a_t=[s=-1.00, t= 0.436314, b= 0.000000], r_t=[r=-0.08, prog= 1.04, pen=-1.12, r_old=-0.08], Reward=  429.57 /  450.40 / -inf, epsilon=  1.000, speed=  0.45, gear= 1, damage= 1113.00
Ep:0 step:100(101), a_t=[s=-0.48, t= 0.576489, b= 0.000000], r_t=[r=-0.02, prog= 0.55, pen=-0.57, r_old=-0.02], Reward=  428.72 /  449.55 / -inf, epsilon=  1.000, speed=  0.23, gear= 1, damage= 1113.00
Ep:0 step:120(121), a_t=[s= 0.05, t= 0.510966, b= 0.000000], r_t=[r= 0.01, prog= 0.40, pen=-0.40, r_old= 0.01], Reward=  428.63 /  449.46 / -inf, epsilon=  1.000, speed=  0.16, gear= 1, damage= 1113.00
Ep:0 step:140(141), a_t=[s= 1.00, t= 0.421807, b= 0.000000], r_t=[r= 0.05, prog= 0.71, pen=-0.65, r_old= 0.05], Reward=  430.30 /  451.12 / -inf, epsilon=  1.000, speed=  0.27, gear= 1, damage= 1113.00
Ep:0 step:160(161), a_t=[s= 1.00, t= 0.425536, b= 0.000000], r_t=[r= 0.23, prog= 1.79, pen=-1.56, r_old= 0.23], Reward=  435.42 /  456.24 / -inf, epsilon=  0.999, speed=  0.67, gear= 1, damage= 1113.00
Ep:0 step:180(181), a_t=[s= 0.24, t= 0.528768, b= 0.000000], r_t=[r= 1.03, prog= 5.13, pen=-4.11, r_old= 1.03], Reward=  450.34 /  471.17 / -inf, epsilon=  0.999, speed=  1.83, gear= 1, damage= 1113.00
Ep:0 step:200(201), a_t=[s= 0.46, t= 0.506022, b= 0.000000], r_t=[r= 4.81, prog= 16.09, pen=-11.28, r_old= 4.81], Reward=  503.42 /  524.25 / -inf, epsilon=  0.999, speed=  5.43, gear= 1, damage= 1113.00
Ep:0 step:220(221), a_t=[s= 0.63, t= 0.450935, b= 0.000000], r_t=[r= 82.00, prog= 143.52, pen=-61.51, r_old= 82.00], Reward=  1112.08 /  1132.90 / -inf, epsilon=  0.999, speed=  54.36, gear= 1, damage= 1113.00
Ep:0 step:240(241), a_t=[s=-0.21, t= 0.479055, b= 0.000000], r_t=[r=-0.01, prog=-0.06, pen= 0.05, r_old=-0.01], Reward=  1016.69 /  1046.15 / -inf, epsilon=  0.999, speed= -0.10, gear= 1, damage= 1572.00
Ep:0 step:260(261), a_t=[s=-0.04, t= 0.390194, b= 0.000000], r_t=[r=-0.18, prog= 0.06, pen=-0.24, r_old=-0.18], Reward=  1014.48 /  1043.94 / -inf, epsilon=  0.999, speed=  0.10, gear= 1, damage= 1572.00
Ep:0 step:280(281), a_t=[s= 0.47, t= 0.557816, b= 0.000000], r_t=[r=-0.17, prog= 0.06, pen=-0.23, r_old=-0.17], Reward=  1012.28 /  1041.75 / -inf, epsilon=  0.999, speed=  0.09, gear= 1, damage= 1572.00
Ep:0 step:300(301), a_t=[s=-0.71, t= 0.362474, b= 0.000000], r_t=[r=-0.04, prog= 0.02, pen=-0.06, r_old=-0.04], Reward=  1010.52 /  1039.99 / -inf, epsilon=  0.999, speed=  0.02, gear= 1, damage= 1572.00
Ep:0 step:320(321), a_t=[s= 0.67, t= 0.535720, b= 0.000000], r_t=[r=-0.14, prog= 0.08, pen=-0.22, r_old=-0.14], Reward=  1008.11 /  1037.57 / -inf, epsilon=  0.999, speed=  0.09, gear= 1, damage= 1572.00
Ep:0 step:340(341), a_t=[s= 0.85, t= 0.489511, b= 0.000000], r_t=[r=-0.02, prog= 0.02, pen=-0.04, r_old=-0.02], Reward=  1005.69 /  1035.15 / -inf, epsilon=  0.999, speed=  0.02, gear= 1, damage= 1572.00
Ep:0 step:360(361), a_t=[s=-0.39, t= 0.365401, b= 0.000000], r_t=[r=-0.05, prog= 0.04, pen=-0.10, r_old=-0.05], Reward=  1003.54 /  1033.00 / -inf, epsilon=  0.999, speed=  0.04, gear= 1, damage= 1572.00
Ep:0 step:380(381), a_t=[s= 0.26, t= 0.472807, b= 0.000000], r_t=[r=-0.03, prog=-0.06, pen= 0.03, r_old=-0.03], Reward=  1001.95 /  1031.41 / -inf, epsilon=  0.999, speed= -0.06, gear= 1, damage= 1572.00
Ep:0 step:400(401), a_t=[s= 1.00, t= 0.373269, b= 0.000000], r_t=[r=-0.20, prog= 0.20, pen=-0.40, r_old=-0.20], Reward=  999.64 /  1029.10 / -inf, epsilon=  0.999, speed=  0.17, gear= 1, damage= 1572.00
Ep:0 step:420(421), a_t=[s=-1.00, t= 0.569856, b= 0.000000], r_t=[r=-0.10, prog= 0.15, pen=-0.25, r_old=-0.10], Reward=  996.92 /  1026.38 / -inf, epsilon=  0.999, speed=  0.10, gear= 1, damage= 1572.00
Ep:0 step:440(441), a_t=[s=-0.63, t= 0.441910, b= 0.000000], r_t=[r=-0.02, prog=-0.04, pen= 0.02, r_old=-0.02], Reward=  994.69 /  1024.15 / -inf, epsilon=  0.999, speed= -0.03, gear= 1, damage= 1572.00
Ep:0 step:460(461), a_t=[s= 0.73, t= 0.576083, b= 0.000000], r_t=[r=-0.10, prog= 0.19, pen=-0.28, r_old=-0.10], Reward=  992.45 /  1021.91 / -inf, epsilon=  0.998, speed=  0.12, gear= 1, damage= 1572.00
Ep:0 step:480(481), a_t=[s= 0.53, t= 0.470396, b= 0.000000], r_t=[r=-0.09, prog= 0.18, pen=-0.27, r_old=-0.09], Reward=  990.57 /  1020.03 / -inf, epsilon=  0.998, speed=  0.12, gear= 1, damage= 1572.00
Ep:0 step:500(501), a_t=[s=-0.43, t= 0.502739, b= 0.000000], r_t=[r=-0.13, prog= 0.42, pen=-0.55, r_old=-0.13], Reward=  987.92 /  1017.38 / -inf, epsilon=  0.998, speed=  0.24, gear= 1, damage= 1572.00
Ep:0 step:520(521), a_t=[s= 1.00, t= 0.563466, b= 0.000000], r_t=[r=-0.06, prog= 0.25, pen=-0.31, r_old=-0.06], Reward=  986.48 /  1015.94 / -inf, epsilon=  0.998, speed=  0.14, gear= 1, damage= 1572.00
Ep:0 step:540(541), a_t=[s= 0.77, t= 0.509833, b= 0.000000], r_t=[r=-0.04, prog= 0.31, pen=-0.35, r_old=-0.04], Reward=  984.68 /  1014.14 / -inf, epsilon=  0.998, speed=  0.16, gear= 1, damage= 1572.00
Ep:0 step:560(561), a_t=[s= 0.42, t= 0.235156, b= 0.036863], r_t=[r=-0.11, prog= 1.08, pen=-1.20, r_old=-0.11], Reward=  983.36 /  1012.83 / -inf, epsilon=  0.998, speed=  0.54, gear= 1, damage= 1572.00
Ep:0 step:580(581), a_t=[s= 1.00, t= 0.561712, b= 0.000000], r_t=[r=-0.01, prog= 0.53, pen=-0.54, r_old=-0.01], Reward=  982.69 /  1012.15 / -inf, epsilon=  0.998, speed=  0.25, gear= 1, damage= 1572.00
Ep:0 step:600(601), a_t=[s=-0.78, t= 0.289145, b= 0.000000], r_t=[r=-0.00, prog= 0.50, pen=-0.50, r_old=-0.00], Reward=  982.60 /  1012.06 / -inf, epsilon=  0.998, speed=  0.23, gear= 1, damage= 1572.00
Ep:0 step:620(621), a_t=[s=-0.50, t= 0.543530, b= 0.000000], r_t=[r= 0.07, prog= 1.13, pen=-1.07, r_old= 0.07], Reward=  983.11 /  1012.57 / -inf, epsilon=  0.998, speed=  0.49, gear= 1, damage= 1572.00
Ep:0 step:640(641), a_t=[s=-0.49, t= 0.536249, b= 0.000000], r_t=[r= 0.18, prog= 1.84, pen=-1.66, r_old= 0.18], Reward=  984.46 /  1013.93 / -inf, epsilon=  0.998, speed=  0.78, gear= 1, damage= 1572.00
Ep:0 step:660(661), a_t=[s=-0.25, t= 0.631665, b= 0.000000], r_t=[r= 0.15, prog= 1.01, pen=-0.86, r_old= 0.15], Reward=  987.57 /  1017.04 / -inf, epsilon=  0.998, speed=  0.41, gear= 1, damage= 1572.00
Ep:0 step:680(681), a_t=[s= 0.85, t= 0.386167, b= 0.000000], r_t=[r= 0.34, prog= 1.70, pen=-1.36, r_old= 0.34], Reward=  993.36 /  1022.82 / -inf, epsilon=  0.998, speed=  0.66, gear= 1, damage= 1572.00
Ep:0 step:700(701), a_t=[s= 1.00, t= 0.489600, b= 0.001584], r_t=[r= 0.48, prog= 2.10, pen=-1.61, r_old= 0.48], Reward=  1000.25 /  1029.72 / -inf, epsilon=  0.998, speed=  0.80, gear= 1, damage= 1572.00
Ep:0 step:720(721), a_t=[s= 0.31, t= 0.709775, b= 0.000000], r_t=[r= 0.55, prog= 2.14, pen=-1.59, r_old= 0.55], Reward=  1009.42 /  1038.88 / -inf, epsilon=  0.998, speed=  0.80, gear= 1, damage= 1572.00
Ep:0 step:740(741), a_t=[s= 0.36, t= 0.490316, b= 0.000000], r_t=[r= 1.40, prog= 4.46, pen=-3.05, r_old= 1.40], Reward=  1034.04 /  1063.50 / -inf, epsilon=  0.998, speed=  1.59, gear= 1, damage= 1572.00
Ep:0 step:760(761), a_t=[s= 0.79, t= 0.500662, b= 0.000000], r_t=[r= 1.54, prog= 4.65, pen=-3.11, r_old= 1.54], Reward=  1055.86 /  1085.32 / -inf, epsilon=  0.997, speed=  1.64, gear= 1, damage= 1572.00
Ep:0 step:780(781), a_t=[s= 1.00, t= 0.495871, b= 0.000000], r_t=[r= 3.18, prog= 9.00, pen=-5.82, r_old= 3.18], Reward=  1095.70 /  1122.03 / -inf, epsilon=  0.997, speed=  3.12, gear= 1, damage= 1584.00
Ep:0 step:800(801), a_t=[s=-0.11, t= 0.267507, b= 0.000000], r_t=[r= 8.95, prog= 24.88, pen=-15.93, r_old= 8.95], Reward=  1237.40 /  1263.73 / -inf, epsilon=  0.997, speed=  8.59, gear= 1, damage= 1584.00
Ep:0 step:820(821), a_t=[s=-0.26, t= 0.525351, b= 0.000000], r_t=[r= 2.74, prog= 7.53, pen=-4.79, r_old= 2.74], Reward=  1288.96 /  1305.54 / -inf, epsilon=  0.997, speed=  2.59, gear= 1, damage= 1599.00
Ep:0 step:840(841), a_t=[s= 0.30, t= 0.361491, b= 0.000000], r_t=[r= 14.15, prog= 35.43, pen=-21.27, r_old= 14.15], Reward=  1419.70 /  1425.61 / -inf, epsilon=  0.997, speed=  11.95, gear= 1, damage= 1613.00
