=============================================================
 starting episode: 1200/2000
### TORCS is RELAUNCHED ###
Client connected on 3110..............
Ep:1200 step:0(564237), a_t=[s= 0.28, t= 1.000000, b= 0.000000], r_t=[r= 0.64, prog= 0.64, pen=-0.00, r_old= 0.64], Reward=  0.64 /  0.64 /  813663.41, epsilon=  0.100, speed=  0.21, gear= 1, damage= 0.00
Ep:1200 step:20(564257), a_t=[s= 0.20, t= 0.999537, b= 0.006462], r_t=[r= 255.88, prog= 281.82, pen=-25.94, r_old= 255.88], Reward=  2890.52 /  2890.52 /  813663.41, epsilon=  0.100, speed=  94.01, gear= 3, damage= 0.00
Ep:1200 step:40(564277), a_t=[s=-0.08, t= 0.999997, b= 0.000002], r_t=[r= 111.79, prog= 151.64, pen=-39.86, r_old= 111.79], Reward=  6406.21 /  6406.21 /  813663.41, epsilon=  0.100, speed=  51.21, gear= 1, damage= 0.00
Ep:1200 step:60(564297), a_t=[s=-0.14, t= 1.000000, b= 0.001095], r_t=[r= 132.83, prog= 153.65, pen=-20.82, r_old= 132.83], Reward=  8997.91 /  8997.91 /  813663.41, epsilon=  0.100, speed=  51.22, gear= 1, damage= 0.00
Ep:1200 step:80(564317), a_t=[s=-0.87, t= 1.000000, b= 0.734928], r_t=[r=-0.22, prog=-0.25, pen= 0.03, r_old=-0.22], Reward=  9176.88 /  9176.88 /  813663.41, epsilon=  0.100, speed= -0.08, gear= 1, damage= 0.00
Ep:1200 step:100(564337), a_t=[s=-0.90, t= 1.000000, b= 0.789452], r_t=[r= 0.20, prog= 0.23, pen=-0.03, r_old= 0.20], Reward=  9179.51 /  9179.51 /  813663.41, epsilon=  0.100, speed=  0.08, gear= 1, damage= 0.00
Ep:1200 step:120(564357), a_t=[s=-0.90, t= 1.000000, b= 0.793337], r_t=[r= 0.02, prog= 0.03, pen=-0.00, r_old= 0.02], Reward=  9180.94 /  9180.94 /  813663.41, epsilon=  0.100, speed=  0.01, gear= 1, damage= 0.00
Ep:1200 step:140(564377), a_t=[s=-0.87, t= 1.000000, b= 0.714414], r_t=[r= 0.05, prog= 0.06, pen=-0.01, r_old= 0.05], Reward=  9181.31 /  9181.31 /  813663.41, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1200 step:160(564397), a_t=[s=-0.84, t= 1.000000, b= 0.692592], r_t=[r= 0.29, prog= 0.34, pen=-0.05, r_old= 0.29], Reward=  9183.72 /  9183.72 /  813663.41, epsilon=  0.100, speed=  0.11, gear= 1, damage= 0.00
Ep:1200 step:180(564417), a_t=[s=-0.84, t= 1.000000, b= 0.645254], r_t=[r= 0.03, prog= 0.04, pen=-0.01, r_old= 0.03], Reward=  9185.15 /  9185.15 /  813663.41, epsilon=  0.100, speed=  0.01, gear= 1, damage= 0.00
Ep:1200 step:200(564437), a_t=[s=-0.79, t= 1.000000, b= 0.492918], r_t=[r= 0.80, prog= 0.94, pen=-0.14, r_old= 0.80], Reward=  9188.14 /  9188.14 /  813663.41, epsilon=  0.100, speed=  0.31, gear= 1, damage= 0.00
Ep:1200 step:220(564457), a_t=[s=-0.67, t= 1.000000, b= 0.286288], r_t=[r= 2.92, prog= 3.58, pen=-0.66, r_old= 2.92], Reward=  9533.63 /  9533.63 /  813663.41, epsilon=  0.100, speed=  1.19, gear= 1, damage= 0.00
Ep:1200 step:240(564477), a_t=[s= 0.29, t= 1.000000, b= 0.018448], r_t=[r= 27.32, prog= 34.19, pen=-6.87, r_old= 27.32], Reward=  9812.90 /  9812.90 /  813663.41, epsilon=  0.100, speed=  11.42, gear= 1, damage= 0.00
Ep:1200 step:260(564497), a_t=[s=-0.21, t= 1.000000, b= 0.215044], r_t=[r= 11.68, prog= 14.99, pen=-3.31, r_old= 11.68], Reward=  10032.16 /  10032.16 /  813663.41, epsilon=  0.100, speed=  5.01, gear= 1, damage= 0.00
Ep:1200 step:280(564517), a_t=[s= 0.06, t= 1.000000, b= 0.035499], r_t=[r= 18.03, prog= 23.51, pen=-5.48, r_old= 18.03], Reward=  10258.65 /  10258.65 /  813663.41, epsilon=  0.100, speed=  7.85, gear= 1, damage= 0.00
Ep:1200 step:300(564537), a_t=[s=-0.36, t= 1.000000, b= 0.380729], r_t=[r= 1.83, prog= 2.40, pen=-0.57, r_old= 1.83], Reward=  10400.25 /  10400.25 /  813663.41, epsilon=  0.100, speed=  0.80, gear= 1, damage= 0.00
Ep:1200 step:320(564557), a_t=[s=-0.14, t= 1.000000, b= 0.137342], r_t=[r= 6.70, prog= 8.93, pen=-2.22, r_old= 6.70], Reward=  10541.44 /  10541.44 /  813663.41, epsilon=  0.100, speed=  2.98, gear= 1, damage= 0.00
Ep:1200 step:340(564577), a_t=[s= 0.08, t= 1.000000, b= 0.268300], r_t=[r= 4.52, prog= 6.05, pen=-1.53, r_old= 4.52], Reward=  10671.53 /  10671.53 /  813663.41, epsilon=  0.100, speed=  2.02, gear= 1, damage= 0.00
Ep:1200 step:360(564597), a_t=[s= 0.03, t= 1.000000, b= 0.215945], r_t=[r= 2.99, prog= 4.03, pen=-1.04, r_old= 2.99], Reward=  10777.07 /  10777.07 /  813663.41, epsilon=  0.100, speed=  1.35, gear= 1, damage= 0.00
Ep:1200 step:380(564617), a_t=[s=-0.19, t= 1.000000, b= 0.436996], r_t=[r= 0.88, prog= 1.19, pen=-0.31, r_old= 0.88], Reward=  10853.17 /  10853.17 /  813663.41, epsilon=  0.100, speed=  0.40, gear= 1, damage= 0.00
Ep:1200 step:400(564637), a_t=[s=-0.05, t= 1.000000, b= 0.339993], r_t=[r= 2.87, prog= 3.91, pen=-1.04, r_old= 2.87], Reward=  10922.63 /  10922.63 /  813663.41, epsilon=  0.100, speed=  1.30, gear= 1, damage= 0.00
Ep:1200 step:420(564657), a_t=[s=-0.03, t= 1.000000, b= 0.335817], r_t=[r= 2.55, prog= 3.48, pen=-0.93, r_old= 2.55], Reward=  10973.78 /  10973.78 /  813663.41, epsilon=  0.100, speed=  1.16, gear= 1, damage= 0.00
Ep:1200 step:440(564677), a_t=[s= 0.08, t= 1.000000, b= 0.294959], r_t=[r= 3.14, prog= 4.28, pen=-1.14, r_old= 3.14], Reward=  11017.85 /  11017.85 /  813663.41, epsilon=  0.100, speed=  1.43, gear= 1, damage= 0.00
Ep:1200 step:460(564697), a_t=[s= 0.02, t= 1.000000, b= 0.327785], r_t=[r= 1.82, prog= 2.49, pen=-0.67, r_old= 1.82], Reward=  11057.59 /  11057.59 /  813663.41, epsilon=  0.100, speed=  0.83, gear= 1, damage= 0.00
Ep:1200 step:480(564717), a_t=[s=-0.00, t= 1.000000, b= 0.353782], r_t=[r= 2.20, prog= 3.01, pen=-0.81, r_old= 2.20], Reward=  11095.08 /  11095.08 /  813663.41, epsilon=  0.100, speed=  1.00, gear= 1, damage= 0.00
Ep:1200 step:500(564737), a_t=[s=-0.05, t= 1.000000, b= 0.423625], r_t=[r= 1.31, prog= 1.79, pen=-0.48, r_old= 1.31], Reward=  11129.19 /  11129.19 /  813663.41, epsilon=  0.100, speed=  0.60, gear= 1, damage= 0.00
Ep:1200 step:520(564757), a_t=[s=-0.00, t= 1.000000, b= 0.394572], r_t=[r= 1.33, prog= 1.82, pen=-0.50, r_old= 1.33], Reward=  11159.40 /  11159.40 /  813663.41, epsilon=  0.100, speed=  0.61, gear= 1, damage= 0.00
Ep:1200 step:540(564777), a_t=[s= 0.03, t= 1.000000, b= 0.382992], r_t=[r= 1.98, prog= 2.73, pen=-0.74, r_old= 1.98], Reward=  11188.33 /  11188.33 /  813663.41, epsilon=  0.100, speed=  0.91, gear= 1, damage= 0.00
Ep:1200 step:560(564797), a_t=[s=-0.10, t= 1.000000, b= 0.563655], r_t=[r=-0.05, prog=-0.06, pen= 0.02, r_old=-0.05], Reward=  11195.66 /  11195.66 /  813663.41, epsilon=  0.100, speed= -0.02, gear= 1, damage= 0.00
Ep:1200 step:580(564817), a_t=[s=-0.21, t= 1.000000, b= 0.615546], r_t=[r= 0.33, prog= 0.46, pen=-0.12, r_old= 0.33], Reward=  11201.06 /  11201.06 /  813663.41, epsilon=  0.100, speed=  0.15, gear= 1, damage= 0.00
Ep:1200 step:600(564837), a_t=[s=-0.67, t= 0.999999, b= 0.869048], r_t=[r=-0.10, prog=-0.14, pen= 0.03, r_old=-0.10], Reward=  11202.26 /  11202.26 /  813663.41, epsilon=  0.100, speed= -0.05, gear= 1, damage= 0.00
Ep:1200 step:620(564857), a_t=[s=-0.62, t= 0.999999, b= 0.848908], r_t=[r=-0.01, prog=-0.02, pen= 0.00, r_old=-0.01], Reward=  11204.46 /  11204.46 /  813663.41, epsilon=  0.100, speed= -0.01, gear= 1, damage= 0.00
Ep:1200 step:640(564877), a_t=[s=-0.51, t= 0.999999, b= 0.803416], r_t=[r=-0.04, prog=-0.06, pen= 0.01, r_old=-0.04], Reward=  11204.86 /  11204.86 /  813663.41, epsilon=  0.100, speed= -0.02, gear= 1, damage= 0.00
Ep:1200 step:660(564897), a_t=[s=-0.52, t= 0.999999, b= 0.813714], r_t=[r=-0.12, prog=-0.17, pen= 0.04, r_old=-0.12], Reward=  11205.30 /  11205.30 /  813663.41, epsilon=  0.100, speed= -0.06, gear= 1, damage= 0.00
Ep:1200 step:680(564917), a_t=[s=-0.48, t= 0.999999, b= 0.789072], r_t=[r=-0.01, prog=-0.02, pen= 0.00, r_old=-0.01], Reward=  11206.38 /  11206.38 /  813663.41, epsilon=  0.100, speed= -0.01, gear= 1, damage= 0.00
Ep:1200 step:700(564937), a_t=[s=-0.75, t= 0.999999, b= 0.899902], r_t=[r=-0.07, prog=-0.09, pen= 0.02, r_old=-0.07], Reward=  11207.62 /  11207.62 /  813663.41, epsilon=  0.100, speed= -0.03, gear= 1, damage= 0.00
Ep:1200 step:720(564957), a_t=[s=-0.85, t= 0.999998, b= 0.931936], r_t=[r= 0.29, prog= 0.39, pen=-0.11, r_old= 0.29], Reward=  11208.47 /  11208.47 /  813663.41, epsilon=  0.100, speed=  0.13, gear= 1, damage= 0.00
Ep:1200 step:740(564977), a_t=[s=-0.88, t= 0.999998, b= 0.936179], r_t=[r= 0.04, prog= 0.05, pen=-0.01, r_old= 0.04], Reward=  11208.92 /  11208.92 /  813663.41, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1200 step:760(564997), a_t=[s=-0.87, t= 0.999998, b= 0.935918], r_t=[r= 0.05, prog= 0.07, pen=-0.02, r_old= 0.05], Reward=  11209.57 /  11209.57 /  813663.41, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1200 step:780(565017), a_t=[s=-0.87, t= 0.999998, b= 0.935218], r_t=[r= 0.24, prog= 0.33, pen=-0.09, r_old= 0.24], Reward=  11209.70 /  11209.70 /  813663.41, epsilon=  0.100, speed=  0.11, gear= 1, damage= 0.00
Ep:1200 step:800(565037), a_t=[s=-0.90, t= 0.999998, b= 0.943346], r_t=[r=-0.16, prog=-0.21, pen= 0.05, r_old=-0.16], Reward=  11210.13 /  11210.13 /  813663.41, epsilon=  0.100, speed= -0.07, gear= 1, damage= 0.00
Ep:1200 step:820(565057), a_t=[s=-0.94, t= 0.999997, b= 0.963066], r_t=[r= 0.04, prog= 0.06, pen=-0.02, r_old= 0.04], Reward=  11211.07 /  11211.07 /  813663.41, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1200 step:840(565077), a_t=[s=-0.97, t= 0.999996, b= 0.971423], r_t=[r= 0.28, prog= 0.38, pen=-0.10, r_old= 0.28], Reward=  11211.93 /  11211.93 /  813663.41, epsilon=  0.100, speed=  0.13, gear= 1, damage= 0.00
Ep:1200 step:860(565097), a_t=[s=-0.97, t= 0.999994, b= 0.977621], r_t=[r= 0.16, prog= 0.21, pen=-0.06, r_old= 0.16], Reward=  11212.68 /  11212.68 /  813663.41, epsilon=  0.100, speed=  0.07, gear= 1, damage= 0.00
Ep:1200 step:880(565117), a_t=[s=-0.97, t= 0.999994, b= 0.977872], r_t=[r= 0.16, prog= 0.21, pen=-0.06, r_old= 0.16], Reward=  11213.30 /  11213.30 /  813663.41, epsilon=  0.100, speed=  0.07, gear= 1, damage= 0.00
