=============================================================
 starting episode: 1700/2000
Waiting for server on 3109............
Count Down : 5
Client connected on 3109..............
Ep:1700 step:0(805684), a_t=[s= nan, t= nan, b= nan], r_t=[r= 0.14, prog= 0.14, pen=-0.00, r_old= 0.14], Reward=  0.14 /  0.14 /  4879.33, epsilon=  0.100, speed=  0.05, gear= 1, damage= 0.00
Ep:1700 step:20(805704), a_t=[s= nan, t= nan, b= nan], r_t=[r= 0.22, prog= 0.22, pen=-0.00, r_old= 0.22], Reward= -0.47 / -0.47 /  4879.33, epsilon=  0.100, speed=  0.07, gear= 1, damage= 0.00
Ep:1700 step:40(805724), a_t=[s= nan, t= nan, b= nan], r_t=[r= 0.28, prog= 0.29, pen=-0.01, r_old= 0.28], Reward=  4.63 /  4.63 /  4879.33, epsilon=  0.100, speed=  0.10, gear= 1, damage= 0.00
Ep:1700 step:60(805744), a_t=[s= nan, t= nan, b= nan], r_t=[r=-0.09, prog=-0.09, pen= 0.00, r_old=-0.09], Reward=  5.76 /  5.76 /  4879.33, epsilon=  0.100, speed= -0.03, gear= 1, damage= 0.00
Ep:1700 step:80(805764), a_t=[s= nan, t= nan, b= nan], r_t=[r= 0.06, prog= 0.06, pen=-0.00, r_old= 0.06], Reward=  5.24 /  5.24 /  4879.33, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1700 step:100(805784), a_t=[s= nan, t= nan, b= nan], r_t=[r=-0.44, prog=-0.46, pen= 0.02, r_old=-0.44], Reward=  3.76 /  3.76 /  4879.33, epsilon=  0.100, speed= -0.15, gear= 1, damage= 0.00
Ep:1700 step:120(805804), a_t=[s= nan, t= nan, b= nan], r_t=[r=-0.25, prog=-0.26, pen= 0.01, r_old=-0.25], Reward= -0.17 / -0.17 /  4879.33, epsilon=  0.100, speed= -0.09, gear= 1, damage= 0.00
Ep:1700 step:140(805824), a_t=[s= nan, t= nan, b= nan], r_t=[r=-0.62, prog=-0.65, pen= 0.03, r_old=-0.62], Reward= -7.09 / -7.09 /  4879.33, epsilon=  0.100, speed= -0.22, gear= 1, damage= 0.00
Ep:1700 step:160(805844), a_t=[s= nan, t= nan, b= nan], r_t=[r=-0.48, prog=-0.51, pen= 0.02, r_old=-0.48], Reward= -16.16 / -16.16 /  4879.33, epsilon=  0.100, speed= -0.17, gear= 1, damage= 0.00
Ep:1700 step:180(805864), a_t=[s= nan, t= nan, b= nan], r_t=[r=-0.69, prog=-0.73, pen= 0.04, r_old=-0.69], Reward= -28.23 / -28.23 /  4879.33, epsilon=  0.100, speed= -0.24, gear= 1, damage= 0.00
Ep:1700 step:200(805884), a_t=[s= nan, t= nan, b= nan], r_t=[r=-0.86, prog=-0.91, pen= 0.05, r_old=-0.86], Reward= -43.79 / -43.79 /  4879.33, epsilon=  0.100, speed= -0.30, gear= 1, damage= 0.00
