=============================================================
 starting episode: 100/2000
Client connected on 3109..............
Ep:100 step:0(64193), a_t=[s= 1.00, t= 1.000000, b= 0.000001], r_t=[r= 0.59, prog= 0.59, pen=-0.00, r_old= 0.59], Reward=  0.59 /  0.59 /  15224.45, epsilon=  0.813, speed=  0.20, gear= 1, damage= 0.00
Ep:100 step:20(64213), a_t=[s=-1.00, t= 1.000000, b= 0.002366], r_t=[r= 142.35, prog= 183.00, pen=-40.65, r_old= 142.35], Reward=  1760.90 /  1760.90 /  15224.45, epsilon=  0.813, speed=  62.53, gear= 1, damage= 0.00
Ep:100 step:40(64233), a_t=[s= 1.00, t= 1.000000, b= 0.000000], r_t=[r= 162.24, prog= 238.51, pen=-76.27, r_old= 162.24], Reward=  5697.44 /  5697.44 /  15224.45, epsilon=  0.813, speed=  80.98, gear= 1, damage= 0.00
Ep:100 step:60(64253), a_t=[s=-1.00, t= 1.000000, b= 1.000000], r_t=[r= 67.94, prog= 153.64, pen=-85.70, r_old= 67.94], Reward=  7939.51 /  7939.51 /  15224.45, epsilon=  0.813, speed=  51.22, gear= 1, damage= 0.00
Ep:100 step:80(64273), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.09, prog= 0.19, pen=-0.11, r_old= 0.09], Reward=  8294.02 /  8294.02 /  15224.45, epsilon=  0.813, speed=  0.07, gear= 1, damage= 0.00
Ep:100 step:100(64293), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.02, prog= 0.04, pen=-0.02, r_old= 0.02], Reward=  8293.95 /  8293.95 /  15224.45, epsilon=  0.813, speed=  0.01, gear= 1, damage= 0.00
Ep:100 step:120(64313), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.04, prog= 0.09, pen=-0.05, r_old= 0.04], Reward=  8293.87 /  8293.87 /  15224.45, epsilon=  0.813, speed=  0.03, gear= 1, damage= 0.00
Ep:100 step:140(64333), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.01, prog=-0.02, pen= 0.01, r_old=-0.01], Reward=  8294.25 /  8294.25 /  15224.45, epsilon=  0.813, speed= -0.01, gear= 1, damage= 0.00
Ep:100 step:160(64353), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r= 0.02, prog= 0.04, pen=-0.02, r_old= 0.02], Reward=  8294.25 /  8294.25 /  15224.45, epsilon=  0.813, speed=  0.01, gear= 1, damage= 0.00
Ep:100 step:180(64373), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.06, prog=-0.13, pen= 0.07, r_old=-0.06], Reward=  8294.03 /  8294.03 /  15224.45, epsilon=  0.813, speed= -0.04, gear= 1, damage= 0.00
Ep:100 step:200(64393), a_t=[s=-1.00, t= 1.000000, b= 0.999998], r_t=[r=-0.01, prog=-0.01, pen= 0.01, r_old=-0.01], Reward=  8294.02 /  8294.02 /  15224.45, epsilon=  0.813, speed= -0.00, gear= 1, damage= 0.00
