=============================================================
 starting episode: 200/2000
Waiting for server on 3109............
Count Down : 5
Client connected on 3109..............
Ep:200 step:0(96154), a_t=[s= 1.00, t= 1.000000, b= 0.000000], r_t=[r= 0.59, prog= 0.59, pen=-0.00, r_old= 0.59], Reward=  0.59 /  0.59 /  24766.61, epsilon=  0.739, speed=  0.20, gear= 1, damage= 0.00
Ep:200 step:20(96174), a_t=[s= 1.00, t= 1.000000, b= 0.000000], r_t=[r= 215.80, prog= 238.90, pen=-23.10, r_old= 215.80], Reward=  2291.02 /  2291.02 /  24766.61, epsilon=  0.739, speed=  81.30, gear= 1, damage= 0.00
Ep:200 step:40(96194), a_t=[s=-1.00, t= 1.000000, b= 0.087943], r_t=[r= 147.56, prog= 163.14, pen=-15.58, r_old= 147.56], Reward=  6281.06 /  6281.06 /  24766.61, epsilon=  0.739, speed=  55.62, gear= 1, damage= 0.00
Ep:200 step:60(96214), a_t=[s=-1.00, t= 1.000000, b= 0.853697], r_t=[r= 1.66, prog= 1.82, pen=-0.16, r_old= 1.66], Reward=  9207.31 /  9207.31 /  24766.61, epsilon=  0.739, speed=  0.62, gear= 1, damage= 0.00
Ep:200 step:80(96234), a_t=[s=-1.00, t= 1.000000, b= 0.598492], r_t=[r= 0.27, prog= 0.29, pen=-0.03, r_old= 0.27], Reward=  9209.57 /  9209.57 /  24766.61, epsilon=  0.739, speed=  0.10, gear= 1, damage= 0.00
Ep:200 step:100(96254), a_t=[s=-1.00, t= 1.000000, b= 0.593113], r_t=[r= 0.51, prog= 0.56, pen=-0.05, r_old= 0.51], Reward=  9212.03 /  9212.03 /  24766.61, epsilon=  0.739, speed=  0.19, gear= 1, damage= 0.00
Ep:200 step:120(96274), a_t=[s=-1.00, t= 1.000000, b= 0.578454], r_t=[r= 0.13, prog= 0.15, pen=-0.01, r_old= 0.13], Reward=  9215.93 /  9215.93 /  24766.61, epsilon=  0.739, speed=  0.05, gear= 1, damage= 0.00
Ep:200 step:140(96294), a_t=[s=-1.00, t= 1.000000, b= 0.567766], r_t=[r= 0.07, prog= 0.08, pen=-0.01, r_old= 0.07], Reward=  9218.79 /  9218.79 /  24766.61, epsilon=  0.739, speed=  0.03, gear= 1, damage= 0.00
Ep:200 step:160(96314), a_t=[s=-1.00, t= 1.000000, b= 0.541281], r_t=[r=-0.19, prog=-0.18, pen=-0.01, r_old=-0.19], Reward=  9221.49 /  9221.49 /  24766.61, epsilon=  0.739, speed= -0.06, gear= 1, damage= 0.00
Ep:200 step:180(96334), a_t=[s=-1.00, t= 1.000000, b= 0.574744], r_t=[r= 0.21, prog= 0.23, pen=-0.02, r_old= 0.21], Reward=  9226.86 /  9226.86 /  24766.61, epsilon=  0.739, speed=  0.08, gear= 1, damage= 0.00
Ep:200 step:200(96354), a_t=[s=-1.00, t= 1.000000, b= 0.596253], r_t=[r= 0.29, prog= 0.32, pen=-0.03, r_old= 0.29], Reward=  9231.15 /  9231.15 /  24766.61, epsilon=  0.739, speed=  0.11, gear= 1, damage= 0.00
Ep:200 step:220(96374), a_t=[s=-1.00, t= 1.000000, b= 0.583796], r_t=[r= 0.44, prog= 0.48, pen=-0.04, r_old= 0.44], Reward=  9233.45 /  9233.45 /  24766.61, epsilon=  0.739, speed=  0.16, gear= 1, damage= 0.00
Ep:200 step:240(96394), a_t=[s=-1.00, t= 1.000000, b= 0.558585], r_t=[r= 0.56, prog= 0.62, pen=-0.06, r_old= 0.56], Reward=  9236.12 /  9236.12 /  24766.61, epsilon=  0.739, speed=  0.21, gear= 1, damage= 0.00
Ep:200 step:260(96414), a_t=[s=-1.00, t= 1.000000, b= 0.575566], r_t=[r= 0.45, prog= 0.49, pen=-0.05, r_old= 0.45], Reward=  9240.50 /  9240.50 /  24766.61, epsilon=  0.739, speed=  0.17, gear= 1, damage= 0.00
Ep:200 step:280(96434), a_t=[s=-1.00, t= 1.000000, b= 0.605257], r_t=[r= 0.24, prog= 0.26, pen=-0.02, r_old= 0.24], Reward=  9244.37 /  9244.37 /  24766.61, epsilon=  0.739, speed=  0.09, gear= 1, damage= 0.00
Ep:200 step:300(96454), a_t=[s=-1.00, t= 1.000000, b= 0.568361], r_t=[r=-0.10, prog=-0.10, pen=-0.00, r_old=-0.10], Reward=  9246.64 /  9246.64 /  24766.61, epsilon=  0.739, speed= -0.03, gear= 1, damage= 0.00
Ep:200 step:320(96474), a_t=[s=-1.00, t= 1.000000, b= 0.577789], r_t=[r= 0.27, prog= 0.30, pen=-0.03, r_old= 0.27], Reward=  9248.97 /  9248.97 /  24766.61, epsilon=  0.739, speed=  0.10, gear= 1, damage= 0.00
Ep:200 step:340(96494), a_t=[s=-1.00, t= 1.000000, b= 0.579000], r_t=[r= 0.28, prog= 0.31, pen=-0.03, r_old= 0.28], Reward=  9251.37 /  9251.37 /  24766.61, epsilon=  0.739, speed=  0.10, gear= 1, damage= 0.00
Ep:200 step:360(96514), a_t=[s=-1.00, t= 1.000000, b= 0.606163], r_t=[r= 0.24, prog= 0.27, pen=-0.03, r_old= 0.24], Reward=  9252.17 /  9252.17 /  24766.61, epsilon=  0.739, speed=  0.09, gear= 1, damage= 0.00
Ep:200 step:380(96534), a_t=[s=-1.00, t= 1.000000, b= 0.588644], r_t=[r=-0.07, prog=-0.07, pen=-0.00, r_old=-0.07], Reward=  9253.05 /  9253.05 /  24766.61, epsilon=  0.739, speed= -0.02, gear= 1, damage= 0.00
Ep:200 step:400(96554), a_t=[s=-1.00, t= 1.000000, b= 0.607892], r_t=[r= 0.31, prog= 0.35, pen=-0.03, r_old= 0.31], Reward=  9256.10 /  9256.10 /  24766.61, epsilon=  0.739, speed=  0.12, gear= 1, damage= 0.00
Ep:200 step:420(96574), a_t=[s=-1.00, t= 1.000000, b= 0.660725], r_t=[r=-0.24, prog=-0.23, pen=-0.01, r_old=-0.24], Reward=  9259.12 /  9259.12 /  24766.61, epsilon=  0.739, speed= -0.08, gear= 1, damage= 0.00
Ep:200 step:440(96594), a_t=[s=-1.00, t= 1.000000, b= 0.631238], r_t=[r=-0.03, prog=-0.03, pen=-0.00, r_old=-0.03], Reward=  9260.82 /  9260.82 /  24766.61, epsilon=  0.739, speed= -0.01, gear= 1, damage= 0.00
Ep:200 step:460(96614), a_t=[s=-1.00, t= 1.000000, b= 0.623610], r_t=[r= 0.21, prog= 0.24, pen=-0.02, r_old= 0.21], Reward=  9262.38 /  9262.38 /  24766.61, epsilon=  0.739, speed=  0.08, gear= 1, damage= 0.00
Ep:200 step:480(96634), a_t=[s=-1.00, t= 1.000000, b= 0.562474], r_t=[r= 0.35, prog= 0.38, pen=-0.04, r_old= 0.35], Reward=  9264.02 /  9264.02 /  24766.61, epsilon=  0.739, speed=  0.13, gear= 1, damage= 0.00
Ep:200 step:500(96654), a_t=[s=-1.00, t= 1.000000, b= 0.561545], r_t=[r= 0.42, prog= 0.46, pen=-0.05, r_old= 0.42], Reward=  9268.77 /  9268.77 /  24766.61, epsilon=  0.739, speed=  0.16, gear= 1, damage= 0.00
Ep:200 step:520(96674), a_t=[s=-1.00, t= 1.000000, b= 0.565777], r_t=[r= 0.05, prog= 0.06, pen=-0.01, r_old= 0.05], Reward=  9270.33 /  9270.33 /  24766.61, epsilon=  0.739, speed=  0.02, gear= 1, damage= 0.00
Ep:200 step:540(96694), a_t=[s=-1.00, t= 1.000000, b= 0.548185], r_t=[r= 0.53, prog= 0.59, pen=-0.06, r_old= 0.53], Reward=  9272.38 /  9272.38 /  24766.61, epsilon=  0.739, speed=  0.20, gear= 1, damage= 0.00
Ep:200 step:560(96714), a_t=[s=-1.00, t= 1.000000, b= 0.565617], r_t=[r= 0.39, prog= 0.44, pen=-0.04, r_old= 0.39], Reward=  9275.41 /  9275.41 /  24766.61, epsilon=  0.739, speed=  0.15, gear= 1, damage= 0.00
Ep:200 step:580(96734), a_t=[s=-1.00, t= 1.000000, b= 0.595260], r_t=[r= 0.05, prog= 0.06, pen=-0.01, r_old= 0.05], Reward=  9277.86 /  9277.86 /  24766.61, epsilon=  0.739, speed=  0.02, gear= 1, damage= 0.00
Ep:200 step:600(96754), a_t=[s=-1.00, t= 1.000000, b= 0.627561], r_t=[r= 0.39, prog= 0.43, pen=-0.04, r_old= 0.39], Reward=  9279.29 /  9279.29 /  24766.61, epsilon=  0.739, speed=  0.15, gear= 1, damage= 0.00
Ep:200 step:620(96774), a_t=[s=-1.00, t= 1.000000, b= 0.578631], r_t=[r=-0.33, prog=-0.32, pen=-0.01, r_old=-0.33], Reward=  9280.82 /  9280.82 /  24766.61, epsilon=  0.739, speed= -0.11, gear= 1, damage= 0.00
Ep:200 step:640(96794), a_t=[s=-1.00, t= 1.000000, b= 0.603952], r_t=[r=-0.21, prog=-0.20, pen=-0.00, r_old=-0.21], Reward=  9283.53 /  9283.53 /  24766.61, epsilon=  0.739, speed= -0.07, gear= 1, damage= 0.00
Ep:200 step:660(96814), a_t=[s=-1.00, t= 1.000000, b= 0.600027], r_t=[r=-0.40, prog=-0.40, pen=-0.01, r_old=-0.40], Reward=  9285.51 /  9285.51 /  24766.61, epsilon=  0.739, speed= -0.13, gear= 1, damage= 0.00
Ep:200 step:680(96834), a_t=[s=-1.00, t= 1.000000, b= 0.597119], r_t=[r=-0.03, prog=-0.03, pen=-0.00, r_old=-0.03], Reward=  9287.26 /  9287.26 /  24766.61, epsilon=  0.739, speed= -0.01, gear= 1, damage= 0.00
Ep:200 step:700(96854), a_t=[s=-1.00, t= 1.000000, b= 0.592340], r_t=[r=-0.15, prog=-0.14, pen=-0.00, r_old=-0.15], Reward=  9289.07 /  9289.07 /  24766.61, epsilon=  0.739, speed= -0.05, gear= 1, damage= 0.00
Ep:200 step:720(96874), a_t=[s=-1.00, t= 1.000000, b= 0.644779], r_t=[r= 0.10, prog= 0.11, pen=-0.01, r_old= 0.10], Reward=  9291.26 /  9291.26 /  24766.61, epsilon=  0.739, speed=  0.04, gear= 1, damage= 0.00
Ep:200 step:740(96894), a_t=[s=-1.00, t= 1.000000, b= 0.669412], r_t=[r=-0.41, prog=-0.40, pen=-0.01, r_old=-0.41], Reward=  9292.65 /  9292.65 /  24766.61, epsilon=  0.739, speed= -0.14, gear= 1, damage= 0.00
Ep:200 step:760(96914), a_t=[s=-1.00, t= 1.000000, b= 0.722696], r_t=[r= 0.14, prog= 0.15, pen=-0.02, r_old= 0.14], Reward=  9295.85 /  9295.85 /  24766.61, epsilon=  0.739, speed=  0.05, gear= 1, damage= 0.00
Ep:200 step:780(96934), a_t=[s=-1.00, t= 1.000000, b= 0.711582], r_t=[r= 0.13, prog= 0.14, pen=-0.02, r_old= 0.13], Reward=  9297.68 /  9297.68 /  24766.61, epsilon=  0.739, speed=  0.05, gear= 1, damage= 0.00
Ep:200 step:800(96954), a_t=[s=-1.00, t= 1.000000, b= 0.643305], r_t=[r=-0.18, prog=-0.17, pen=-0.00, r_old=-0.18], Reward=  9300.38 /  9300.38 /  24766.61, epsilon=  0.739, speed= -0.06, gear= 1, damage= 0.00
