=============================================================
 starting episode: 700/2000
Waiting for server on 3112............
Count Down : 5
Client connected on 3112..............
Ep:700 step:0(109692), a_t=[s= 0.36, t= 0.000121, b= 0.000000], r_t=[r= 0.08, prog= 0.08, pen=-0.00, r_old= 0.08], Reward=  0.08 /  0.08 /  275777.58, epsilon=  0.657, speed=  0.03, gear= 1, damage= 0.00
Ep:700 step:20(109712), a_t=[s=-0.09, t= 0.000126, b= 0.000000], r_t=[r=-0.21, prog=-0.21, pen= 0.00, r_old=-0.21], Reward=  4.71 /  4.71 /  275777.58, epsilon=  0.657, speed= -0.07, gear= 1, damage= 0.00
Ep:700 step:40(109732), a_t=[s= 0.33, t= 0.000076, b= 0.000000], r_t=[r= 0.43, prog= 0.44, pen=-0.01, r_old= 0.43], Reward=  12.44 /  12.44 /  275777.58, epsilon=  0.657, speed=  0.15, gear= 1, damage= 0.00
Ep:700 step:60(109752), a_t=[s= 0.45, t= 0.000060, b= 0.000000], r_t=[r= 1.10, prog= 1.14, pen=-0.04, r_old= 1.10], Reward=  33.60 /  33.60 /  275777.58, epsilon=  0.657, speed=  0.38, gear= 1, damage= 0.00
Ep:700 step:80(109772), a_t=[s= 0.31, t= 0.000051, b= 0.000000], r_t=[r= 2.12, prog= 2.23, pen=-0.11, r_old= 2.12], Reward=  70.37 /  70.37 /  275777.58, epsilon=  0.657, speed=  0.75, gear= 1, damage= 0.00
Ep:700 step:100(109792), a_t=[s= 0.24, t= 0.000039, b= 0.000000], r_t=[r= 2.67, prog= 2.85, pen=-0.18, r_old= 2.67], Reward=  115.44 /  115.44 /  275777.58, epsilon=  0.657, speed=  0.95, gear= 1, damage= 0.00
Ep:700 step:120(109812), a_t=[s= 0.75, t= 0.000015, b= 0.000000], r_t=[r= 4.58, prog= 5.05, pen=-0.47, r_old= 4.58], Reward=  184.53 /  184.53 /  275777.58, epsilon=  0.657, speed=  1.70, gear= 1, damage= 0.00
Ep:700 step:140(109832), a_t=[s= 0.64, t= 0.000002, b= 0.000000], r_t=[r= 8.65, prog= 10.70, pen=-2.05, r_old= 8.65], Reward=  321.08 /  321.08 /  275777.58, epsilon=  0.657, speed=  3.72, gear= 1, damage= 0.00
Ep:700 step:160(109852), a_t=[s= 0.41, t= 0.000002, b= 0.000000], r_t=[r= 10.74, prog= 15.17, pen=-4.43, r_old= 10.74], Reward=  523.83 /  523.83 /  275777.58, epsilon=  0.657, speed=  5.33, gear= 1, damage= 0.00
Ep:700 step:180(109872), a_t=[s=-0.74, t= 0.000082, b= 0.000000], r_t=[r= 10.10, prog= 15.85, pen=-5.75, r_old= 10.10], Reward=  742.07 /  742.07 /  275777.58, epsilon=  0.657, speed=  5.50, gear= 1, damage= 0.00
Ep:700 step:200(109892), a_t=[s= 0.42, t= 0.000219, b= 0.000000], r_t=[r= 7.43, prog= 12.68, pen=-5.24, r_old= 7.43], Reward=  925.91 /  925.91 /  275777.58, epsilon=  0.657, speed=  4.36, gear= 1, damage= 0.00
Ep:700 step:220(109912), a_t=[s= 0.21, t= 0.003008, b= 0.000000], r_t=[r= 4.30, prog= 7.55, pen=-3.25, r_old= 4.30], Reward=  1038.68 /  1038.68 /  275777.58, epsilon=  0.657, speed=  2.57, gear= 1, damage= 0.00
Ep:700 step:240(109932), a_t=[s=-0.19, t= 0.004972, b= 0.000000], r_t=[r= 0.79, prog= 1.42, pen=-0.63, r_old= 0.79], Reward=  1087.92 /  1087.92 /  275777.58, epsilon=  0.657, speed=  0.48, gear= 1, damage= 0.00
Ep:700 step:260(109952), a_t=[s= 0.35, t= 0.002312, b= 0.000000], r_t=[r= 0.02, prog= 0.03, pen=-0.01, r_old= 0.02], Reward=  1089.22 /  1089.22 /  275777.58, epsilon=  0.657, speed=  0.01, gear= 1, damage= 0.00
Ep:700 step:280(109972), a_t=[s= 0.35, t= 0.001905, b= 0.000000], r_t=[r= 0.00, prog= 0.01, pen=-0.00, r_old= 0.00], Reward=  1088.48 /  1088.48 /  275777.58, epsilon=  0.657, speed=  0.00, gear= 1, damage= 0.00
Ep:700 step:300(109992), a_t=[s=-0.16, t= 0.004570, b= 0.000000], r_t=[r=-0.17, prog=-0.26, pen= 0.08, r_old=-0.17], Reward=  1087.79 /  1087.79 /  275777.58, epsilon=  0.657, speed= -0.09, gear= 1, damage= 0.00
Ep:700 step:320(110012), a_t=[s= 0.02, t= 0.003396, b= 0.000000], r_t=[r=-0.01, prog=-0.02, pen= 0.01, r_old=-0.01], Reward=  1087.41 /  1087.41 /  275777.58, epsilon=  0.657, speed= -0.01, gear= 1, damage= 0.00
Ep:700 step:340(110032), a_t=[s= 0.11, t= 0.002641, b= 0.000000], r_t=[r=-0.02, prog=-0.02, pen= 0.01, r_old=-0.02], Reward=  1087.30 /  1087.30 /  275777.58, epsilon=  0.657, speed= -0.01, gear= 1, damage= 0.00
Ep:700 step:360(110052), a_t=[s=-0.04, t= 0.003043, b= 0.000000], r_t=[r= 0.06, prog= 0.11, pen=-0.05, r_old= 0.06], Reward=  1087.85 /  1087.85 /  275777.58, epsilon=  0.657, speed=  0.04, gear= 1, damage= 0.00
Ep:700 step:380(110072), a_t=[s=-0.09, t= 0.003609, b= 0.000000], r_t=[r= 0.06, prog= 0.12, pen=-0.06, r_old= 0.06], Reward=  1088.06 /  1088.06 /  275777.58, epsilon=  0.657, speed=  0.04, gear= 1, damage= 0.00
Ep:700 step:400(110092), a_t=[s= 0.16, t= 0.002491, b= 0.000000], r_t=[r= 0.07, prog= 0.14, pen=-0.07, r_old= 0.07], Reward=  1088.96 /  1088.96 /  275777.58, epsilon=  0.657, speed=  0.05, gear= 1, damage= 0.00
Ep:700 step:420(110112), a_t=[s=-0.39, t= 0.004838, b= 0.000000], r_t=[r= 0.11, prog= 0.21, pen=-0.11, r_old= 0.11], Reward=  1088.52 /  1088.52 /  275777.58, epsilon=  0.657, speed=  0.07, gear= 1, damage= 0.00
Ep:700 step:440(110132), a_t=[s=-0.21, t= 0.003850, b= 0.000000], r_t=[r= 0.09, prog= 0.18, pen=-0.09, r_old= 0.09], Reward=  1088.72 /  1088.72 /  275777.58, epsilon=  0.657, speed=  0.06, gear= 1, damage= 0.00
Ep:700 step:460(110152), a_t=[s= 0.13, t= 0.002588, b= 0.000000], r_t=[r= 0.09, prog= 0.19, pen=-0.10, r_old= 0.09], Reward=  1088.36 /  1088.36 /  275777.58, epsilon=  0.657, speed=  0.07, gear= 1, damage= 0.00
Ep:700 step:480(110172), a_t=[s=-0.11, t= 0.002964, b= 0.000000], r_t=[r=-0.05, prog=-0.08, pen= 0.03, r_old=-0.05], Reward=  1088.00 /  1088.00 /  275777.58, epsilon=  0.657, speed= -0.03, gear= 1, damage= 0.00
Ep:700 step:500(110192), a_t=[s=-0.12, t= 0.002874, b= 0.000000], r_t=[r= 0.10, prog= 0.21, pen=-0.11, r_old= 0.10], Reward=  1088.51 /  1088.51 /  275777.58, epsilon=  0.657, speed=  0.07, gear= 1, damage= 0.00
Ep:700 step:520(110212), a_t=[s=-0.36, t= 0.003968, b= 0.000000], r_t=[r=-0.09, prog=-0.13, pen= 0.05, r_old=-0.09], Reward=  1088.48 /  1088.48 /  275777.58, epsilon=  0.657, speed= -0.05, gear= 1, damage= 0.00
Ep:700 step:540(110232), a_t=[s=-0.05, t= 0.002395, b= 0.000000], r_t=[r=-0.12, prog=-0.18, pen= 0.06, r_old=-0.12], Reward=  1087.68 /  1087.68 /  275777.58, epsilon=  0.657, speed= -0.06, gear= 1, damage= 0.00
Ep:700 step:560(110252), a_t=[s=-0.19, t= 0.003148, b= 0.000000], r_t=[r=-0.08, prog=-0.12, pen= 0.04, r_old=-0.08], Reward=  1087.04 /  1087.04 /  275777.58, epsilon=  0.657, speed= -0.04, gear= 1, damage= 0.00
Ep:700 step:580(110272), a_t=[s=-0.08, t= 0.002115, b= 0.000000], r_t=[r= 0.00, prog= 0.00, pen=-0.00, r_old= 0.00], Reward=  1086.54 /  1086.54 /  275777.58, epsilon=  0.657, speed=  0.00, gear= 1, damage= 0.00
Ep:700 step:600(110292), a_t=[s=-0.77, t= 0.010969, b= 0.000000], r_t=[r= 0.17, prog= 0.37, pen=-0.20, r_old= 0.17], Reward=  1087.64 /  1087.64 /  275777.58, epsilon=  0.657, speed=  0.13, gear= 1, damage= 0.00
Ep:700 step:620(110312), a_t=[s=-0.57, t= 0.005042, b= 0.000000], r_t=[r= 0.14, prog= 0.32, pen=-0.18, r_old= 0.14], Reward=  1088.72 /  1088.72 /  275777.58, epsilon=  0.657, speed=  0.11, gear= 1, damage= 0.00
Ep:700 step:640(110332), a_t=[s=-0.17, t= 0.003148, b= 0.000000], r_t=[r=-0.01, prog=-0.02, pen= 0.01, r_old=-0.01], Reward=  1089.08 /  1089.08 /  275777.58, epsilon=  0.657, speed= -0.01, gear= 1, damage= 0.00
Ep:700 step:660(110352), a_t=[s= 0.06, t= 0.001698, b= 0.000000], r_t=[r=-0.02, prog=-0.04, pen= 0.01, r_old=-0.02], Reward=  1088.31 /  1088.31 /  275777.58, epsilon=  0.657, speed= -0.01, gear= 1, damage= 0.00
Ep:700 step:680(110372), a_t=[s=-0.19, t= 0.002322, b= 0.000000], r_t=[r= 0.01, prog= 0.03, pen=-0.02, r_old= 0.01], Reward=  1086.30 /  1086.30 /  275777.58, epsilon=  0.657, speed=  0.01, gear= 1, damage= 0.00
Ep:700 step:700(110392), a_t=[s=-0.10, t= 0.002179, b= 0.000000], r_t=[r=-0.04, prog=-0.06, pen= 0.02, r_old=-0.04], Reward=  1084.89 /  1084.89 /  275777.58, epsilon=  0.657, speed= -0.02, gear= 1, damage= 0.00
Ep:700 step:720(110412), a_t=[s= 0.08, t= 0.001461, b= 0.000000], r_t=[r= 0.09, prog= 0.20, pen=-0.11, r_old= 0.09], Reward=  1084.59 /  1084.59 /  275777.58, epsilon=  0.657, speed=  0.07, gear= 1, damage= 0.00
Ep:700 step:740(110432), a_t=[s=-0.29, t= 0.002899, b= 0.000000], r_t=[r=-0.04, prog=-0.06, pen= 0.02, r_old=-0.04], Reward=  1085.04 /  1085.04 /  275777.58, epsilon=  0.657, speed= -0.02, gear= 1, damage= 0.00
Ep:700 step:760(110452), a_t=[s=-0.17, t= 0.002122, b= 0.000000], r_t=[r=-0.03, prog=-0.05, pen= 0.02, r_old=-0.03], Reward=  1084.90 /  1084.90 /  275777.58, epsilon=  0.657, speed= -0.02, gear= 1, damage= 0.00
Ep:700 step:780(110472), a_t=[s=-0.78, t= 0.009154, b= 0.000000], r_t=[r= 0.01, prog= 0.01, pen=-0.01, r_old= 0.01], Reward=  1085.08 /  1085.08 /  275777.58, epsilon=  0.657, speed=  0.00, gear= 1, damage= 0.00
Ep:700 step:800(110492), a_t=[s= 0.09, t= 0.001420, b= 0.000000], r_t=[r= 0.02, prog= 0.04, pen=-0.02, r_old= 0.02], Reward=  1084.76 /  1084.76 /  275777.58, epsilon=  0.657, speed=  0.01, gear= 1, damage= 0.00
Ep:700 step:820(110512), a_t=[s=-0.31, t= 0.003173, b= 0.000000], r_t=[r= 0.04, prog= 0.11, pen=-0.07, r_old= 0.04], Reward=  1084.82 /  1084.82 /  275777.58, epsilon=  0.657, speed=  0.04, gear= 1, damage= 0.00
Ep:700 step:840(110532), a_t=[s=-0.09, t= 0.001851, b= 0.000000], r_t=[r= 0.05, prog= 0.13, pen=-0.08, r_old= 0.05], Reward=  1085.22 /  1085.22 /  275777.58, epsilon=  0.657, speed=  0.05, gear= 1, damage= 0.00
Ep:700 step:860(110552), a_t=[s=-0.15, t= 0.002019, b= 0.000000], r_t=[r= 0.08, prog= 0.20, pen=-0.12, r_old= 0.08], Reward=  1085.44 /  1085.44 /  275777.58, epsilon=  0.657, speed=  0.07, gear= 1, damage= 0.00
Ep:700 step:880(110572), a_t=[s=-0.24, t= 0.002423, b= 0.000000], r_t=[r=-0.01, prog=-0.01, pen= 0.00, r_old=-0.01], Reward=  1085.60 /  1085.60 /  275777.58, epsilon=  0.657, speed= -0.00, gear= 1, damage= 0.00
Ep:700 step:900(110592), a_t=[s=-0.33, t= 0.002870, b= 0.000000], r_t=[r= 0.03, prog= 0.08, pen=-0.05, r_old= 0.03], Reward=  1085.58 /  1085.58 /  275777.58, epsilon=  0.657, speed=  0.03, gear= 1, damage= 0.00
Ep:700 step:920(110612), a_t=[s=-0.26, t= 0.002303, b= 0.000000], r_t=[r=-0.07, prog=-0.12, pen= 0.04, r_old=-0.07], Reward=  1084.65 /  1084.65 /  275777.58, epsilon=  0.657, speed= -0.04, gear= 1, damage= 0.00
Ep:700 step:940(110632), a_t=[s=-0.21, t= 0.002297, b= 0.000000], r_t=[r= 0.00, prog= 0.01, pen=-0.01, r_old= 0.00], Reward=  1084.63 /  1084.63 /  275777.58, epsilon=  0.657, speed=  0.00, gear= 1, damage= 0.00
Ep:700 step:960(110652), a_t=[s=-0.66, t= 0.005933, b= 0.000000], r_t=[r= 0.03, prog= 0.07, pen=-0.05, r_old= 0.03], Reward=  1084.82 /  1084.82 /  275777.58, epsilon=  0.657, speed=  0.03, gear= 1, damage= 0.00
Ep:700 step:980(110672), a_t=[s=-0.68, t= 0.005582, b= 0.000000], r_t=[r= 0.06, prog= 0.18, pen=-0.12, r_old= 0.06], Reward=  1085.33 /  1085.33 /  275777.58, epsilon=  0.657, speed=  0.07, gear= 1, damage= 0.00
Ep:700 step:1000(110692), a_t=[s=-0.50, t= 0.003932, b= 0.000000], r_t=[r= 0.09, prog= 0.27, pen=-0.18, r_old= 0.09], Reward=  1085.79 /  1085.79 /  275777.58, epsilon=  0.657, speed=  0.10, gear= 1, damage= 0.00
Ep:700 step:1020(110712), a_t=[s=-0.53, t= 0.003297, b= 0.000000], r_t=[r= 0.05, prog= 0.17, pen=-0.11, r_old= 0.05], Reward=  1086.37 /  1086.37 /  275777.58, epsilon=  0.657, speed=  0.06, gear= 1, damage= 0.00
Ep:700 step:1040(110732), a_t=[s=-0.93, t= 0.015332, b= 0.000000], r_t=[r= 0.04, prog= 0.13, pen=-0.09, r_old= 0.04], Reward=  1086.22 /  1086.22 /  275777.58, epsilon=  0.657, speed=  0.05, gear= 1, damage= 0.00
Ep:700 step:1060(110752), a_t=[s=-0.54, t= 0.004484, b= 0.000000], r_t=[r= 0.03, prog= 0.08, pen=-0.06, r_old= 0.03], Reward=  1086.75 /  1086.75 /  275777.58, epsilon=  0.657, speed=  0.03, gear= 1, damage= 0.00
Ep:700 step:1080(110772), a_t=[s=-0.47, t= 0.002940, b= 0.000000], r_t=[r= 0.11, prog= 0.35, pen=-0.24, r_old= 0.11], Reward=  1087.38 /  1087.38 /  275777.58, epsilon=  0.657, speed=  0.13, gear= 1, damage= 0.00
Ep:700 step:1100(110792), a_t=[s=-0.97, t= 0.019010, b= 0.000000], r_t=[r= 0.07, prog= 0.22, pen=-0.15, r_old= 0.07], Reward=  1087.76 /  1087.76 /  275777.58, epsilon=  0.657, speed=  0.08, gear= 1, damage= 0.00
Ep:700 step:1120(110812), a_t=[s=-0.78, t= 0.006095, b= 0.000000], r_t=[r=-0.02, prog=-0.04, pen= 0.01, r_old=-0.02], Reward=  1088.10 /  1088.10 /  275777.58, epsilon=  0.657, speed= -0.01, gear= 1, damage= 0.00
Ep:700 step:1140(110832), a_t=[s=-0.89, t= 0.009959, b= 0.000000], r_t=[r= 0.02, prog= 0.06, pen=-0.04, r_old= 0.02], Reward=  1088.54 /  1088.54 /  275777.58, epsilon=  0.657, speed=  0.02, gear= 1, damage= 0.00
Ep:700 step:1160(110852), a_t=[s=-0.95, t= 0.015753, b= 0.000000], r_t=[r= 0.00, prog= 0.00, pen=-0.00, r_old= 0.00], Reward=  1089.06 /  1089.06 /  275777.58, epsilon=  0.657, speed=  0.00, gear= 1, damage= 0.00
