=============================================================
 starting episode: 500/2000
Waiting for server on 3102............
Count Down : 5
Client connected on 3102..............
Ep:500 step:0(154573), a_t=[s= 0.97, t= 0.000000, b= 0.000000], r_t=[r= 0.61, prog= 0.61, pen=-0.00, r_old= 0.61], Reward=  0.61 /  0.61 /  287635.09, epsilon=  0.626, speed=  0.20, gear= 1, damage= 0.00
Ep:500 step:20(154593), a_t=[s= 0.83, t= 0.000000, b= 0.000000], r_t=[r= 4.35, prog= 4.53, pen=-0.18, r_old= 4.35], Reward=  43.27 /  43.27 /  287635.09, epsilon=  0.626, speed=  1.52, gear= 1, damage= 0.00
Ep:500 step:40(154613), a_t=[s=-0.37, t= 0.000000, b= 0.000000], r_t=[r= 5.23, prog= 5.62, pen=-0.38, r_old= 5.23], Reward=  145.42 /  145.42 /  287635.09, epsilon=  0.626, speed=  1.89, gear= 1, damage= 0.00
Ep:500 step:60(154633), a_t=[s= 0.37, t= 0.000000, b= 0.000000], r_t=[r= 4.70, prog= 5.09, pen=-0.39, r_old= 4.70], Reward=  249.36 /  249.36 /  287635.09, epsilon=  0.626, speed=  1.71, gear= 1, damage= 0.00
Ep:500 step:80(154653), a_t=[s=-0.26, t= 0.000000, b= 0.000000], r_t=[r= 3.94, prog= 4.32, pen=-0.37, r_old= 3.94], Reward=  337.92 /  337.92 /  287635.09, epsilon=  0.626, speed=  1.45, gear= 1, damage= 0.00
Ep:500 step:100(154673), a_t=[s= 0.23, t= 0.000000, b= 0.000000], r_t=[r= 2.45, prog= 2.69, pen=-0.24, r_old= 2.45], Reward=  401.02 /  401.02 /  287635.09, epsilon=  0.626, speed=  0.90, gear= 1, damage= 0.00
Ep:500 step:120(154693), a_t=[s= 0.31, t= 0.000000, b= 0.000000], r_t=[r= 1.76, prog= 1.95, pen=-0.19, r_old= 1.76], Reward=  443.58 /  443.58 /  287635.09, epsilon=  0.626, speed=  0.65, gear= 1, damage= 0.00
Ep:500 step:140(154713), a_t=[s= 0.35, t= 0.000000, b= 0.000000], r_t=[r= 0.85, prog= 0.94, pen=-0.09, r_old= 0.85], Reward=  467.06 /  467.06 /  287635.09, epsilon=  0.626, speed=  0.31, gear= 1, damage= 0.00
Ep:500 step:160(154733), a_t=[s=-0.10, t= 0.000000, b= 0.000000], r_t=[r=-0.19, prog=-0.20, pen= 0.01, r_old=-0.19], Reward=  472.25 /  472.25 /  287635.09, epsilon=  0.626, speed= -0.07, gear= 1, damage= 0.00
Ep:500 step:180(154753), a_t=[s=-0.04, t= 0.000000, b= 0.000000], r_t=[r= 0.05, prog= 0.06, pen=-0.01, r_old= 0.05], Reward=  475.95 /  475.95 /  287635.09, epsilon=  0.626, speed=  0.02, gear= 1, damage= 0.00
Ep:500 step:200(154773), a_t=[s=-0.13, t= 0.000000, b= 0.000000], r_t=[r= 0.14, prog= 0.16, pen=-0.02, r_old= 0.14], Reward=  475.14 /  475.14 /  287635.09, epsilon=  0.626, speed=  0.05, gear= 1, damage= 0.00
Ep:500 step:220(154793), a_t=[s=-0.29, t= 0.000000, b= 0.000000], r_t=[r=-0.43, prog=-0.47, pen= 0.04, r_old=-0.43], Reward=  471.48 /  471.48 /  287635.09, epsilon=  0.626, speed= -0.16, gear= 1, damage= 0.00
Ep:500 step:240(154813), a_t=[s=-0.41, t= 0.000000, b= 0.000000], r_t=[r=-0.48, prog=-0.54, pen= 0.05, r_old=-0.48], Reward=  466.29 /  466.29 /  287635.09, epsilon=  0.626, speed= -0.18, gear= 1, damage= 0.00
