=============================================================
 starting episode: 0/2000
Client connected on 3105..............
Ep:0 step:0(1), a_t=[s=-0.64, t= 0.650217, b= 0.000000], r_t=[r= 0.38, prog= 0.38, pen=-0.00, r_old= 0.38], Reward=  0.38 /  0.38 / -inf, epsilon=  1.000, speed=  0.13, gear= 0, damage= 0.00
Ep:0 step:20(21), a_t=[s= 0.08, t= 0.476508, b= 0.000000], r_t=[r= 61.66, prog= 90.61, pen=-28.95, r_old= 61.66], Reward=  838.91 /  838.91 / -inf, epsilon=  1.000, speed=  36.07, gear= 1, damage= 0.00
Ep:0 step:40(41), a_t=[s= 0.04, t= 0.524775, b= 0.000000], r_t=[r= 74.18, prog= 203.24, pen=-129.06, r_old= 74.18], Reward=  2013.66 /  1793.44 / -inf, epsilon=  1.000, speed=  67.97, gear= 1, damage= 33.00
Ep:0 step:60(61), a_t=[s= 0.78, t= 0.473170, b= 0.000000], r_t=[r= 132.83, prog= 224.16, pen=-91.33, r_old= 132.83], Reward=  3977.15 /  3675.90 / -inf, epsilon=  1.000, speed=  80.12, gear= 1, damage= 34.00
META = 1 ... Running backwards
=============================================================
 starting episode: 1/2000
Client connected on 3105..............
Ep:1 step:0(79), a_t=[s=-0.65, t= 0.537189, b= 0.000000], r_t=[r=-0.03, prog=-0.03, pen= 0.00, r_old=-0.03], Reward= -0.03 / -0.03 /  4887.92, epsilon=  1.000, speed= -0.01, gear= 1, damage= 0.00
Ep:1 step:20(99), a_t=[s=-0.62, t= 0.470590, b= 0.000000], r_t=[r= 67.58, prog= 94.30, pen=-26.72, r_old= 67.58], Reward=  825.64 /  825.64 /  4887.92, epsilon=  1.000, speed=  33.79, gear= 1, damage= 0.00
Ep:1 step:40(119), a_t=[s= 0.58, t= 0.608789, b= 0.000000], r_t=[r= 46.98, prog= 135.63, pen=-88.65, r_old= 46.98], Reward=  1152.82 /  1097.11 /  4887.92, epsilon=  1.000, speed=  45.23, gear= 1, damage= 234.00
Ep:1 step:60(139), a_t=[s=-0.62, t= 0.492592, b= 0.000000], r_t=[r= 115.62, prog= 239.19, pen=-123.57, r_old= 115.62], Reward=  2876.91 /  2821.21 /  4887.92, epsilon=  1.000, speed=  82.44, gear= 1, damage= 234.00
Ep:1 step:80(159), a_t=[s= 0.93, t= 0.414306, b= 0.000000], r_t=[r= 26.86, prog= 127.30, pen=-100.44, r_old= 26.86], Reward=  4500.29 /  4419.34 /  4887.92, epsilon=  0.999, speed=  49.19, gear= 1, damage= 456.00
Ep:1 step:100(179), a_t=[s=-0.10, t= 0.442003, b= 0.000000], r_t=[r=-0.00, prog=-0.01, pen= 0.01, r_old=-0.00], Reward=  4491.71 /  4410.75 /  4887.92, epsilon=  0.999, speed= -0.02, gear= 1, damage= 456.00
Ep:1 step:120(199), a_t=[s= 0.25, t= 0.450236, b= 0.019582], r_t=[r=-0.09, prog= 0.04, pen=-0.13, r_old=-0.09], Reward=  4488.75 /  4407.79 /  4887.92, epsilon=  0.999, speed=  0.05, gear= 1, damage= 456.00
Ep:1 step:140(219), a_t=[s= 0.61, t= 0.609944, b= 0.000000], r_t=[r=-0.00, prog= 0.00, pen=-0.00, r_old=-0.00], Reward=  4486.38 /  4405.42 /  4887.92, epsilon=  0.999, speed=  0.00, gear= 1, damage= 456.00
Ep:1 step:160(239), a_t=[s=-0.75, t= 0.610797, b= 0.000000], r_t=[r=-0.01, prog=-0.04, pen= 0.04, r_old=-0.01], Reward=  4484.08 /  4403.12 /  4887.92, epsilon=  0.999, speed= -0.07, gear= 1, damage= 456.00
Ep:1 step:180(259), a_t=[s=-0.34, t= 0.350570, b= 0.000000], r_t=[r=-0.09, prog= 0.03, pen=-0.11, r_old=-0.09], Reward=  4481.51 /  4400.56 /  4887.92, epsilon=  0.999, speed=  0.05, gear= 1, damage= 456.00
Ep:1 step:200(279), a_t=[s= 1.00, t= 0.425528, b= 0.000000], r_t=[r=-0.41, prog= 0.12, pen=-0.53, r_old=-0.41], Reward=  4478.93 /  4397.98 /  4887.92, epsilon=  0.999, speed=  0.22, gear= 1, damage= 456.00
Ep:1 step:220(299), a_t=[s= 0.67, t= 0.450527, b= 0.000000], r_t=[r=-0.25, prog= 0.07, pen=-0.33, r_old=-0.25], Reward=  4476.86 /  4395.91 /  4887.92, epsilon=  0.999, speed=  0.13, gear= 1, damage= 456.00
Ep:1 step:240(319), a_t=[s=-1.00, t= 0.426249, b= 0.000000], r_t=[r=-0.00, prog=-0.02, pen= 0.02, r_old=-0.00], Reward=  4475.09 /  4394.13 /  4887.92, epsilon=  0.999, speed= -0.03, gear= 1, damage= 456.00
Ep:1 step:260(339), a_t=[s= 1.00, t= 0.456022, b= 0.000000], r_t=[r=-0.01, prog=-0.04, pen= 0.02, r_old=-0.01], Reward=  4472.45 /  4391.49 /  4887.92, epsilon=  0.999, speed= -0.05, gear= 1, damage= 456.00
