=============================================================
 starting episode: 0/2000
Waiting for server on 3101............
Count Down : 5
Waiting for server on 3101............
Count Down : 4
Waiting for server on 3101............
Count Down : 3
Waiting for server on 3101............
Count Down : 2
Waiting for server on 3101............
Count Down : 1
Waiting for server on 3101............
Count Down : 0
Waiting for server on 3101............
Count Down : -1
Waiting for server on 3101............
Count Down : 4
Client connected on 3101..............
Ep:0 step:0(1), a_t=[s= 1.00, t= 0.479993, b= 0.000000], r_t=[r= 0.30, prog= 0.30, pen=-0.00, r_old= 0.30], Reward=  0.30 /  0.30 / -inf, epsilon=  1.000, speed=  0.10, gear= 0, damage= 0.00
Ep:0 step:20(21), a_t=[s= 0.30, t= 0.588433, b= 0.000000], r_t=[r=-0.72, prog=-0.72, pen=-0.01, r_old=-0.72], Reward= -4.37 / -4.37 / -inf, epsilon=  1.000, speed= -0.24, gear= 0, damage= 0.00
Ep:0 step:40(41), a_t=[s= 0.22, t= 0.480956, b= 0.000000], r_t=[r= 68.69, prog= 81.52, pen=-12.83, r_old= 68.69], Reward=  658.26 /  658.26 / -inf, epsilon=  1.000, speed=  28.11, gear= 1, damage= 0.00
Ep:0 step:60(61), a_t=[s=-1.00, t= 0.404698, b= 0.000000], r_t=[r=-0.08, prog= 0.17, pen=-0.25, r_old=-0.08], Reward=  847.72 /  865.74 / -inf, epsilon=  1.000, speed=  0.09, gear= 1, damage= 662.00
Ep:0 step:80(81), a_t=[s= 0.08, t= 0.553119, b= 0.000000], r_t=[r=-0.13, prog= 0.35, pen=-0.47, r_old=-0.13], Reward=  845.00 /  863.01 / -inf, epsilon=  1.000, speed=  0.18, gear= 1, damage= 662.00
Ep:0 step:100(101), a_t=[s=-0.40, t= 0.401088, b= 0.000000], r_t=[r=-0.25, prog= 0.91, pen=-1.15, r_old=-0.25], Reward=  842.19 /  860.20 / -inf, epsilon=  1.000, speed=  0.45, gear= 1, damage= 662.00
Ep:0 step:120(121), a_t=[s=-1.00, t= 0.695777, b= 0.000000], r_t=[r=-0.17, prog= 0.91, pen=-1.09, r_old=-0.17], Reward=  839.41 /  857.43 / -inf, epsilon=  1.000, speed=  0.43, gear= 1, damage= 662.00
Ep:0 step:140(141), a_t=[s=-0.45, t= 0.403408, b= 0.000000], r_t=[r=-0.11, prog= 0.80, pen=-0.91, r_old=-0.11], Reward=  837.44 /  855.46 / -inf, epsilon=  1.000, speed=  0.36, gear= 1, damage= 662.00
Ep:0 step:160(161), a_t=[s=-0.53, t= 0.454244, b= 0.000000], r_t=[r=-0.05, prog= 0.65, pen=-0.69, r_old=-0.05], Reward=  835.83 /  853.84 / -inf, epsilon=  0.999, speed=  0.28, gear= 1, damage= 662.00
Ep:0 step:180(181), a_t=[s= 0.44, t= 0.385627, b= 0.000000], r_t=[r=-0.03, prog= 0.98, pen=-1.01, r_old=-0.03], Reward=  834.92 /  852.93 / -inf, epsilon=  0.999, speed=  0.41, gear= 1, damage= 662.00
Ep:0 step:200(201), a_t=[s=-0.13, t= 0.530830, b= 0.000000], r_t=[r= 0.01, prog= 0.82, pen=-0.82, r_old= 0.01], Reward=  834.75 /  852.76 / -inf, epsilon=  0.999, speed=  0.33, gear= 1, damage= 662.00
Ep:0 step:220(221), a_t=[s=-0.49, t= 0.483720, b= 0.000000], r_t=[r= 0.03, prog= 0.57, pen=-0.54, r_old= 0.03], Reward=  835.49 /  853.50 / -inf, epsilon=  0.999, speed=  0.22, gear= 1, damage= 662.00
Ep:0 step:240(241), a_t=[s= 1.00, t= 0.563203, b= 0.025732], r_t=[r= 0.07, prog= 1.03, pen=-0.97, r_old= 0.07], Reward=  836.87 /  854.88 / -inf, epsilon=  0.999, speed=  0.40, gear= 1, damage= 662.00
Ep:0 step:260(261), a_t=[s= 0.50, t= 0.515106, b= 0.003996], r_t=[r= 0.13, prog= 1.45, pen=-1.32, r_old= 0.13], Reward=  838.65 /  856.67 / -inf, epsilon=  0.999, speed=  0.56, gear= 1, damage= 662.00
Ep:0 step:280(281), a_t=[s= 0.75, t= 0.395457, b= 0.000000], r_t=[r= 0.08, prog= 0.71, pen=-0.63, r_old= 0.08], Reward=  842.07 /  860.08 / -inf, epsilon=  0.999, speed=  0.27, gear= 1, damage= 662.00
Ep:0 step:300(301), a_t=[s=-1.00, t= 0.532733, b= 0.000000], r_t=[r= 0.20, prog= 1.52, pen=-1.31, r_old= 0.20], Reward=  846.84 /  864.85 / -inf, epsilon=  0.999, speed=  0.57, gear= 1, damage= 662.00
Ep:0 step:320(321), a_t=[s=-0.40, t= 0.415598, b= 0.000000], r_t=[r= 0.21, prog= 1.44, pen=-1.23, r_old= 0.21], Reward=  851.80 /  869.81 / -inf, epsilon=  0.999, speed=  0.53, gear= 1, damage= 662.00
Ep:0 step:340(341), a_t=[s=-1.00, t= 0.571660, b= 0.000000], r_t=[r= 0.49, prog= 2.84, pen=-2.36, r_old= 0.49], Reward=  859.58 /  877.59 / -inf, epsilon=  0.999, speed=  1.03, gear= 1, damage= 662.00
Ep:0 step:360(361), a_t=[s= 0.31, t= 0.420894, b= 0.000000], r_t=[r= 1.22, prog= 6.18, pen=-4.96, r_old= 1.22], Reward=  869.64 /  887.65 / -inf, epsilon=  0.999, speed=  2.21, gear= 1, damage= 662.00
Ep:0 step:380(381), a_t=[s=-0.28, t= 0.496361, b= 0.000000], r_t=[r= 1.48, prog= 7.12, pen=-5.64, r_old= 1.48], Reward=  879.94 /  897.95 / -inf, epsilon=  0.999, speed=  2.53, gear= 1, damage= 662.00
Ep:0 step:400(401), a_t=[s=-0.55, t= 0.369798, b= 0.000000], r_t=[r= 0.32, prog= 1.44, pen=-1.11, r_old= 0.32], Reward=  892.65 /  910.67 / -inf, epsilon=  0.999, speed=  0.51, gear= 1, damage= 662.00
Ep:0 step:420(421), a_t=[s=-0.01, t= 0.330485, b= 0.000000], r_t=[r= 0.70, prog= 2.98, pen=-2.28, r_old= 0.70], Reward=  905.75 /  923.76 / -inf, epsilon=  0.999, speed=  1.04, gear= 1, damage= 662.00
Ep:0 step:440(441), a_t=[s=-1.00, t= 0.541866, b= 0.000000], r_t=[r= 1.43, prog= 5.79, pen=-4.37, r_old= 1.43], Reward=  923.20 /  941.22 / -inf, epsilon=  0.999, speed=  2.02, gear= 1, damage= 662.00
Ep:0 step:460(461), a_t=[s= 0.11, t= 0.531136, b= 0.000000], r_t=[r= 1.26, prog= 5.05, pen=-3.79, r_old= 1.26], Reward=  940.61 /  958.62 / -inf, epsilon=  0.998, speed=  1.76, gear= 1, damage= 662.00
Ep:0 step:480(481), a_t=[s= 0.67, t= 0.533177, b= 0.000000], r_t=[r= 0.79, prog= 3.18, pen=-2.39, r_old= 0.79], Reward=  955.10 /  973.12 / -inf, epsilon=  0.998, speed=  1.11, gear= 1, damage= 662.00
Ep:0 step:500(501), a_t=[s=-0.32, t= 0.487442, b= 0.000000], r_t=[r= 1.79, prog= 6.55, pen=-4.77, r_old= 1.79], Reward=  982.60 /  1000.61 / -inf, epsilon=  0.998, speed=  2.26, gear= 1, damage= 662.00
Ep:0 step:520(521), a_t=[s=-0.85, t= 0.537281, b= 0.000000], r_t=[r= 1.98, prog= 6.80, pen=-4.82, r_old= 1.98], Reward=  1014.84 /  1032.85 / -inf, epsilon=  0.998, speed=  2.32, gear= 1, damage= 662.00
Ep:0 step:540(541), a_t=[s=-0.72, t= 0.413121, b= 0.000000], r_t=[r= 8.72, prog= 25.09, pen=-16.37, r_old= 8.72], Reward=  1095.07 /  1113.09 / -inf, epsilon=  0.998, speed=  8.40, gear= 1, damage= 662.00
Ep:0 step:560(561), a_t=[s= 0.55, t= 0.535503, b= 0.000000], r_t=[r= 0.79, prog= 2.40, pen=-1.62, r_old= 0.79], Reward=  1157.73 /  1175.74 / -inf, epsilon=  0.998, speed=  0.81, gear= 1, damage= 662.00
Ep:0 step:580(581), a_t=[s=-0.49, t= 0.456509, b= 0.000000], r_t=[r= 1.25, prog= 3.87, pen=-2.62, r_old= 1.25], Reward=  1191.64 /  1209.66 / -inf, epsilon=  0.998, speed=  1.31, gear= 1, damage= 662.00
Ep:0 step:600(601), a_t=[s=-0.41, t= 0.596657, b= 0.000000], r_t=[r= 1.94, prog= 5.83, pen=-3.89, r_old= 1.94], Reward=  1236.55 /  1254.56 / -inf, epsilon=  0.998, speed=  1.97, gear= 1, damage= 662.00
Ep:0 step:620(621), a_t=[s=-0.57, t= 0.585173, b= 0.000000], r_t=[r= 1.11, prog= 3.36, pen=-2.25, r_old= 1.11], Reward=  1273.54 /  1291.55 / -inf, epsilon=  0.998, speed=  1.14, gear= 1, damage= 662.00
Ep:0 step:640(641), a_t=[s=-0.49, t= 0.453877, b= 0.000000], r_t=[r= 2.28, prog= 6.63, pen=-4.36, r_old= 2.28], Reward=  1329.08 /  1347.09 / -inf, epsilon=  0.998, speed=  2.25, gear= 1, damage= 662.00
Ep:0 step:660(661), a_t=[s= 0.31, t= 0.496874, b= 0.000000], r_t=[r= 2.14, prog= 6.03, pen=-3.89, r_old= 2.14], Reward=  1390.14 /  1408.15 / -inf, epsilon=  0.998, speed=  2.04, gear= 1, damage= 662.00
Ep:0 step:680(681), a_t=[s= 0.21, t= 0.389911, b= 0.000000], r_t=[r= 4.10, prog= 11.34, pen=-7.23, r_old= 4.10], Reward=  1439.04 /  1457.05 / -inf, epsilon=  0.998, speed=  3.83, gear= 1, damage= 662.00
Ep:0 step:700(701), a_t=[s=-1.00, t= 0.568493, b= 0.000000], r_t=[r= 3.44, prog= 9.53, pen=-6.09, r_old= 3.44], Reward=  1486.79 /  1504.81 / -inf, epsilon=  0.998, speed=  3.22, gear= 1, damage= 662.00
Ep:0 step:720(721), a_t=[s= 1.00, t= 0.311140, b= 0.000000], r_t=[r= 11.05, prog= 28.21, pen=-17.16, r_old= 11.05], Reward=  1598.40 /  1616.42 / -inf, epsilon=  0.998, speed=  9.46, gear= 1, damage= 662.00
Ep:0 step:740(741), a_t=[s=-0.28, t= 0.488337, b= 0.000000], r_t=[r= 10.76, prog= 25.88, pen=-15.12, r_old= 10.76], Reward=  1706.71 /  1724.72 / -inf, epsilon=  0.998, speed=  8.65, gear= 1, damage= 662.00
META = 1 ... Running backwards
Ep:0 step:760(761), a_t=[s= 1.00, t= 0.372946, b= 0.000000], r_t=[r= 13.52, prog= 8.85, pen= 4.67, r_old= 13.52], Reward=  2078.61 /  2096.62 / -inf, epsilon=  0.997, speed= -8.84, gear= 1, damage= 662.00
=============================================================
 starting episode: 1/2000
Client connected on 3101..............
Ep:1 step:0(762), a_t=[s=-0.22, t= 0.358059, b= 0.000000], r_t=[r=-0.06, prog=-0.06, pen= 0.00, r_old=-0.06], Reward= -0.06 / -0.06 /  2078.61, epsilon=  0.997, speed= -0.02, gear= 1, damage= 0.00
Ep:1 step:20(782), a_t=[s=-0.10, t= 0.558586, b= 0.000000], r_t=[r=-14.05, prog= 50.80, pen=-64.85, r_old=-14.05], Reward=  606.84 /  606.84 /  2078.61, epsilon=  0.997, speed=  33.82, gear= 1, damage= 0.00
Ep:1 step:40(802), a_t=[s=-1.00, t= 0.478253, b= 0.000000], r_t=[r=-0.30, prog= 0.23, pen=-0.53, r_old=-0.30], Reward= -48.92 / -36.73 /  2078.61, epsilon=  0.997, speed=  0.18, gear= 1, damage= 544.00
Ep:1 step:60(822), a_t=[s= 0.93, t= 0.412662, b= 0.000000], r_t=[r=-0.04, prog= 0.04, pen=-0.08, r_old=-0.04], Reward= -51.62 / -39.43 /  2078.61, epsilon=  0.997, speed=  0.03, gear= 1, damage= 544.00
Ep:1 step:80(842), a_t=[s=-0.22, t= 0.500307, b= 0.000000], r_t=[r=-0.18, prog= 0.16, pen=-0.33, r_old=-0.18], Reward= -54.66 / -42.47 /  2078.61, epsilon=  0.997, speed=  0.12, gear= 1, damage= 544.00
Ep:1 step:100(862), a_t=[s=-0.53, t= 0.439794, b= 0.000000], r_t=[r=-0.24, prog= 0.24, pen=-0.48, r_old=-0.24], Reward= -58.49 / -46.30 /  2078.61, epsilon=  0.997, speed=  0.17, gear= 1, damage= 544.00
Ep:1 step:120(882), a_t=[s=-0.23, t= 0.587791, b= 0.000000], r_t=[r=-0.23, prog= 0.27, pen=-0.51, r_old=-0.23], Reward= -62.18 / -49.99 /  2078.61, epsilon=  0.997, speed=  0.18, gear= 1, damage= 544.00
Ep:1 step:140(902), a_t=[s=-0.03, t= 0.491633, b= 0.000000], r_t=[r=-0.04, prog=-0.12, pen= 0.08, r_old=-0.04], Reward= -65.98 / -53.79 /  2078.61, epsilon=  0.997, speed= -0.07, gear= 1, damage= 544.00
Ep:1 step:160(922), a_t=[s=-0.45, t= 0.535169, b= 0.000000], r_t=[r=-0.29, prog= 0.51, pen=-0.80, r_old=-0.29], Reward= -69.59 / -57.41 /  2078.61, epsilon=  0.997, speed=  0.29, gear= 1, damage= 544.00
Ep:1 step:180(942), a_t=[s=-0.53, t= 0.420194, b= 0.000000], r_t=[r=-0.36, prog= 0.79, pen=-1.15, r_old=-0.36], Reward= -73.61 / -61.42 /  2078.61, epsilon=  0.997, speed=  0.41, gear= 1, damage= 544.00
