=============================================================
 starting episode: 0/2000
Client connected on 3102..............
Ep:0 step:0(1), a_t=[s=-1.00, t= 0.427896, b= 0.000000], r_t=[r= 0.30, prog= 0.30, pen=-0.00, r_old= 0.30], Reward=  0.30 /  0.30 / -inf, epsilon=  1.000, speed=  0.10, gear= 0, damage= 0.00
Ep:0 step:20(21), a_t=[s= 0.31, t= 0.486134, b= 0.000000], r_t=[r= 33.11, prog= 33.98, pen=-0.87, r_old= 33.11], Reward=  124.87 /  124.87 / -inf, epsilon=  1.000, speed=  11.35, gear= 1, damage= 0.00
Ep:0 step:40(41), a_t=[s= 0.39, t= 0.396560, b= 0.000000], r_t=[r=-14.68, prog= 36.76, pen=-51.44, r_old=-14.68], Reward=  493.21 /  523.49 / -inf, epsilon=  1.000, speed=  18.93, gear= 1, damage= 168.00
Ep:0 step:60(61), a_t=[s=-0.86, t= 0.596448, b= 0.000000], r_t=[r= 0.29, prog= 2.66, pen=-2.37, r_old= 0.29], Reward=  489.57 /  519.85 / -inf, epsilon=  1.000, speed=  0.98, gear= 1, damage= 168.00
Ep:0 step:80(81), a_t=[s=-0.26, t= 0.390449, b= 0.000000], r_t=[r= 1.03, prog= 6.39, pen=-5.35, r_old= 1.03], Reward=  499.18 /  529.46 / -inf, epsilon=  1.000, speed=  2.27, gear= 1, damage= 168.00
Ep:0 step:100(101), a_t=[s=-0.25, t= 0.671296, b= 0.000000], r_t=[r= 4.66, prog= 17.86, pen=-13.20, r_old= 4.66], Reward=  555.03 /  585.32 / -inf, epsilon=  1.000, speed=  6.03, gear= 1, damage= 168.00
Ep:0 step:120(121), a_t=[s= 0.15, t= 0.433157, b= 0.000000], r_t=[r= 34.86, prog= 113.98, pen=-79.12, r_old= 34.86], Reward=  933.95 /  964.23 / -inf, epsilon=  1.000, speed=  38.44, gear= 1, damage= 168.00
Ep:0 step:140(141), a_t=[s=-0.81, t= 0.522584, b= 0.000000], r_t=[r= 109.92, prog= 226.78, pen=-116.86, r_old= 109.92], Reward=  2283.22 /  2313.50 / -inf, epsilon=  1.000, speed=  76.50, gear= 1, damage= 168.00
Ep:0 step:160(161), a_t=[s= 1.00, t= 0.448139, b= 0.000000], r_t=[r=-11.32, prog= 25.50, pen=-36.82, r_old=-11.32], Reward=  3498.41 /  3516.64 / -inf, epsilon=  0.999, speed=  15.87, gear= 2, damage= 317.00
Ep:0 step:180(181), a_t=[s=-1.00, t= 0.513599, b= 0.000000], r_t=[r= 0.07, prog= 0.58, pen=-0.50, r_old= 0.07], Reward=  3496.47 /  3514.69 / -inf, epsilon=  0.999, speed=  0.24, gear= 1, damage= 317.00
Ep:0 step:200(201), a_t=[s=-0.22, t= 0.441365, b= 0.000000], r_t=[r= 0.34, prog= 2.11, pen=-1.77, r_old= 0.34], Reward=  3499.74 /  3517.96 / -inf, epsilon=  0.999, speed=  0.85, gear= 1, damage= 317.00
Ep:0 step:220(221), a_t=[s=-0.07, t= 0.652281, b= 0.000000], r_t=[r= 0.21, prog= 1.10, pen=-0.89, r_old= 0.21], Reward=  3504.09 /  3522.32 / -inf, epsilon=  0.999, speed=  0.43, gear= 1, damage= 317.00
Ep:0 step:240(241), a_t=[s=-0.32, t= 0.703763, b= 0.000000], r_t=[r= 0.63, prog= 2.76, pen=-2.13, r_old= 0.63], Reward=  3511.48 /  3529.70 / -inf, epsilon=  0.999, speed=  1.05, gear= 1, damage= 317.00
Ep:0 step:260(261), a_t=[s= 0.60, t= 0.565089, b= 0.000000], r_t=[r= 1.29, prog= 4.71, pen=-3.43, r_old= 1.29], Reward=  3524.31 /  3542.54 / -inf, epsilon=  0.999, speed=  1.73, gear= 1, damage= 317.00
Ep:0 step:280(281), a_t=[s= 0.05, t= 0.537775, b= 0.000000], r_t=[r= 1.44, prog= 4.52, pen=-3.08, r_old= 1.44], Reward=  3547.17 /  3565.40 / -inf, epsilon=  0.999, speed=  1.60, gear= 1, damage= 317.00
Ep:0 step:300(301), a_t=[s=-0.73, t= 0.572523, b= 0.000000], r_t=[r= 2.76, prog= 7.86, pen=-5.10, r_old= 2.76], Reward=  3594.16 /  3612.38 / -inf, epsilon=  0.999, speed=  2.73, gear= 1, damage= 317.00
Ep:0 step:320(321), a_t=[s=-0.26, t= 0.474290, b= 0.000000], r_t=[r= 2.35, prog= 6.67, pen=-4.32, r_old= 2.35], Reward=  3637.81 /  3656.03 / -inf, epsilon=  0.999, speed=  2.31, gear= 1, damage= 317.00
Ep:0 step:340(341), a_t=[s=-0.49, t= 0.383084, b= 0.000000], r_t=[r= 1.81, prog= 5.16, pen=-3.35, r_old= 1.81], Reward=  3679.53 /  3697.76 / -inf, epsilon=  0.999, speed=  1.79, gear= 1, damage= 317.00
Ep:0 step:360(361), a_t=[s= 0.02, t= 0.363661, b= 0.000000], r_t=[r= 4.41, prog= 11.49, pen=-7.08, r_old= 4.41], Reward=  3744.80 /  3763.02 / -inf, epsilon=  0.999, speed=  3.91, gear= 1, damage= 317.00
Ep:0 step:380(381), a_t=[s= 0.44, t= 0.356514, b= 0.000000], r_t=[r= 2.58, prog= 6.80, pen=-4.22, r_old= 2.58], Reward=  3791.21 /  3809.44 / -inf, epsilon=  0.999, speed=  2.32, gear= 1, damage= 317.00
Ep:0 step:400(401), a_t=[s= 0.56, t= 0.440423, b= 0.000000], r_t=[r= 6.35, prog= 16.49, pen=-10.14, r_old= 6.35], Reward=  3846.59 /  3864.81 / -inf, epsilon=  0.999, speed=  5.60, gear= 1, damage= 317.00
Ep:0 step:420(421), a_t=[s= 0.37, t= 0.587038, b= 0.005489], r_t=[r= 1.69, prog= 4.79, pen=-3.11, r_old= 1.69], Reward=  3953.55 /  3964.82 / -inf, epsilon=  0.999, speed=  1.66, gear= 1, damage= 340.00
Ep:0 step:440(441), a_t=[s= 0.37, t= 0.494330, b= 0.001219], r_t=[r= 1.56, prog= 4.35, pen=-2.79, r_old= 1.56], Reward=  3991.45 /  4002.73 / -inf, epsilon=  0.999, speed=  1.50, gear= 1, damage= 340.00
Ep:0 step:460(461), a_t=[s= 1.00, t= 0.523023, b= 0.000000], r_t=[r= 4.29, prog= 11.42, pen=-7.13, r_old= 4.29], Reward=  4057.96 /  4063.21 / -inf, epsilon=  0.998, speed=  3.90, gear= 1, damage= 358.00
Ep:0 step:480(481), a_t=[s=-0.87, t= 0.370379, b= 0.000000], r_t=[r=-22.44, prog= 20.30, pen=-42.74, r_old=-28.00], Reward=  4204.74 /  4193.53 / -inf, epsilon=  0.998, speed=  7.46, gear= 1, damage= 392.00
Ep:0 step:500(501), a_t=[s=-0.42, t= 0.329357, b= 0.000000], r_t=[r= 1.17, prog= 3.88, pen=-2.71, r_old= 1.17], Reward=  4227.98 /  4216.77 / -inf, epsilon=  0.998, speed=  1.40, gear= 1, damage= 392.00
Ep:0 step:520(521), a_t=[s= 0.48, t= 0.557654, b= 0.000000], r_t=[r= 2.51, prog= 7.15, pen=-4.64, r_old= 2.51], Reward=  4264.28 /  4253.07 / -inf, epsilon=  0.998, speed=  2.48, gear= 1, damage= 392.00
Ep:0 step:540(541), a_t=[s=-1.00, t= 0.319052, b= 0.000000], r_t=[r= 2.15, prog= 5.97, pen=-3.82, r_old= 2.15], Reward=  4289.98 /  4276.23 / -inf, epsilon=  0.998, speed=  2.06, gear= 1, damage= 415.00
Ep:0 step:560(561), a_t=[s=-0.05, t= 0.628996, b= 0.000000], r_t=[r= 1.88, prog= 5.10, pen=-3.22, r_old= 1.88], Reward=  4327.17 /  4313.42 / -inf, epsilon=  0.998, speed=  1.75, gear= 1, damage= 415.00
Ep:0 step:580(581), a_t=[s= 0.90, t= 0.648067, b= 0.000000], r_t=[r= 5.81, prog= 15.03, pen=-9.23, r_old= 5.81], Reward=  4403.77 /  4390.02 / -inf, epsilon=  0.998, speed=  5.11, gear= 1, damage= 415.00
Ep:0 step:600(601), a_t=[s= 0.36, t= 0.376309, b= 0.000000], r_t=[r=-63.34, prog= 22.76, pen=-86.10, r_old=-69.00], Reward=  4510.63 /  4474.31 / -inf, epsilon=  0.998, speed=  8.53, gear= 1, damage= 503.00
Ep:0 step:620(621), a_t=[s= 0.49, t= 0.583401, b= 0.000000], r_t=[r=-0.04, prog= 0.44, pen=-0.48, r_old=-0.04], Reward=  4421.38 /  4384.59 / -inf, epsilon=  0.998, speed=  0.22, gear= 1, damage= 590.00
Ep:0 step:640(641), a_t=[s=-0.49, t= 0.450089, b= 0.000000], r_t=[r=-0.04, prog= 0.72, pen=-0.76, r_old=-0.04], Reward=  4420.58 /  4383.79 / -inf, epsilon=  0.998, speed=  0.34, gear= 1, damage= 590.00
Ep:0 step:660(661), a_t=[s= 1.00, t= 0.362359, b= 0.000000], r_t=[r=-0.00, prog= 0.71, pen=-0.71, r_old=-0.00], Reward=  4420.26 /  4383.47 / -inf, epsilon=  0.998, speed=  0.32, gear= 1, damage= 590.00
Ep:0 step:680(681), a_t=[s= 0.75, t= 0.565050, b= 0.000000], r_t=[r= 0.03, prog= 0.56, pen=-0.53, r_old= 0.03], Reward=  4420.71 /  4383.92 / -inf, epsilon=  0.998, speed=  0.25, gear= 1, damage= 590.00
Ep:0 step:700(701), a_t=[s= 0.83, t= 0.483220, b= 0.000000], r_t=[r= 0.13, prog= 1.47, pen=-1.34, r_old= 0.13], Reward=  4421.74 /  4384.95 / -inf, epsilon=  0.998, speed=  0.63, gear= 1, damage= 590.00
Ep:0 step:720(721), a_t=[s= 0.39, t= 0.403863, b= 0.000000], r_t=[r= 0.08, prog= 0.59, pen=-0.52, r_old= 0.08], Reward=  4423.95 /  4387.17 / -inf, epsilon=  0.998, speed=  0.24, gear= 1, damage= 590.00
Ep:0 step:740(741), a_t=[s= 0.22, t= 0.490592, b= 0.000000], r_t=[r= 0.17, prog= 0.98, pen=-0.80, r_old= 0.17], Reward=  4428.25 /  4391.47 / -inf, epsilon=  0.998, speed=  0.39, gear= 1, damage= 590.00
