=============================================================
 starting episode: 0/2000
Client connected on 3103..............
Ep:0 step:0(1), a_t=[s= 0.19, t= 0.362220, b= 0.000000], r_t=[r= 0.30, prog= 0.30, pen=-0.00, r_old= 0.30], Reward=  0.30 /  0.30 / -inf, epsilon=  1.000, speed=  0.10, gear= 0, damage= 0.00
Ep:0 step:20(21), a_t=[s=-0.78, t= 0.407178, b= 0.000000], r_t=[r= 24.47, prog= 24.80, pen=-0.33, r_old= 24.47], Reward=  89.32 /  89.32 / -inf, epsilon=  1.000, speed=  8.27, gear= 1, damage= 0.00
Ep:0 step:40(41), a_t=[s= 0.49, t= 0.527484, b= 0.000000], r_t=[r=-10.26, prog= 90.16, pen=-100.42, r_old=-10.26], Reward=  1131.69 /  1131.69 / -inf, epsilon=  1.000, speed=  48.48, gear= 1, damage= 0.00
Ep:0 step:60(61), a_t=[s=-0.53, t= 0.433598, b= 0.000000], r_t=[r= 38.85, prog= 112.51, pen=-73.66, r_old= 38.85], Reward=  1323.69 /  1315.26 / -inf, epsilon=  1.000, speed=  37.63, gear= 1, damage= 270.00
Ep:0 step:80(81), a_t=[s= 0.49, t= 0.289168, b= 0.000000], r_t=[r= 95.94, prog= 216.98, pen=-121.04, r_old= 95.94], Reward=  2634.28 /  2574.80 / -inf, epsilon=  1.000, speed=  72.35, gear= 1, damage= 296.00
Ep:0 step:100(101), a_t=[s=-0.36, t= 0.435248, b= 0.000000], r_t=[r=-16.26, prog= 84.09, pen=-100.35, r_old=-16.26], Reward=  4898.36 /  4838.47 / -inf, epsilon=  1.000, speed=  44.40, gear= 2, damage= 541.00
Ep:0 step:120(121), a_t=[s= 1.00, t= 0.619115, b= 0.000000], r_t=[r=-0.08, prog= 0.29, pen=-0.37, r_old=-0.08], Reward=  4779.29 /  4719.41 / -inf, epsilon=  1.000, speed=  0.16, gear= 2, damage= 541.00
Ep:0 step:140(141), a_t=[s= 1.00, t= 0.424886, b= 0.000000], r_t=[r=-0.07, prog= 0.32, pen=-0.40, r_old=-0.07], Reward=  4778.06 /  4718.17 / -inf, epsilon=  1.000, speed=  0.18, gear= 1, damage= 541.00
Ep:0 step:160(161), a_t=[s=-0.92, t= 0.330889, b= 0.000000], r_t=[r=-0.06, prog= 0.44, pen=-0.50, r_old=-0.06], Reward=  4776.76 /  4716.87 / -inf, epsilon=  0.999, speed=  0.22, gear= 1, damage= 541.00
Ep:0 step:180(181), a_t=[s=-1.00, t= 0.450792, b= 0.000000], r_t=[r=-0.04, prog= 0.61, pen=-0.65, r_old=-0.04], Reward=  4775.74 /  4715.86 / -inf, epsilon=  0.999, speed=  0.29, gear= 1, damage= 541.00
Ep:0 step:200(201), a_t=[s= 0.22, t= 0.471040, b= 0.000000], r_t=[r=-0.00, prog= 0.97, pen=-0.97, r_old=-0.00], Reward=  4775.32 /  4715.43 / -inf, epsilon=  0.999, speed=  0.44, gear= 1, damage= 541.00
