=============================================================
 starting episode: 400/2000
Waiting for server on 3103............
Count Down : 5
Waiting for server on 3103............
Count Down : 4
Waiting for server on 3103............
Count Down : 3
Waiting for server on 3103............
Count Down : 2
Waiting for server on 3103............
Count Down : 1
Waiting for server on 3103............
Count Down : 0
Waiting for server on 3103............
Count Down : -1
Waiting for server on 3103............
Count Down : 4
Client connected on 3103..............
Ep:400 step:0(118055), a_t=[s= 0.15, t= 0.002655, b= 0.000000], r_t=[r=-0.33, prog=-0.33, pen= 0.00, r_old=-0.33], Reward= -0.33 / -0.33 /  360728.74, epsilon=  0.620, speed= -0.11, gear= 1, damage= 0.00
Ep:400 step:20(118075), a_t=[s=-0.04, t= 0.006442, b= 0.000000], r_t=[r= 0.28, prog= 0.28, pen=-0.00, r_old= 0.28], Reward=  4.03 /  4.03 /  360728.74, epsilon=  0.620, speed=  0.09, gear= 1, damage= 0.00
Ep:400 step:40(118095), a_t=[s= 0.42, t= 0.001224, b= 0.000000], r_t=[r= 0.05, prog= 0.05, pen=-0.00, r_old= 0.05], Reward=  7.94 /  7.94 /  360728.74, epsilon=  0.620, speed=  0.02, gear= 1, damage= 0.00
Ep:400 step:60(118115), a_t=[s=-0.12, t= 0.014491, b= 0.000000], r_t=[r= 0.32, prog= 0.32, pen=-0.01, r_old= 0.32], Reward=  13.21 /  13.21 /  360728.74, epsilon=  0.620, speed=  0.11, gear= 1, damage= 0.00
Ep:400 step:80(118135), a_t=[s=-0.13, t= 0.016597, b= 0.000000], r_t=[r= 0.03, prog= 0.03, pen=-0.00, r_old= 0.03], Reward=  17.33 /  17.33 /  360728.74, epsilon=  0.620, speed=  0.01, gear= 1, damage= 0.00
Ep:400 step:100(118155), a_t=[s= 0.64, t= 0.000697, b= 0.000000], r_t=[r= 0.56, prog= 0.58, pen=-0.02, r_old= 0.56], Reward=  23.86 /  23.86 /  360728.74, epsilon=  0.620, speed=  0.19, gear= 1, damage= 0.00
Ep:400 step:120(118175), a_t=[s=-0.07, t= 0.024946, b= 0.000000], r_t=[r= 0.26, prog= 0.27, pen=-0.01, r_old= 0.26], Reward=  29.24 /  29.24 /  360728.74, epsilon=  0.620, speed=  0.09, gear= 1, damage= 0.00
Ep:400 step:140(118195), a_t=[s= 0.33, t= 0.002737, b= 0.000000], r_t=[r= 0.55, prog= 0.58, pen=-0.03, r_old= 0.55], Reward=  36.43 /  36.43 /  360728.74, epsilon=  0.620, speed=  0.19, gear= 1, damage= 0.00
Ep:400 step:160(118215), a_t=[s= 0.15, t= 0.009977, b= 0.000000], r_t=[r= 1.05, prog= 1.11, pen=-0.06, r_old= 1.05], Reward=  53.56 /  53.56 /  360728.74, epsilon=  0.620, speed=  0.37, gear= 1, damage= 0.00
Ep:400 step:180(118235), a_t=[s= 0.55, t= 0.001563, b= 0.000000], r_t=[r= 2.64, prog= 2.81, pen=-0.17, r_old= 2.64], Reward=  84.93 /  84.93 /  360728.74, epsilon=  0.620, speed=  0.94, gear= 1, damage= 0.00
Ep:400 step:200(118255), a_t=[s=-0.03, t= 0.017498, b= 0.000000], r_t=[r= 3.26, prog= 3.46, pen=-0.20, r_old= 3.26], Reward=  146.39 /  146.39 /  360728.74, epsilon=  0.620, speed=  1.15, gear= 1, damage= 0.00
Ep:400 step:220(118275), a_t=[s= 0.20, t= 0.006202, b= 0.000000], r_t=[r= 1.97, prog= 2.10, pen=-0.13, r_old= 1.97], Reward=  199.13 /  199.13 /  360728.74, epsilon=  0.620, speed=  0.70, gear= 1, damage= 0.00
Ep:400 step:240(118295), a_t=[s= 0.52, t= 0.001743, b= 0.000000], r_t=[r= 1.68, prog= 1.80, pen=-0.12, r_old= 1.68], Reward=  226.61 /  226.61 /  360728.74, epsilon=  0.620, speed=  0.60, gear= 1, damage= 0.00
Ep:400 step:260(118315), a_t=[s= 0.28, t= 0.010693, b= 0.000000], r_t=[r= 1.36, prog= 1.47, pen=-0.11, r_old= 1.36], Reward=  256.97 /  256.97 /  360728.74, epsilon=  0.620, speed=  0.49, gear= 1, damage= 0.00
Ep:400 step:280(118335), a_t=[s= 0.02, t= 0.033122, b= 0.000000], r_t=[r= 1.63, prog= 1.77, pen=-0.14, r_old= 1.63], Reward=  288.08 /  288.08 /  360728.74, epsilon=  0.620, speed=  0.59, gear= 1, damage= 0.00
