=============================================================
 starting episode: 500/2000
Waiting for server on 3104............
Count Down : 5
Waiting for server on 3104............
Count Down : 4
Waiting for server on 3104............
Count Down : 3
Waiting for server on 3104............
Count Down : 2
Waiting for server on 3104............
Count Down : 1
Waiting for server on 3104............
Count Down : 0
Waiting for server on 3104............
Count Down : -1
Waiting for server on 3104............
Count Down : 4
Client connected on 3104..............
Ep:500 step:0(114941), a_t=[s= 0.93, t= 0.920443, b= 0.000000], r_t=[r= 0.51, prog= 0.51, pen=-0.00, r_old= 0.51], Reward=  0.51 /  0.51 /  291461.42, epsilon=  0.631, speed=  0.17, gear= 1, damage= 0.00
Ep:500 step:20(114961), a_t=[s=-0.12, t= 0.057827, b= 0.000000], r_t=[r= 54.79, prog= 57.92, pen=-3.14, r_old= 54.79], Reward=  931.37 /  931.37 /  291461.42, epsilon=  0.631, speed=  19.31, gear= 1, damage= 0.00
Ep:500 step:40(114981), a_t=[s= 0.15, t= 0.048477, b= 0.000000], r_t=[r= 52.05, prog= 56.15, pen=-4.10, r_old= 52.05], Reward=  1962.33 /  1962.33 /  291461.42, epsilon=  0.631, speed=  18.72, gear= 1, damage= 0.00
Ep:500 step:60(115001), a_t=[s= 0.36, t= 0.018546, b= 0.000000], r_t=[r= 47.26, prog= 51.72, pen=-4.47, r_old= 47.26], Reward=  2964.14 /  2964.14 /  291461.42, epsilon=  0.631, speed=  17.26, gear= 1, damage= 0.00
Ep:500 step:80(115021), a_t=[s= 0.24, t= 0.014365, b= 0.000000], r_t=[r= 41.60, prog= 44.55, pen=-2.94, r_old= 41.60], Reward=  3852.53 /  3852.53 /  291461.42, epsilon=  0.631, speed=  14.87, gear= 1, damage= 0.00
Ep:500 step:100(115041), a_t=[s=-0.63, t= 0.992219, b= 0.000000], r_t=[r= 153.51, prog= 160.63, pen=-7.12, r_old= 153.51], Reward=  5546.04 /  5546.04 /  291461.42, epsilon=  0.631, speed=  53.65, gear= 1, damage= 0.00
Ep:500 step:120(115061), a_t=[s=-0.15, t= 0.722172, b= 0.000000], r_t=[r= 124.76, prog= 175.77, pen=-51.01, r_old= 124.76], Reward=  8599.86 /  8599.86 /  291461.42, epsilon=  0.631, speed=  59.20, gear= 2, damage= 0.00
Ep:500 step:140(115081), a_t=[s= 0.07, t= 0.420081, b= 0.000000], r_t=[r= 201.64, prog= 237.27, pen=-35.63, r_old= 201.64], Reward=  12048.47 /  12048.47 /  291461.42, epsilon=  0.631, speed=  79.10, gear= 2, damage= 0.00
Ep:500 step:160(115101), a_t=[s= 0.02, t= 0.082895, b= 0.000000], r_t=[r= 210.37, prog= 243.90, pen=-33.53, r_old= 210.37], Reward=  16365.64 /  16365.64 /  291461.42, epsilon=  0.631, speed=  81.30, gear= 3, damage= 0.00
Ep:500 step:180(115121), a_t=[s=-0.09, t= 0.001215, b= 0.000000], r_t=[r= 144.46, prog= 186.09, pen=-41.63, r_old= 144.46], Reward=  19868.86 /  19868.86 /  291461.42, epsilon=  0.631, speed=  62.19, gear= 2, damage= 0.00
Ep:500 step:200(115141), a_t=[s= 0.37, t= 0.000028, b= 0.000000], r_t=[r= 109.95, prog= 115.65, pen=-5.69, r_old= 109.95], Reward=  22554.47 /  22554.47 /  291461.42, epsilon=  0.631, speed=  38.58, gear= 1, damage= 0.00
Ep:500 step:220(115161), a_t=[s= 0.02, t= 0.029322, b= 0.000000], r_t=[r= 85.90, prog= 114.16, pen=-28.25, r_old= 85.90], Reward=  24436.61 /  24436.61 /  291461.42, epsilon=  0.631, speed=  38.16, gear= 1, damage= 0.00
Ep:500 step:240(115181), a_t=[s= 0.41, t= 0.011433, b= 0.000000], r_t=[r= 64.33, prog= 66.95, pen=-2.62, r_old= 64.33], Reward=  25830.55 /  25830.55 /  291461.42, epsilon=  0.631, speed=  22.32, gear= 1, damage= 0.00
Ep:500 step:260(115201), a_t=[s= 0.21, t= 0.045532, b= 0.000000], r_t=[r= 60.52, prog= 62.66, pen=-2.15, r_old= 60.52], Reward=  27013.83 /  27013.83 /  291461.42, epsilon=  0.631, speed=  20.89, gear= 1, damage= 0.00
Ep:500 step:280(115221), a_t=[s=-0.20, t= 0.171278, b= 0.000000], r_t=[r= 60.58, prog= 62.94, pen=-2.36, r_old= 60.58], Reward=  28200.26 /  28200.26 /  291461.42, epsilon=  0.631, speed=  20.98, gear= 1, damage= 0.00
Ep:500 step:300(115241), a_t=[s= 0.54, t= 0.016505, b= 0.000000], r_t=[r= 54.88, prog= 56.50, pen=-1.62, r_old= 54.88], Reward=  29362.61 /  29362.61 /  291461.42, epsilon=  0.631, speed=  18.84, gear= 1, damage= 0.00
Ep:500 step:320(115261), a_t=[s=-0.76, t= 0.998691, b= 0.000000], r_t=[r= 79.47, prog= 85.21, pen=-5.75, r_old= 79.47], Reward=  30435.76 /  30435.76 /  291461.42, epsilon=  0.631, speed=  28.56, gear= 1, damage= 0.00
Ep:500 step:340(115281), a_t=[s= 0.30, t= 0.009614, b= 0.000000], r_t=[r= 85.27, prog= 110.68, pen=-25.40, r_old= 85.27], Reward=  32695.28 /  32695.28 /  291461.42, epsilon=  0.631, speed=  37.04, gear= 1, damage= 0.00
Ep:500 step:360(115301), a_t=[s=-0.57, t= 0.026502, b= 0.000000], r_t=[r= 67.40, prog= 85.27, pen=-17.87, r_old= 67.40], Reward=  34131.22 /  34131.22 /  291461.42, epsilon=  0.631, speed=  28.42, gear= 1, damage= 0.00
Ep:500 step:380(115321), a_t=[s= 0.07, t= 0.137873, b= 0.000000], r_t=[r= 69.29, prog= 87.50, pen=-18.21, r_old= 69.29], Reward=  35435.17 /  35435.17 /  291461.42, epsilon=  0.631, speed=  29.17, gear= 1, damage= 0.00
Ep:500 step:400(115341), a_t=[s= 0.25, t= 0.204484, b= 0.000000], r_t=[r= 66.13, prog= 84.32, pen=-18.19, r_old= 66.13], Reward=  36791.66 /  36791.66 /  291461.42, epsilon=  0.631, speed=  28.11, gear= 1, damage= 0.00
Ep:500 step:420(115361), a_t=[s= 0.40, t= 0.221585, b= 0.000000], r_t=[r= 67.58, prog= 87.04, pen=-19.46, r_old= 67.58], Reward=  38109.34 /  38109.34 /  291461.42, epsilon=  0.631, speed=  29.03, gear= 1, damage= 0.00
Ep:500 step:440(115381), a_t=[s=-0.24, t= 0.023353, b= 0.000000], r_t=[r= 61.48, prog= 80.68, pen=-19.20, r_old= 61.48], Reward=  39403.29 /  39403.29 /  291461.42, epsilon=  0.631, speed=  26.91, gear= 1, damage= 0.00
Ep:500 step:460(115401), a_t=[s=-0.08, t= 0.102264, b= 0.000000], r_t=[r= 62.57, prog= 80.36, pen=-17.79, r_old= 62.57], Reward=  40654.95 /  40654.95 /  291461.42, epsilon=  0.631, speed=  26.79, gear= 1, damage= 0.00
Ep:500 step:480(115421), a_t=[s= 0.12, t= 0.132767, b= 0.000000], r_t=[r= 66.80, prog= 85.29, pen=-18.49, r_old= 66.80], Reward=  41937.22 /  41937.22 /  291461.42, epsilon=  0.631, speed=  28.43, gear= 1, damage= 0.00
Ep:500 step:500(115441), a_t=[s= 0.43, t= 0.291821, b= 0.000000], r_t=[r= 75.69, prog= 96.39, pen=-20.69, r_old= 75.69], Reward=  43308.73 /  43308.73 /  291461.42, epsilon=  0.631, speed=  32.14, gear= 1, damage= 0.00
Ep:500 step:520(115461), a_t=[s=-0.05, t= 0.043290, b= 0.000000], r_t=[r= 58.55, prog= 76.26, pen=-17.71, r_old= 58.55], Reward=  44634.68 /  44634.68 /  291461.42, epsilon=  0.631, speed=  25.43, gear= 1, damage= 0.00
Ep:500 step:540(115481), a_t=[s= 0.21, t= 0.051626, b= 0.000000], r_t=[r= 75.39, prog= 97.39, pen=-22.00, r_old= 75.39], Reward=  46059.95 /  46059.95 /  291461.42, epsilon=  0.631, speed=  32.46, gear= 1, damage= 0.00
Ep:500 step:560(115501), a_t=[s= 0.18, t= 0.000373, b= 0.000000], r_t=[r= 52.33, prog= 64.87, pen=-12.54, r_old= 52.33], Reward=  47309.31 /  47309.31 /  291461.42, epsilon=  0.631, speed=  22.20, gear= 1, damage= 0.00
Ep:500 step:580(115521), a_t=[s=-0.10, t= 0.069695, b= 0.000000], r_t=[r= 46.70, prog= 48.93, pen=-2.24, r_old= 46.70], Reward=  48311.30 /  48311.30 /  291461.42, epsilon=  0.631, speed=  16.31, gear= 1, damage= 0.00
Ep:500 step:600(115541), a_t=[s= 0.18, t= 0.075611, b= 0.000000], r_t=[r= 44.99, prog= 48.84, pen=-3.86, r_old= 44.99], Reward=  49217.36 /  49217.36 /  291461.42, epsilon=  0.631, speed=  16.28, gear= 1, damage= 0.00
Ep:500 step:620(115561), a_t=[s= 0.38, t= 0.033037, b= 0.000000], r_t=[r= 41.76, prog= 46.24, pen=-4.48, r_old= 41.76], Reward=  50093.67 /  50093.67 /  291461.42, epsilon=  0.631, speed=  15.43, gear= 1, damage= 0.00
Ep:500 step:640(115581), a_t=[s= 0.27, t= 0.353479, b= 0.000000], r_t=[r= 76.94, prog= 82.72, pen=-5.77, r_old= 76.94], Reward=  51077.83 /  51077.83 /  291461.42, epsilon=  0.631, speed=  27.59, gear= 1, damage= 0.00
Ep:500 step:660(115601), a_t=[s=-0.16, t= 0.083830, b= 0.000000], r_t=[r= 70.73, prog= 89.94, pen=-19.21, r_old= 70.73], Reward=  52705.13 /  52705.13 /  291461.42, epsilon=  0.631, speed=  29.98, gear= 1, damage= 0.00
Ep:500 step:680(115621), a_t=[s= 0.36, t= 0.000425, b= 0.000000], r_t=[r= 50.11, prog= 60.23, pen=-10.12, r_old= 50.11], Reward=  53866.95 /  53866.95 /  291461.42, epsilon=  0.631, speed=  20.50, gear= 1, damage= 0.00
Ep:500 step:700(115641), a_t=[s= 0.11, t= 0.090692, b= 0.000000], r_t=[r= 45.38, prog= 48.14, pen=-2.76, r_old= 45.38], Reward=  54815.75 /  54815.75 /  291461.42, epsilon=  0.631, speed=  16.06, gear= 1, damage= 0.00
Ep:500 step:720(115661), a_t=[s= 0.13, t= 0.044484, b= 0.000000], r_t=[r= 44.95, prog= 48.76, pen=-3.80, r_old= 44.95], Reward=  55749.92 /  55749.92 /  291461.42, epsilon=  0.631, speed=  16.25, gear= 1, damage= 0.00
Ep:500 step:740(115681), a_t=[s= 0.34, t= 0.050581, b= 0.000000], r_t=[r= 42.03, prog= 46.20, pen=-4.17, r_old= 42.03], Reward=  56626.89 /  56626.89 /  291461.42, epsilon=  0.631, speed=  15.40, gear= 1, damage= 0.00
Ep:500 step:760(115701), a_t=[s=-0.07, t= 0.072254, b= 0.000000], r_t=[r= 42.80, prog= 47.87, pen=-5.07, r_old= 42.80], Reward=  57464.00 /  57464.00 /  291461.42, epsilon=  0.631, speed=  15.96, gear= 1, damage= 0.00
Ep:500 step:780(115721), a_t=[s= 0.32, t= 0.051905, b= 0.000000], r_t=[r= 40.23, prog= 44.77, pen=-4.54, r_old= 40.23], Reward=  58283.65 /  58283.65 /  291461.42, epsilon=  0.631, speed=  14.93, gear= 1, damage= 0.00
Ep:500 step:800(115741), a_t=[s= 0.05, t= 0.036565, b= 0.000000], r_t=[r= 36.80, prog= 40.93, pen=-4.13, r_old= 36.80], Reward=  59070.15 /  59070.15 /  291461.42, epsilon=  0.631, speed=  13.67, gear= 1, damage= 0.00
Ep:500 step:820(115761), a_t=[s= 0.26, t= 0.313511, b= 0.000000], r_t=[r= 111.55, prog= 121.97, pen=-10.42, r_old= 111.55], Reward=  60219.57 /  60219.57 /  291461.42, epsilon=  0.631, speed=  40.67, gear= 1, damage= 0.00
Ep:500 step:840(115781), a_t=[s= 0.12, t= 0.018675, b= 0.000000], r_t=[r= 65.49, prog= 84.04, pen=-18.55, r_old= 65.49], Reward=  61916.38 /  61916.38 /  291461.42, epsilon=  0.631, speed=  28.04, gear= 1, damage= 0.00
Ep:500 step:860(115801), a_t=[s= 0.07, t= 0.034436, b= 0.000000], r_t=[r= 48.75, prog= 59.39, pen=-10.64, r_old= 48.75], Reward=  63026.49 /  63026.49 /  291461.42, epsilon=  0.631, speed=  19.80, gear= 1, damage= 0.00
Ep:500 step:880(115821), a_t=[s=-0.39, t= 0.059449, b= 0.000000], r_t=[r= 50.72, prog= 62.49, pen=-11.77, r_old= 50.72], Reward=  64002.84 /  64002.84 /  291461.42, epsilon=  0.631, speed=  20.84, gear= 1, damage= 0.00
