=============================================================
 starting episode: 1900/2000
Client connected on 3105..............
Ep:1900 step:0(1261826), a_t=[s= 1.00, t= 1.000000, b= 0.000000], r_t=[r= 0.59, prog= 0.59, pen=-0.00, r_old= 0.59], Reward=  0.59 /  0.59 /  834958.44, epsilon=  0.100, speed=  0.20, gear= 1, damage= 0.00
Ep:1900 step:20(1261846), a_t=[s= 0.02, t= 1.000000, b= 0.000000], r_t=[r= 224.20, prog= 272.26, pen=-48.06, r_old= 224.20], Reward=  2410.63 /  2410.63 /  834958.44, epsilon=  0.100, speed=  91.99, gear= 3, damage= 0.00
Ep:1900 step:40(1261866), a_t=[s= 0.04, t= 1.000000, b= 0.000000], r_t=[r= 317.83, prog= 360.84, pen=-43.01, r_old= 317.83], Reward=  8555.38 /  8555.38 /  834958.44, epsilon=  0.100, speed=  120.85, gear= 4, damage= 0.00
Ep:1900 step:60(1261886), a_t=[s= 0.26, t= 1.000000, b= 0.000000], r_t=[r= 335.35, prog= 407.66, pen=-72.31, r_old= 335.35], Reward=  15296.85 /  15296.85 /  834958.44, epsilon=  0.100, speed=  136.53, gear= 4, damage= 0.00
Ep:1900 step:80(1261906), a_t=[s= 0.13, t= 0.999992, b= 0.000000], r_t=[r= 447.90, prog= 473.39, pen=-25.50, r_old= 447.90], Reward=  23146.70 /  23146.70 /  834958.44, epsilon=  0.100, speed=  157.82, gear= 5, damage= 0.00
Ep:1900 step:100(1261926), a_t=[s= 0.15, t= 0.999999, b= 0.000000], r_t=[r= 504.34, prog= 508.86, pen=-4.52, r_old= 504.34], Reward=  32531.81 /  32531.81 /  834958.44, epsilon=  0.100, speed=  169.67, gear= 5, damage= 0.00
Ep:1900 step:120(1261946), a_t=[s=-0.35, t= 0.999973, b= 0.000000], r_t=[r= 496.37, prog= 536.89, pen=-40.52, r_old= 496.37], Reward=  42306.55 /  42306.55 /  834958.44, epsilon=  0.100, speed=  179.32, gear= 6, damage= 0.00
Ep:1900 step:140(1261966), a_t=[s= 0.74, t= 0.000000, b= 0.000000], r_t=[r= 429.08, prog= 467.00, pen=-37.92, r_old= 429.08], Reward=  52065.67 /  52065.67 /  834958.44, epsilon=  0.100, speed=  156.32, gear= 5, damage= 0.00
Ep:1900 step:160(1261986), a_t=[s= 0.24, t= 0.268473, b= 0.000000], r_t=[r= 366.24, prog= 385.56, pen=-19.32, r_old= 366.24], Reward=  58609.63 /  58609.63 /  834958.44, epsilon=  0.100, speed=  128.80, gear= 4, damage= 0.00
Ep:1900 step:180(1262006), a_t=[s= 0.18, t= 0.999963, b= 0.000000], r_t=[r= 361.48, prog= 412.84, pen=-51.36, r_old= 361.48], Reward=  65335.23 /  65335.23 /  834958.44, epsilon=  0.100, speed=  138.28, gear= 4, damage= 0.00
Ep:1900 step:200(1262026), a_t=[s= 0.87, t= 1.000000, b= 0.000000], r_t=[r= 370.47, prog= 415.87, pen=-45.40, r_old= 370.47], Reward=  72957.44 /  72957.44 /  834958.44, epsilon=  0.100, speed=  139.87, gear= 4, damage= 0.00
Ep:1900 step:220(1262046), a_t=[s= 0.28, t= 1.000000, b= 0.000000], r_t=[r= 390.27, prog= 417.37, pen=-27.09, r_old= 390.27], Reward=  79849.14 /  79849.14 /  834958.44, epsilon=  0.100, speed=  139.32, gear= 4, damage= 0.00
Ep:1900 step:240(1262066), a_t=[s=-0.27, t= 1.000000, b= 0.000000], r_t=[r= 462.64, prog= 466.72, pen=-4.07, r_old= 462.64], Reward=  87944.10 /  87944.10 /  834958.44, epsilon=  0.100, speed=  155.57, gear= 5, damage= 0.00
Ep:1900 step:260(1262086), a_t=[s= 0.13, t= 0.179003, b= 0.000000], r_t=[r= 420.53, prog= 476.42, pen=-55.90, r_old= 420.53], Reward=  97397.28 /  97397.28 /  834958.44, epsilon=  0.100, speed=  160.21, gear= 5, damage= 0.00
Ep:1900 step:280(1262106), a_t=[s= 0.19, t= 1.000000, b= 0.000000], r_t=[r= 369.08, prog= 425.54, pen=-56.46, r_old= 369.08], Reward=  105539.43 /  105539.43 /  834958.44, epsilon=  0.100, speed=  144.13, gear= 5, damage= 0.00
Ep:1900 step:300(1262126), a_t=[s= 0.22, t= 1.000000, b= 0.000000], r_t=[r= 342.17, prog= 458.96, pen=-116.79, r_old= 342.17], Reward=  113526.42 /  113526.42 /  834958.44, epsilon=  0.100, speed=  155.09, gear= 5, damage= 0.00
