=============================================================
 starting episode: 200/2000
Client connected on 3105..............
Ep:200 step:0(98817), a_t=[s=-0.93, t= 0.968290, b= 0.000000], r_t=[r= 0.06, prog= 0.06, pen=-0.00, r_old= 0.06], Reward=  0.06 /  0.06 /  294266.38, epsilon=  0.692, speed=  0.02, gear= 1, damage= 0.00
Ep:200 step:20(98837), a_t=[s= 0.54, t= 0.002335, b= 0.000000], r_t=[r= 1.15, prog= 1.22, pen=-0.07, r_old= 1.15], Reward=  97.16 /  97.16 /  294266.38, epsilon=  0.692, speed=  0.41, gear= 1, damage= 0.00
Ep:200 step:40(98857), a_t=[s= 0.18, t= 0.005003, b= 0.000000], r_t=[r=-0.31, prog=-0.30, pen=-0.01, r_old=-0.31], Reward=  91.64 /  91.64 /  294266.38, epsilon=  0.692, speed= -0.10, gear= 1, damage= 0.00
Ep:200 step:60(98877), a_t=[s= 0.54, t= 0.000040, b= 0.000000], r_t=[r=-0.54, prog=-0.51, pen=-0.02, r_old=-0.54], Reward=  80.54 /  80.54 /  294266.38, epsilon=  0.692, speed= -0.17, gear= 1, damage= 0.00
Ep:200 step:80(98897), a_t=[s= 0.08, t= 0.000056, b= 0.000000], r_t=[r= 0.99, prog= 1.05, pen=-0.06, r_old= 0.99], Reward=  132.76 /  132.76 /  294266.38, epsilon=  0.692, speed=  0.35, gear= 1, damage= 0.00
Ep:200 step:100(98917), a_t=[s= 0.19, t= 0.005279, b= 0.000000], r_t=[r= 2.73, prog= 2.89, pen=-0.17, r_old= 2.73], Reward=  158.53 /  158.53 /  294266.38, epsilon=  0.692, speed=  0.98, gear= 1, damage= 0.00
Ep:200 step:120(98937), a_t=[s= 0.46, t= 0.091770, b= 0.000000], r_t=[r= 1.23, prog= 1.30, pen=-0.07, r_old= 1.23], Reward=  173.99 /  173.99 /  294266.38, epsilon=  0.692, speed=  0.44, gear= 1, damage= 0.00
Ep:200 step:140(98957), a_t=[s=-0.41, t= 0.003662, b= 0.000000], r_t=[r=-0.37, prog=-0.35, pen=-0.02, r_old=-0.37], Reward=  181.12 /  181.12 /  294266.38, epsilon=  0.692, speed= -0.12, gear= 1, damage= 0.00
Ep:200 step:160(98977), a_t=[s=-0.02, t= 0.005588, b= 0.000000], r_t=[r=-0.10, prog=-0.09, pen=-0.00, r_old=-0.10], Reward=  205.04 /  205.04 /  294266.38, epsilon=  0.692, speed= -0.03, gear= 1, damage= 0.00
Ep:200 step:180(98997), a_t=[s= 0.31, t= 0.000260, b= 0.000000], r_t=[r= 0.64, prog= 0.68, pen=-0.03, r_old= 0.64], Reward=  208.31 /  208.31 /  294266.38, epsilon=  0.692, speed=  0.23, gear= 1, damage= 0.00
Ep:200 step:200(99017), a_t=[s= 0.33, t= 0.076431, b= 0.000000], r_t=[r= 0.32, prog= 0.34, pen=-0.02, r_old= 0.32], Reward=  213.86 /  213.86 /  294266.38, epsilon=  0.692, speed=  0.11, gear= 1, damage= 0.00
Ep:200 step:220(99037), a_t=[s= 0.51, t= 0.002039, b= 0.000000], r_t=[r= 0.09, prog= 0.09, pen=-0.01, r_old= 0.09], Reward=  223.10 /  223.10 /  294266.38, epsilon=  0.692, speed=  0.03, gear= 1, damage= 0.00
Ep:200 step:240(99057), a_t=[s=-0.66, t= 0.022653, b= 0.000000], r_t=[r= 1.54, prog= 1.64, pen=-0.10, r_old= 1.54], Reward=  284.25 /  284.25 /  294266.38, epsilon=  0.692, speed=  0.55, gear= 1, damage= 0.00
Ep:200 step:260(99077), a_t=[s= 0.27, t= 0.000109, b= 0.000000], r_t=[r=-0.42, prog=-0.40, pen=-0.02, r_old=-0.42], Reward=  284.15 /  284.15 /  294266.38, epsilon=  0.692, speed= -0.14, gear= 1, damage= 0.00
Ep:200 step:280(99097), a_t=[s= 0.78, t= 0.001565, b= 0.000000], r_t=[r=-0.51, prog=-0.49, pen=-0.02, r_old=-0.51], Reward=  273.72 /  273.72 /  294266.38, epsilon=  0.692, speed= -0.17, gear= 1, damage= 0.00
Ep:200 step:300(99117), a_t=[s=-0.20, t= 0.001144, b= 0.000000], r_t=[r= 0.25, prog= 0.26, pen=-0.02, r_old= 0.25], Reward=  266.51 /  266.51 /  294266.38, epsilon=  0.692, speed=  0.09, gear= 1, damage= 0.00
Ep:200 step:320(99137), a_t=[s= 0.01, t= 0.000830, b= 0.000000], r_t=[r=-0.32, prog=-0.31, pen=-0.01, r_old=-0.32], Reward=  268.99 /  268.99 /  294266.38, epsilon=  0.692, speed= -0.10, gear= 1, damage= 0.00
Ep:200 step:340(99157), a_t=[s=-0.26, t= 0.216760, b= 0.000000], r_t=[r= 2.01, prog= 2.18, pen=-0.17, r_old= 2.01], Reward=  273.02 /  273.02 /  294266.38, epsilon=  0.692, speed=  0.74, gear= 1, damage= 0.00
Ep:200 step:360(99177), a_t=[s=-0.50, t= 0.021433, b= 0.000000], r_t=[r= 2.01, prog= 2.18, pen=-0.17, r_old= 2.01], Reward=  330.29 /  330.29 /  294266.38, epsilon=  0.692, speed=  0.74, gear= 1, damage= 0.00
Ep:200 step:380(99197), a_t=[s= 0.69, t= 0.000078, b= 0.000000], r_t=[r= 2.62, prog= 2.82, pen=-0.20, r_old= 2.62], Reward=  384.49 /  384.49 /  294266.38, epsilon=  0.692, speed=  0.95, gear= 1, damage= 0.00
Ep:200 step:400(99217), a_t=[s= 0.59, t= 0.000004, b= 0.000000], r_t=[r= 0.07, prog= 0.07, pen=-0.01, r_old= 0.07], Reward=  394.70 /  394.70 /  294266.38, epsilon=  0.692, speed=  0.03, gear= 1, damage= 0.00
Ep:200 step:420(99237), a_t=[s=-0.33, t= 0.149298, b= 0.000000], r_t=[r= 0.93, prog= 1.00, pen=-0.07, r_old= 0.93], Reward=  414.24 /  414.24 /  294266.38, epsilon=  0.692, speed=  0.34, gear= 1, damage= 0.00
Ep:200 step:440(99257), a_t=[s= 0.27, t= 0.006004, b= 0.000000], r_t=[r= 0.31, prog= 0.34, pen=-0.03, r_old= 0.31], Reward=  445.43 /  445.43 /  294266.38, epsilon=  0.692, speed=  0.11, gear= 1, damage= 0.00
Ep:200 step:460(99277), a_t=[s= 0.24, t= 0.005255, b= 0.000000], r_t=[r= 0.07, prog= 0.08, pen=-0.01, r_old= 0.07], Reward=  466.88 /  466.88 /  294266.38, epsilon=  0.692, speed=  0.03, gear= 1, damage= 0.00
Ep:200 step:480(99297), a_t=[s=-0.15, t= 0.001574, b= 0.000000], r_t=[r=-0.46, prog=-0.44, pen=-0.01, r_old=-0.46], Reward=  468.87 /  468.87 /  294266.38, epsilon=  0.692, speed= -0.15, gear= 1, damage= 0.00
Ep:200 step:500(99317), a_t=[s= 0.58, t= 0.005660, b= 0.000000], r_t=[r= 0.69, prog= 0.75, pen=-0.06, r_old= 0.69], Reward=  478.86 /  478.86 /  294266.38, epsilon=  0.692, speed=  0.25, gear= 1, damage= 0.00
Ep:200 step:520(99337), a_t=[s=-0.04, t= 0.062726, b= 0.000000], r_t=[r= 2.12, prog= 2.31, pen=-0.18, r_old= 2.12], Reward=  501.25 /  501.25 /  294266.38, epsilon=  0.692, speed=  0.78, gear= 1, damage= 0.00
Ep:200 step:540(99357), a_t=[s=-0.14, t= 0.000590, b= 0.000000], r_t=[r= 1.21, prog= 1.31, pen=-0.11, r_old= 1.21], Reward=  521.41 /  521.41 /  294266.38, epsilon=  0.692, speed=  0.44, gear= 1, damage= 0.00
Ep:200 step:560(99377), a_t=[s= 0.07, t= 0.021994, b= 0.000000], r_t=[r=-0.07, prog=-0.06, pen=-0.00, r_old=-0.07], Reward=  526.00 /  526.00 /  294266.38, epsilon=  0.692, speed= -0.02, gear= 1, damage= 0.00
Ep:200 step:580(99397), a_t=[s=-0.01, t= 0.000252, b= 0.000000], r_t=[r= 1.47, prog= 1.61, pen=-0.13, r_old= 1.47], Reward=  545.31 /  545.31 /  294266.38, epsilon=  0.692, speed=  0.54, gear= 1, damage= 0.00
Ep:200 step:600(99417), a_t=[s=-0.12, t= 0.015672, b= 0.000000], r_t=[r= 0.12, prog= 0.12, pen=-0.01, r_old= 0.12], Reward=  569.68 /  569.68 /  294266.38, epsilon=  0.692, speed=  0.04, gear= 1, damage= 0.00
Ep:200 step:620(99437), a_t=[s= 0.45, t= 0.773929, b= 0.000000], r_t=[r= 6.65, prog= 7.20, pen=-0.55, r_old= 6.65], Reward=  592.50 /  592.50 /  294266.38, epsilon=  0.692, speed=  2.42, gear= 1, damage= 0.00
Ep:200 step:640(99457), a_t=[s= 0.32, t= 0.002128, b= 0.000000], r_t=[r= 0.28, prog= 0.30, pen=-0.02, r_old= 0.28], Reward=  646.45 /  646.45 /  294266.38, epsilon=  0.692, speed=  0.10, gear= 1, damage= 0.00
Ep:200 step:660(99477), a_t=[s=-0.15, t= 0.009986, b= 0.000000], r_t=[r= 3.48, prog= 3.77, pen=-0.29, r_old= 3.48], Reward=  680.88 /  680.88 /  294266.38, epsilon=  0.692, speed=  1.27, gear= 1, damage= 0.00
Ep:200 step:680(99497), a_t=[s= 0.69, t= 0.027126, b= 0.000000], r_t=[r= 0.28, prog= 0.30, pen=-0.02, r_old= 0.28], Reward=  708.07 /  708.07 /  294266.38, epsilon=  0.692, speed=  0.10, gear= 1, damage= 0.00
Ep:200 step:700(99517), a_t=[s= 0.79, t= 0.000087, b= 0.000000], r_t=[r=-0.42, prog=-0.40, pen=-0.01, r_old=-0.42], Reward=  716.24 /  716.24 /  294266.38, epsilon=  0.692, speed= -0.14, gear= 1, damage= 0.00
Ep:200 step:720(99537), a_t=[s=-0.10, t= 0.001327, b= 0.000000], r_t=[r=-0.65, prog=-0.63, pen=-0.02, r_old=-0.65], Reward=  711.04 /  711.04 /  294266.38, epsilon=  0.692, speed= -0.21, gear= 1, damage= 0.00
Ep:200 step:740(99557), a_t=[s=-0.12, t= 0.043290, b= 0.000000], r_t=[r= 3.22, prog= 3.49, pen=-0.27, r_old= 3.22], Reward=  751.11 /  751.11 /  294266.38, epsilon=  0.692, speed=  1.18, gear= 1, damage= 0.00
Ep:200 step:760(99577), a_t=[s= 0.25, t= 0.005120, b= 0.000000], r_t=[r=-0.09, prog=-0.09, pen=-0.00, r_old=-0.09], Reward=  774.23 /  774.23 /  294266.38, epsilon=  0.692, speed= -0.03, gear= 1, damage= 0.00
Ep:200 step:780(99597), a_t=[s=-0.57, t= 0.006868, b= 0.000000], r_t=[r= 1.78, prog= 1.92, pen=-0.15, r_old= 1.78], Reward=  819.00 /  819.00 /  294266.38, epsilon=  0.692, speed=  0.65, gear= 1, damage= 0.00
Ep:200 step:800(99617), a_t=[s= 0.43, t= 0.001922, b= 0.000000], r_t=[r=-0.25, prog=-0.24, pen=-0.01, r_old=-0.25], Reward=  825.16 /  825.16 /  294266.38, epsilon=  0.692, speed= -0.08, gear= 1, damage= 0.00
Ep:200 step:820(99637), a_t=[s= 0.35, t= 0.029973, b= 0.000000], r_t=[r= 0.11, prog= 0.12, pen=-0.01, r_old= 0.11], Reward=  831.77 /  831.77 /  294266.38, epsilon=  0.692, speed=  0.04, gear= 1, damage= 0.00
Ep:200 step:840(99657), a_t=[s= 0.24, t= 0.000009, b= 0.000000], r_t=[r= 3.31, prog= 3.60, pen=-0.29, r_old= 3.31], Reward=  878.26 /  878.26 /  294266.38, epsilon=  0.692, speed=  1.22, gear= 1, damage= 0.00
Ep:200 step:860(99677), a_t=[s= 0.14, t= 0.026965, b= 0.000000], r_t=[r=-0.05, prog=-0.05, pen=-0.00, r_old=-0.05], Reward=  891.67 /  891.67 /  294266.38, epsilon=  0.692, speed= -0.02, gear= 1, damage= 0.00
Ep:200 step:880(99697), a_t=[s= 0.42, t= 0.023485, b= 0.000000], r_t=[r= 0.02, prog= 0.02, pen=-0.00, r_old= 0.02], Reward=  909.27 /  909.27 /  294266.38, epsilon=  0.692, speed=  0.01, gear= 1, damage= 0.00
Ep:200 step:900(99717), a_t=[s= 0.28, t= 0.001202, b= 0.000000], r_t=[r=-0.00, prog=-0.00, pen=-0.00, r_old=-0.00], Reward=  910.46 /  910.46 /  294266.38, epsilon=  0.692, speed= -0.00, gear= 1, damage= 0.00
Ep:200 step:920(99737), a_t=[s=-0.59, t= 0.045514, b= 0.000000], r_t=[r= 0.66, prog= 0.72, pen=-0.06, r_old= 0.66], Reward=  941.19 /  941.19 /  294266.38, epsilon=  0.692, speed=  0.24, gear= 1, damage= 0.00
Ep:200 step:940(99757), a_t=[s= 0.29, t= 0.000143, b= 0.000000], r_t=[r= 3.87, prog= 4.19, pen=-0.32, r_old= 3.87], Reward=  985.70 /  985.70 /  294266.38, epsilon=  0.692, speed=  1.42, gear= 1, damage= 0.00
Ep:200 step:960(99777), a_t=[s=-0.30, t= 0.004383, b= 0.000000], r_t=[r=-0.00, prog=-0.00, pen=-0.00, r_old=-0.00], Reward=  1003.16 /  1003.16 /  294266.38, epsilon=  0.692, speed= -0.00, gear= 1, damage= 0.00
